scenario,window,n_simple,p_simple,n_nocontrols,p_nocontrols,n_controls,p_controls,n_fe,p_fe
narrow_annual,12m,678,0.43351908166533026,678,0.528713640885472,652,0.5725562290153413,652,0.5123858189899821
narrow_annual,18m,608,0.5343244401757976,608,0.6346325832409182,582,0.5286958795141443,582,0.43788059654782474
whole_notes,12m,424,0.631265271994353,424,0.6421937662473756,408,0.5175377208561442,408,0.6602479083478667
whole_notes,18m,378,0.4608429542780799,378,0.5932447984444189,362,0.493901384389104,362,0.1808268263083288
mgmt_report,12m,485,0.15943939990179062,485,0.1398391218536372,468,0.0317675729308726,468,0.4518942278726823
mgmt_report,18m,434,0.8987108650733044,434,0.9082119095848977,417,0.8223542873726253,417,0.7850530465222272
risk_factors,12m,672,0.28639480436061804,672,0.21232829057443536,655,0.36589519262601444,655,0.860596575671438
risk_factors,18m,601,0.10926441598973953,601,0.02865500225385232,584,0.06665000984804167,584,0.5160427837305062
