cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
4170,2020,2021,0.9005,64688,63760,VALE3,2022-02-24,2022-02-24,2022-05-30,-0.010166780900159877,-0.005016136032132024,-0.005150644868027854
4170,2021,2022,0.928,63760,72239,VALE3,2023-02-16,2023-02-16,2023-05-23,-0.2537279964121538,-0.00011760804340787967,-0.25361038836874594
4170,2022,2023,0.9626,72239,70797,VALE3,2024-02-22,2024-02-22,2024-05-23,-0.032282058911038414,-0.04231516221330456,0.010033103302266144
4170,2023,2024,0.9559,70797,72518,VALE3,2025-03-17,2025-03-17,2025-06-17,-0.09964973730297733,0.06119252218613558,-0.1608422594891129
4820,2015,2016,0.8857,47452,63413,BRKM5,2017-08-15,2017-08-15,2017-11-16,0.21608832807570977,0.060809773896999264,0.1552785541787105
4820,2016,2017,0.7854,63413,105748,BRKM5,2018-03-29,2018-03-29,2018-06-29,0.057499999999999885,-0.14763623644008195,0.20513623644008183
4820,2017,2018,0.9731,105748,108476,BRKM5,2019-03-13,2019-03-13,2019-06-12,-0.37369672580940183,-0.005894612021287715,-0.3678021137881141
4820,2018,2019,0.9541,108476,148464,BRKM5,2020-04-03,2020-04-03,2020-07-07,0.5236875800256082,0.40587389031194077,0.11781368971366746
4820,2019,2020,0.924,148464,215043,BRKM5,2021-03-10,2021-03-10,2021-06-10,0.8517595764559327,0.15339792894777982,0.6983616475081529
4820,2020,2021,0.8855,215043,247899,BRKM5,2022-03-16,2022-03-16,2022-06-15,-0.11565369479667686,-0.07474960272221554,-0.04090409207446133
4820,2021,2022,0.9888,247899,261962,BRKM5,2023-03-23,2023-03-23,2023-06-26,0.721153846153846,0.20746828687766738,0.5136855592761786
4820,2022,2023,0.9556,261962,289735,BRKM5,2024-07-01,2024-07-01,2024-09-26,0.1628830874006808,0.06648362983808198,0.09639945756259882
4820,2023,2024,0.986,289735,292197,BRKM5,2025-02-27,2025-02-27,2025-06-03,-0.11939034716342078,0.10214267811206112,-0.2215330252754819
5258,2015,2016,0.9527,27064,32130,RADL3,2017-02-16,2017-02-16,2017-05-23,0.02474864612692662,-0.07596870509792641,0.10071735122485304
5258,2016,2017,0.9736,32130,35081,RADL3,2018-02-22,2018-02-22,2018-05-24,-0.2317073175543486,-0.0757227917396548,-0.1559845258146938
5258,2017,2018,0.9713,35081,29178,RADL3,2019-02-26,2019-02-26,2019-05-30,0.14456842813774506,-0.0014870520734612258,0.1460554802112063
5258,2018,2019,0.9738,29178,31344,RADL3,2020-02-19,2020-02-19,2020-05-25,-0.11044577514754395,-0.26480222730299974,0.1543564521554558
5258,2019,2020,0.9521,31344,29397,RADL3,2021-03-09,2021-03-09,2021-06-09,0.21347826126220149,0.16685598265778112,0.046622278604420364
5258,2020,2021,0.9171,29397,40690,RADL3,2022-02-22,2022-02-22,2022-05-26,-0.1418947367311474,-0.008875046726157243,-0.13301969000499014
5258,2021,2022,0.9431,40690,38248,RADL3,2023-03-07,2023-03-07,2023-06-07,0.2596494227523689,0.1080346697857284,0.1516147529666405
5258,2022,2023,0.8292,38248,31236,RADL3,2024-03-05,2024-03-05,2024-06-05,-0.01616719265645372,-0.052231683980349164,0.03606449132389544
5258,2023,2024,0.7342,31236,33728,RADL3,2025-03-20,2025-03-20,2025-06-23,-0.26044852180300326,0.034827050757493705,-0.29527557256049697
5410,2015,2016,0.9873,22445,23297,WEGE3,2017-02-22,2017-02-22,2017-05-29,0.10877192976480954,-0.07039862486340853,0.17917055462821807
5410,2016,2017,0.9993,23297,23205,WEGE3,2018-02-28,2018-02-28,2018-05-30,-0.045963263578881475,-0.10075698046209891,0.054793716883217436
5410,2017,2018,0.9977,23205,23102,WEGE3,2019-04-10,2019-04-10,2019-07-12,0.25968357883251514,0.08287925030314192,0.17680432852937322
5410,2018,2019,0.895,23102,33058,WEGE3,2020-02-19,2020-02-19,2020-05-25,-0.2208111429741909,-0.26480222730299974,0.04399108432880883
5410,2019,2020,0.9877,33058,34822,WEGE3,2021-02-24,2021-02-24,2021-05-26,-0.243367935409458,0.07194216055672542,-0.3153100959661834
5410,2020,2021,0.9927,34822,34912,WEGE3,2022-02-16,2022-02-16,2022-05-20,-0.16964856230031955,-0.058109175171762284,-0.11153938712855727
5410,2021,2022,0.9984,34912,34910,WEGE3,2023-02-15,2023-02-15,2023-05-22,0.0380658436213992,0.005592876067494146,0.03247296755390505
5410,2022,2023,0.9615,34910,41194,WEGE3,2024-02-21,2024-02-21,2024-05-22,0.07234507234507226,-0.03369604522224523,0.10604111756731749
5410,2023,2024,0.9665,41194,38787,WEGE3,2025-02-26,2025-02-26,2025-06-02,-0.12539184952978055,0.09632174605315691,-0.22171359558293746
6505,2015,2016,0.9835,43129,42807,BHIA3,2017-02-23,2017-02-23,2017-05-30,-0.0732323232323232,-0.051868483587426906,-0.0213638396448963
6505,2016,2017,0.8923,42807,48550,BHIA3,2018-02-19,2018-02-19,2018-05-21,-0.09560723514211888,-0.03511386768980507,-0.06049336745231382
6505,2017,2018,0.8092,48550,45369,BHIA3,2019-02-20,2019-02-20,2019-05-24,-0.1938579654510557,-0.0302140529356264,-0.1636439125154293
6505,2018,2019,0.9606,45369,46862,BHIA3,2020-03-26,2020-03-26,2020-06-29,1.6982456140350877,0.23196202376898833,1.4662835902660993
6505,2019,2020,0.6757,46862,119514,BHIA3,2021-03-02,2021-03-02,2021-06-01,0.1514143094841931,0.149966648676078,0.0014476608081150921
6505,2020,2021,0.9626,119514,133877,BHIA3,2022-03-09,2022-03-09,2022-06-08,-0.11730205278592376,-0.048574657459319215,-0.06872739532660455
6505,2021,2022,0.99,133877,135972,BHIA3,2023-03-09,2023-03-09,2023-06-12,0.31958762886597936,0.11673180821498264,0.20285582065099672
6505,2022,2023,0.6684,135972,172564,BHIA3,2024-03-25,2024-03-25,2024-06-25,-0.12575757575757573,-0.03624065804957588,-0.08951691770799985
6505,2023,2024,0.7326,172564,170055,BHIA3,2025-03-12,2025-03-12,2025-06-12,-0.2783882783882784,0.11251288717015084,-0.39090116555842924
8133,2015,2016,0.9795,32740,36085,LREN3,2017-02-09,2017-02-09,2017-05-16,0.3449579832335994,0.05725569611524017,0.2877022871183592
