cd_cvm,year_curr,ticker,TextChange,cosine_similarity,window_start,window_end,n_est_obs,n_event_days,BHAR_ajustado_raw,BHAR_ajustado
5410,2015,WEGE3,0.10189999999999999,0.8981,2016-02-24,2017-02-23,252,253,0.03808799265806129,0.03808799265806129
6173,2011,TASA4,0.14600000000000002,0.854,2012-03-27,2013-04-08,252,253,0.5928703030789662,0.5928703030789662
6173,2012,TASA4,0.1513,0.8487,2014-03-28,2015-04-06,252,253,-0.6987235354437611,-0.6987235354437611
6173,2013,TASA4,0.17469999999999997,0.8253,2014-03-31,2015-04-07,252,253,-0.7143776895526581,-0.7143776895526581
6173,2014,TASA4,0.2508,0.7492,2015-03-30,2016-04-12,252,253,0.654849134092301,0.654849134092301
6173,2015,TASA4,0.029100000000000015,0.9709,2016-03-24,2017-03-29,252,253,0.8496559304376354,0.8496559304376354
6173,2016,TASA4,0.24770000000000003,0.7523,2017-03-27,2018-04-05,252,253,-0.00941118253115758,-0.00941118253115758
6173,2017,TASA4,0.19120000000000004,0.8088,2018-04-04,2019-04-12,252,253,0.14603025050852247,0.14603025050852247
6173,2018,TASA4,0.4628,0.5372,2019-03-29,2020-04-02,252,253,-0.5962942661354158,-0.5962942661354158
6173,2019,TASA4,0.29490000000000005,0.7051,2020-03-30,2021-04-07,252,253,1.883566656335304,1.883566656335304
6173,2020,TASA4,0.08640000000000003,0.9136,2021-03-19,2022-03-24,252,253,-0.8951033784052587,-0.8858869055428543
6173,2021,TASA4,0.1594,0.8406,2022-03-15,2023-03-16,252,253,-0.44046213443724236,-0.44046213443724236
6173,2022,TASA4,0.08650000000000002,0.9135,2023-03-21,2024-03-26,252,253,0.1844908685831017,0.1844908685831017
6173,2023,TASA4,0.23340000000000005,0.7666,2024-03-26,2025-03-28,252,253,-0.3552477974684527,-0.3552477974684527
6343,2012,TUPY3,0.09760000000000002,0.9024,2013-03-25,2014-03-31,252,253,-0.6593459957868657,-0.6593459957868657
6343,2013,TUPY3,0.2593,0.7407,2014-03-10,2015-03-16,252,253,0.17191950528865463,0.17191950528865463
6343,2014,TUPY3,0.19779999999999998,0.8022,2015-02-26,2016-03-08,252,253,0.1438401124445099,0.1438401124445099
6343,2015,TUPY3,0.10509999999999997,0.8949,2016-03-03,2017-03-07,252,253,-0.5017267280397923,-0.5017267280397923
6343,2016,TUPY3,0.08330000000000004,0.9167,2017-03-28,2018-04-06,252,253,0.3428840580489152,0.3428840580489152
6343,2017,TUPY3,0.04239999999999999,0.9576,2018-03-13,2019-03-22,252,253,-0.20373840188538983,-0.20373840188538983
6343,2018,TUPY3,0.07010000000000005,0.9299,2019-03-14,2020-03-18,252,253,-0.3597444092221378,-0.3597444092221378
6343,2019,TUPY3,0.22089999999999999,0.7791,2020-03-03,2021-03-10,252,253,-0.15884043181042906,-0.15884043181042906
6343,2020,TUPY3,0.11650000000000005,0.8835,2021-03-04,2022-03-09,252,253,-0.4221493235725813,-0.4221493235725813
6343,2021,TUPY3,0.1281,0.8719,2022-03-29,2023-03-30,252,253,0.6526945723067583,0.6526945723067583
6343,2022,TUPY3,0.16769999999999996,0.8323,2023-03-27,2024-04-02,252,253,-0.38684416300143,-0.38684416300143
6505,2011,BHIA3,0.5107999999999999,0.4892,2012-02-17,2015-06-17,252,253,-0.28409107097239783,-0.28409107097239783
6505,2012,BHIA3,0.854,0.146,2013-02-26,2015-12-23,252,253,-0.7644101391757856,-0.7644101391757856
6505,2013,BHIA3,0.6374,0.3626,2014-02-13,2016-05-30,252,253,-0.709932304327108,-0.709932304327108
6505,2014,BHIA3,0.877,0.123,2015-02-18,2016-10-10,252,253,-0.9347349674977973,-0.8858869055428543
6505,2015,BHIA3,0.8412999999999999,0.1587,2016-07-27,2017-08-09,252,253,-0.13265548023457097,-0.13265548023457097
7870,2014,KEPL3,0.42090000000000005,0.5791,2015-03-20,2016-03-31,252,253,-0.43429969049295636,-0.43429969049295636
7870,2015,KEPL3,0.6427,0.3573,2016-03-18,2017-03-22,252,253,0.7041488729724104,0.7041488729724104
7870,2016,KEPL3,0.005700000000000038,0.9943,2017-03-17,2018-03-27,252,253,-0.6771766737759368,-0.6771766737759368
7870,2017,KEPL3,0.6563,0.3437,2018-03-23,2019-04-03,252,253,1.586652804668745,1.586652804668745
7870,2018,KEPL3,0.00029999999999996696,0.9997,2019-03-20,2020-03-24,252,253,0.18590064033679865,0.18590064033679865
