cd_cvm,year_curr,ticker,window_start,window_end,TextChange,BHAR_raw,BHAR_ajustado
2437,2019,AXIA3,2020-03-27,2021-04-06,0.5939,-0.13781134291256614,-0.13781134291256614
2437,2020,AXIA3,2021-03-19,2022-03-24,0.5888,0.06949277925000685,0.06949277925000685
2437,2021,AXIA3,2022-03-18,2023-03-21,0.06269999999999998,-0.09538890350990137,-0.09538890350990137
2437,2022,AXIA3,2023-03-13,2024-03-18,0.8200000000000001,-0.08580191330556175,-0.08580191330556175
2437,2023,AXIA3,2024-05-14,2025-05-19,0.8033,0.17515675334558534,0.17515675334558534
2437,2024,AXIA3,2025-03-17,2026-03-19,0.3198,0.39399483382251765,0.39399483382251765
2453,2011,CMIG4,2012-03-28,2013-04-09,0.2692,-0.4933423283044074,-0.4933423283044074
2453,2012,CMIG4,2013-04-16,2014-04-22,0.13570000000000004,0.05176296982892348,0.05176296982892348
2453,2013,CMIG4,2014-04-04,2015-04-13,0.35319999999999996,-0.09423266227755578,-0.09423266227755578
2453,2014,CMIG4,2015-03-27,2016-04-07,0.16859999999999997,-0.3782775862033513,-0.3782775862033513
2453,2015,CMIG4,2016-11-14,2017-11-21,0.10860000000000003,-0.3185660421174312,-0.3185660421174312
2453,2016,CMIG4,2017-04-11,2018-04-20,0.049900000000000055,-0.36219742701373103,-0.36219742701373103
2453,2017,CMIG4,2018-03-29,2019-04-09,0.13070000000000004,1.3157113341912727,1.3157113341912727
2453,2018,CMIG4,2019-04-01,2020-04-03,0.3849,-0.3373674047505201,-0.3373674047505201
2453,2019,CMIG4,2020-04-01,2021-04-09,0.07599999999999996,0.04852025496422363,0.04852025496422363
2453,2020,CMIG4,2021-03-30,2022-04-04,0.05669999999999997,0.3868497627593859,0.3868497627593859
2453,2021,CMIG4,2022-03-29,2023-03-30,0.10880000000000001,-0.1049992626695524,-0.1049992626695524
2453,2022,CMIG4,2023-03-27,2024-04-02,0.19889999999999997,-0.35769713298169725,-0.35769713298169725
2453,2023,CMIG4,2024-03-21,2025-03-25,0.501,0.34254670035242807,0.34254670035242807
2453,2024,CMIG4,2025-03-21,2026-03-25,0.5852999999999999,-0.3418857606494887,-0.3418857606494887
2461,2012,CLSC4,2013-04-24,2014-04-30,0.45199999999999996,0.30207849619313865,0.30207849619313865
2461,2013,CLSC4,2014-03-28,2015-04-06,0.9385,0.4733791658062707,0.4733791658062707
2461,2014,CLSC4,2015-03-27,2016-04-07,0.0,-0.10746697945960204,-0.10746697945960204
2461,2015,CLSC4,2016-03-29,2017-03-30,0.0,-0.18167194127727837,-0.18167194127727837
2461,2016,CLSC4,2017-04-11,2018-04-27,0.9084,0.07189260184082191,0.07189260184082191
2461,2017,CLSC4,2018-04-16,2019-05-10,0.4444,0.3355201732340576,0.3355201732340576
2461,2018,CLSC4,2019-04-18,2020-05-05,0.9634,-0.4345010013267663,-0.4345010013267663
2461,2019,CLSC4,2020-03-27,2021-04-08,0.0,-0.010744484613589678,-0.010744484613589678
2461,2020,CLSC4,2021-03-12,2022-03-17,0.9238,0.3035705256425705,0.3035705256425705
2461,2021,CLSC4,2022-03-11,2023-03-14,0.09660000000000002,-0.43451670048341584,-0.43451670048341584
2461,2022,CLSC4,2023-03-29,2024-04-04,0.41080000000000005,0.2664692722339592,0.2664692722339592
2461,2023,CLSC4,2024-03-28,2025-04-01,0.37460000000000004,-0.13961079683015987,-0.13961079683015987
2577,2011,CESP6,2012-03-22,2013-04-03,0.06440000000000001,-0.5382742504087131,-0.5382742504087131
2577,2012,CESP6,2013-03-22,2014-03-27,0.018299999999999983,0.7124023708283036,0.7124023708283036
2577,2013,CESP6,2014-03-21,2015-03-27,0.045499999999999985,-0.2617413611331215,-0.2617413611331215
2577,2014,CESP6,2015-03-27,2016-04-07,0.9259,-0.215534514403531,-0.215534514403531
2577,2015,CESP6,2016-03-24,2017-03-28,0.08130000000000004,0.0010653186431344164,0.0010653186431344164
2577,2016,CESP6,2017-03-24,2018-04-04,0.9844,-0.22777257928560535,-0.22777257928560535
2577,2017,CESP6,2018-03-21,2019-04-01,0.7897000000000001,0.889086751058773,0.889086751058773
2577,2018,CESP6,2019-03-22,2020-03-26,0.0,-0.2636370972517328,-0.2636370972517328
2577,2019,CESP6,2020-02-17,2021-02-25,0.9506,-0.3779262533416403,-0.3779262533416403
3980,2011,GGBR4,2012-02-16,2013-02-28,0.498,0.1909132377363707,0.1909132377363707
3980,2012,GGBR4,2013-02-21,2014-02-24,0.02529999999999999,0.06937103993949889,0.06937103993949889
3980,2013,GGBR4,2014-02-21,2015-03-03,0.15959999999999996,-0.3865285048169047,-0.3865285048169047
3980,2014,GGBR4,2015-03-05,2016-03-15,0.07609999999999995,-0.3011878478772202,-0.3011878478772202
3980,2015,GGBR4,2016-03-15,2017-03-17,0.29510000000000003,2.5029949136411105,2.5029949136411105
3980,2016,GGBR4,2017-02-22,2018-03-06,0.0827,-0.24398178203656595,-0.24398178203656595
3980,2017,GGBR4,2018-02-28,2019-03-11,0.1734,-0.41042887804540307,-0.41042887804540307
3980,2018,GGBR4,2019-02-21,2020-02-28,0.1069,0.04667812185369713,0.04667812185369713
3980,2019,GGBR4,2020-02-19,2021-03-01,0.22719999999999996,0.44314424936822183,0.44314424936822183
3980,2022,GGBR4,2023-03-01,2024-03-06,0.21650000000000003,-0.5495607537104499,-0.5495607537104499
3980,2023,GGBR4,2024-02-20,2025-02-19,0.2096,0.5103643762038681,0.5103643762038681
3980,2024,GGBR4,2025-02-24,2026-03-02,0.28500000000000003,0.011513616406151117,0.011513616406151117
4030,2011,CSNA3,2012-03-26,2013-04-05,0.23050000000000004,-0.3083917976355244,-0.3083917976355244
4030,2012,CSNA3,2013-03-28,2014-04-02,0.21189999999999998,0.42113485094932224,0.42113485094932224
4030,2013,CSNA3,2014-02-28,2015-03-10,0.2823,-0.5578566229569057,-0.5578566229569057
4030,2014,CSNA3,2015-03-12,2016-03-22,0.12519999999999998,1.548879029254627,1.548879029254627
4030,2015,CSNA3,2016-11-14,2017-11-21,0.47919999999999996,-0.5838452410391297,-0.5838452410391297
4030,2016,CSNA3,2017-10-30,2018-11-08,0.2178,-0.36615657391460443,-0.36615657391460443
4030,2017,CSNA3,2018-04-06,2019-04-16,0.3637,0.8961687881650968,0.8961687881650968
4030,2018,CSNA3,2019-02-20,2020-02-27,0.2679,0.07613745200982791,0.07613745200982791
4030,2019,CSNA3,2020-03-04,2021-03-11,0.2751,2.577852339249685,2.577852339249685
4030,2020,CSNA3,2021-02-22,2022-02-23,0.22629999999999995,-0.8168100296629746,-0.8168100296629746
4030,2021,CSNA3,2022-03-09,2023-03-10,0.19379999999999997,-0.3361036044853829,-0.3361036044853829
4030,2022,CSNA3,2023-03-16,2024-03-21,0.34040000000000004,-0.14748877165053031,-0.14748877165053031
4030,2023,CSNA3,2024-03-06,2025-03-10,0.013900000000000023,-0.3432860898395502,-0.3432860898395502
4030,2024,CSNA3,2025-03-12,2026-03-16,0.10699999999999998,-0.21258459142558372,-0.21258459142558372
4057,2011,CRUZ3,2012-02-13,2013-02-25,0.7527,-0.03743631369698541,-0.03743631369698541
4057,2012,CRUZ3,2013-02-07,2014-02-12,0.8333,-0.4896632787244626,-0.4896632787244626
4170,2011,VALE3,2012-06-28,2013-07-10,0.5049,-0.2063799710486922,-0.2063799710486922
4170,2012,VALE3,2013-03-14,2014-03-19,0.20189999999999997,0.11828421714772253,0.11828421714772253
4170,2013,VALE3,2014-03-17,2015-03-23,0.25670000000000004,-0.43459712965490116,-0.43459712965490116
4170,2014,VALE3,2015-02-26,2016-03-08,0.23329999999999995,-0.15155715564549677,-0.15155715564549677
4170,2015,VALE3,2016-02-25,2017-02-24,0.3466,0.3972523949452773,0.3972523949452773
4170,2016,VALE3,2017-02-23,2018-03-07,0.17720000000000002,-0.33746857460449964,-0.33746857460449964
4170,2017,VALE3,2018-02-27,2019-03-08,0.06979999999999997,-0.3761128331830831,-0.3761128331830831
4170,2018,VALE3,2019-04-18,2020-04-24,0.25429999999999997,-0.3151026798176919,-0.3151026798176919
4170,2019,VALE3,2020-03-02,2021-03-09,0.28380000000000005,1.3427935585485256,1.3427935585485256
4170,2020,VALE3,2021-02-25,2022-03-02,0.2734,-0.44592874734254506,-0.44592874734254506
4170,2021,VALE3,2022-02-24,2023-03-01,0.08079999999999998,-0.020345966790348724,-0.020345966790348724
4170,2022,VALE3,2023-02-16,2024-02-26,0.5579000000000001,-0.41179339204021126,-0.41179339204021126
4170,2023,VALE3,2024-02-22,2025-02-21,0.9623,0.34809543841539603,0.34809543841539603
4170,2024,VALE3,2025-03-17,2026-03-19,0.0,0.23515952200252888,0.23515952200252888
4820,2018,BRKM5,2019-03-13,2020-03-17,0.2681,-0.7290088975230367,-0.7290088975230367
4820,2024,BRKM5,2025-02-27,2026-03-05,0.32189999999999996,-0.0708519094731449,-0.0708519094731449
5258,2012,RADL3,2013-03-27,2014-04-01,0.3368,-0.19797062218490646,-0.19797062218490646
5258,2013,RADL3,2014-03-17,2015-03-23,0.04359999999999997,0.8274756762307396,0.8274756762307396
5258,2016,RADL3,2017-02-16,2018-02-28,0.08330000000000004,-0.22896962895360007,-0.22896962895360007
5258,2020,RADL3,2021-03-09,2022-03-14,0.405,0.07009801401989524,0.07009801401989524
5258,2021,RADL3,2022-02-22,2023-02-27,0.7709,-0.04015480637864677,-0.04015480637864677
5258,2022,RADL3,2023-03-07,2024-03-12,0.0,0.03454537261424573,0.03454537261424573
5258,2023,RADL3,2024-03-05,2025-03-07,0.894,-0.3458727986131651,-0.3458727986131651
5258,2024,RADL3,2025-03-20,2026-03-24,0.8818,0.28282342851065145,0.28282342851065145
5410,2012,WEGE3,2013-02-27,2014-02-28,0.05159999999999998,0.017163668946886368,0.017163668946886368
5410,2013,WEGE3,2014-02-26,2015-03-06,0.051000000000000045,-0.12587471777784176,-0.12587471777784176
5410,2014,WEGE3,2015-02-25,2016-03-07,0.235,-0.32572192866616445,-0.32572192866616445
5410,2015,WEGE3,2016-02-24,2017-02-23,0.07889999999999997,0.03808799265806129,0.03808799265806129
5410,2016,WEGE3,2017-02-22,2018-03-06,0.010499999999999954,0.05067197997517914,0.05067197997517914
5410,2017,WEGE3,2018-02-28,2019-03-11,0.015800000000000036,-0.24772029254231454,-0.24772029254231454
5410,2018,WEGE3,2019-04-10,2020-04-15,0.019000000000000017,0.8353050153503148,0.8353050153503148
5410,2019,WEGE3,2020-02-19,2021-03-01,0.02639999999999998,-0.01918317557209326,-0.01918317557209326
5410,2020,WEGE3,2021-02-24,2022-02-25,0.03420000000000001,-0.5769692348375959,-0.5769692348375959
5410,2021,WEGE3,2022-02-16,2023-02-17,0.12070000000000003,0.4688487414733786,0.4688487414733786
5410,2022,WEGE3,2023-02-15,2024-02-23,0.11319999999999997,-0.3728824038310824,-0.3728824038310824
5410,2023,WEGE3,2024-02-21,2025-02-20,0.02849999999999997,0.640153900100634,0.640153900100634
5410,2024,WEGE3,2025-02-26,2026-03-04,0.10370000000000001,-0.5215271920820864,-0.5215271920820864
6173,2011,TASA4,2012-03-27,2013-04-08,0.14449999999999996,0.5928703030789662,0.5928703030789662
6173,2012,TASA4,2014-03-28,2015-04-06,0.14290000000000003,-0.6987235354437611,-0.6987235354437611
6173,2013,TASA4,2014-03-31,2015-04-07,0.16490000000000005,-0.7143776895526581,-0.7143776895526581
6173,2014,TASA4,2015-03-30,2016-04-12,0.2359,0.654849134092301,0.654849134092301
6173,2015,TASA4,2016-03-24,2017-03-29,0.027200000000000002,0.8496559304376354,0.8496559304376354
6173,2016,TASA4,2017-03-27,2018-04-05,0.24139999999999995,-0.00941118253115758,-0.00941118253115758
6173,2017,TASA4,2018-04-04,2019-04-12,0.18410000000000004,0.14603025050852247,0.14603025050852247
6173,2018,TASA4,2019-03-29,2020-04-02,0.4565,-0.5962942661354158,-0.5962942661354158
6173,2019,TASA4,2020-03-30,2021-04-07,0.2935,1.883566656335304,1.883566656335304
6173,2020,TASA4,2021-03-19,2022-03-24,0.08630000000000004,-0.8951033784052587,-0.8632248446210138
6173,2021,TASA4,2022-03-15,2023-03-16,0.1583,-0.44046213443724236,-0.44046213443724236
6173,2022,TASA4,2023-03-21,2024-03-26,0.08189999999999997,0.1844908685831017,0.1844908685831017
6173,2023,TASA4,2024-03-26,2025-03-28,0.21999999999999997,-0.3552477974684527,-0.3552477974684527
6343,2012,TUPY3,2013-03-25,2014-03-31,0.09489999999999998,-0.6593459957868657,-0.6593459957868657
6343,2013,TUPY3,2014-03-10,2015-03-16,0.26249999999999996,0.17191950528865463,0.17191950528865463
6343,2014,TUPY3,2015-02-26,2016-03-08,0.20279999999999998,0.1438401124445099,0.1438401124445099
6343,2015,TUPY3,2016-03-03,2017-03-07,0.10360000000000003,-0.5017267280397923,-0.5017267280397923
6343,2016,TUPY3,2017-03-28,2018-04-06,0.08289999999999997,0.3428840580489152,0.3428840580489152
6343,2017,TUPY3,2018-03-13,2019-03-22,0.04169999999999996,-0.20373840188538983,-0.20373840188538983
6343,2018,TUPY3,2019-03-14,2020-03-18,0.06910000000000005,-0.3597444092221378,-0.3597444092221378
6343,2019,TUPY3,2020-03-03,2021-03-10,0.21840000000000004,-0.15884043181042906,-0.15884043181042906
6343,2020,TUPY3,2021-03-04,2022-03-09,0.11819999999999997,-0.4221493235725813,-0.4221493235725813
6343,2021,TUPY3,2022-03-29,2023-03-30,0.12839999999999996,0.6526945723067583,0.6526945723067583
6343,2022,TUPY3,2023-03-27,2024-04-02,0.1694,-0.38684416300143,-0.38684416300143
6505,2011,BHIA3,2012-02-17,2015-06-17,0.5005999999999999,-0.28409107097239783,-0.28409107097239783
6505,2012,BHIA3,2013-02-26,2015-12-23,0.8549,-0.7644101391757856,-0.7644101391757856
6505,2013,BHIA3,2014-02-13,2016-05-30,0.6417999999999999,-0.709932304327108,-0.709932304327108
6505,2014,BHIA3,2015-02-18,2016-10-10,0.8562,-0.9347349674977973,-0.8632248446210138
6505,2015,BHIA3,2016-07-27,2017-08-09,0.8328,-0.13265548023457097,-0.13265548023457097
6505,2016,BHIA3,2017-02-23,2018-03-08,0.16500000000000004,-0.398855598985535,-0.398855598985535
