Metodo,n_simples,p_simples,n_agrup,p_agrup_sc,n_controles,p_agrup_cc,n_fe,p_ef_fixos
Ajustado ao mercado (hoje),704,0.6451234059288505,704,0.7154238194591105,671,0.7791330699790426,671,0.7759672865831979
CAPM,678,0.9620129873469595,678,0.9704172922166695,671,0.7255850886729054,671,0.7880980918337528
Fama-French/Carhart (4 fatores),678,0.9098909088887583,678,0.922689274944036,671,0.6456347432763765,671,0.7839884849814158
Carteira pareada por tamanho,703,0.36110121853818733,703,0.4342084951199565,671,0.42165707353301496,671,0.5863281194387144
