cd_cvm,name,group,year_prev,year_curr,cosine_similarity_cmn,diagnostic_prev,diagnostic_curr
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2020,2021,0.1388,regex_only,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2021,2022,1.0,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2022,2023,0.3612,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2023,2024,0.7359,font_heading,font_heading
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2015,2016,1.0,font_heading,font_heading
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2016,2017,0.1519,font_heading,regex_only
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2017,2018,0.9126,regex_only,regex_only
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2018,2019,0.1269,regex_only,font_heading
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2019,2020,0.9398,font_heading,font_heading
008133,LOJAS RENNER,stayed,2015,2016,0.1906,font_heading,regex_only
008133,LOJAS RENNER,stayed,2016,2017,0.2518,regex_only,font_heading
008133,LOJAS RENNER,stayed,2017,2018,0.7067,font_heading,font_heading
008133,LOJAS RENNER,stayed,2018,2019,0.1408,font_heading,regex_only
008133,LOJAS RENNER,stayed,2019,2020,0.12,regex_only,font_heading
008133,LOJAS RENNER,stayed,2020,2021,0.2677,font_heading,regex_only
008133,LOJAS RENNER,stayed,2021,2022,0.212,regex_only,font_heading
008133,LOJAS RENNER,stayed,2022,2023,0.2887,font_heading,font_heading
008133,LOJAS RENNER,stayed,2023,2024,0.2106,font_heading,font_heading
008451,MARCOPOLO,stayed,2015,2016,1.0,font_heading,font_heading
008451,MARCOPOLO,stayed,2016,2017,1.0,font_heading,font_heading
008451,MARCOPOLO,stayed,2017,2018,1.0,font_heading,font_heading
008451,MARCOPOLO,stayed,2018,2019,1.0,font_heading,font_heading
008451,MARCOPOLO,stayed,2019,2020,1.0,font_heading,font_heading
008451,MARCOPOLO,stayed,2020,2021,1.0,font_heading,font_heading
008451,MARCOPOLO,stayed,2021,2022,0.9925,font_heading,font_heading
008451,MARCOPOLO,stayed,2022,2023,1.0,font_heading,font_heading
008451,MARCOPOLO,stayed,2023,2024,1.0,font_heading,font_heading
008656,GERDAU MET,stayed,2015,2016,0.8781,font_heading,font_heading
008656,GERDAU MET,stayed,2016,2017,0.9544,font_heading,font_heading
008656,GERDAU MET,stayed,2017,2018,0.9523,font_heading,font_heading
008656,GERDAU MET,stayed,2018,2019,0.8633,font_heading,font_heading
008656,GERDAU MET,stayed,2019,2021,0.3991,font_heading,regex_only
008656,GERDAU MET,stayed,2021,2022,0.3322,regex_only,font_heading
008656,GERDAU MET,stayed,2022,2023,0.8629,font_heading,font_heading
008656,GERDAU MET,stayed,2023,2024,0.7835,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2015,2017,0.0783,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2017,2018,0.5912,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2018,2019,0.9832,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2019,2021,0.1866,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2021,2022,0.9978,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2022,2023,0.8149,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2023,2024,0.9672,font_heading,font_heading
009512,PETROBRAS,stayed,2016,2017,0.6601,regex_only,regex_only
009512,PETROBRAS,stayed,2017,2018,0.6629,regex_only,regex_only
009512,PETROBRAS,stayed,2018,2019,0.2002,regex_only,font_heading
009512,PETROBRAS,stayed,2019,2020,0.341,font_heading,regex_only
009512,PETROBRAS,stayed,2020,2021,0.3668,regex_only,regex_only
009512,PETROBRAS,stayed,2021,2022,0.9345,regex_only,regex_only
009512,PETROBRAS,stayed,2022,2023,0.9703,regex_only,regex_only
009512,PETROBRAS,stayed,2023,2024,0.9045,regex_only,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2015,2016,0.841,font_heading,font_heading
010456,Alpargatas S.A.,dropped_or_delisted,2016,2017,0.9387,font_heading,font_heading
010456,Alpargatas S.A.,dropped_or_delisted,2017,2019,0.8556,font_heading,font_heading
010456,Alpargatas S.A.,dropped_or_delisted,2019,2020,0.2083,font_heading,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2020,2021,0.5286,regex_only,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2021,2022,0.5519,regex_only,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2022,2023,0.8659,regex_only,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2023,2024,0.2319,regex_only,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2015,2016,0.9381,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2016,2017,0.3951,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2017,2018,0.5811,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2018,2019,0.3735,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2019,2020,0.8312,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2020,2021,1.0,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2021,2022,0.8312,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2022,2023,0.9836,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2023,2024,0.9733,font_heading,font_heading
012653,KLABIN S/A,stayed,2015,2016,0.958,font_heading,font_heading
012653,KLABIN S/A,stayed,2016,2017,0.13,font_heading,regex_only
012653,KLABIN S/A,stayed,2017,2018,0.287,regex_only,regex_only
012653,KLABIN S/A,stayed,2018,2019,0.8963,regex_only,regex_only
012653,KLABIN S/A,stayed,2019,2020,0.8238,regex_only,regex_only
012653,KLABIN S/A,stayed,2020,2021,0.5069,regex_only,font_heading
012653,KLABIN S/A,stayed,2021,2022,0.9021,font_heading,font_heading
012653,KLABIN S/A,stayed,2022,2023,0.5262,font_heading,font_heading
012653,KLABIN S/A,stayed,2023,2024,0.8562,font_heading,font_heading
