cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
4170,2019,2020,0.8199,90315,122425,VALE3,2021-02-25,2021-02-25,2022-03-02,0.0411660223592103,0.025987391716602914,0.015178630642607382
4170,2020,2021,0.8141,122425,71028,VALE3,2022-02-24,2022-02-24,2023-03-01,0.018962759881197222,-0.06458535016932687,0.0835481100505241
4170,2021,2022,0.793,71028,90523,VALE3,2023-02-16,2023-02-16,2024-02-26,-0.26280973203273905,0.17889147551797113,-0.4417012075507102
4170,2022,2023,0.6847,90523,141526,VALE3,2024-02-22,2024-02-22,2025-02-21,-0.13478131508479618,-0.023898010258709745,-0.11088330482608644
4170,2023,2024,0.7652,141526,120130,VALE3,2025-03-17,2025-03-17,2026-03-19,0.34203152364273204,0.3778580117883765,-0.035826488145644486
4820,2015,2016,0.905,64386,103178,BRKM5,2017-08-15,2017-08-15,2018-08-23,0.5273396424815984,0.10648271753707439,0.420856924944524
4820,2016,2017,0.929,103178,95352,BRKM5,2018-03-29,2018-03-29,2019-04-09,-0.006041666666666612,0.12799342029736582,-0.13403508696403243
4820,2017,2018,0.9417,95352,93770,BRKM5,2019-03-13,2019-03-13,2020-03-17,-0.6875800256081946,-0.24555801046430126,-0.4420220151438934
4820,2018,2019,0.9145,93770,123768,BRKM5,2020-04-03,2020-04-03,2021-04-13,2.003201024327785,0.7155783147985062,1.2876227095292787
4820,2019,2020,0.9003,123768,133746,BRKM5,2021-03-10,2021-03-10,2022-03-15,0.40330115228900665,-0.033847391419967066,0.4371485437089737
4820,2020,2021,0.9299,133746,153279,BRKM5,2022-03-16,2022-03-16,2023-03-17,-0.5865763008307827,-0.08217712455753146,-0.5043991762732513
4820,2021,2022,0.9176,153279,135512,BRKM5,2023-03-23,2023-03-23,2024-03-28,0.5865384615384615,0.3081883791429354,0.27835008239552606
4820,2022,2023,0.9323,135512,109681,BRKM5,2024-07-01,2024-07-01,2025-07-04,-0.4733257661748014,0.1326631337383588,-0.6059888999131602
5410,2015,2016,0.5556,25191,23517,WEGE3,2017-02-22,2017-02-22,2018-03-06,0.32865497067451854,0.24877652645337367,0.07987844422114487
5410,2016,2017,0.4826,23517,17168,WEGE3,2018-02-28,2018-02-28,2019-03-11,0.05399401963171302,0.14847682446631705,-0.09448280483460403
5410,2017,2018,0.6233,17168,19623,WEGE3,2019-04-10,2019-04-10,2020-04-15,1.0731042007637752,-0.17844058759742343,1.2515447883611985
5410,2018,2019,0.5735,19623,22402,WEGE3,2020-02-19,2020-02-19,2021-03-01,0.5977058582548136,-0.05306297074433397,0.6507688289991476
5410,2019,2020,0.6666,22402,24910,WEGE3,2021-02-24,2021-02-24,2022-02-25,-0.32179930795847755,-0.021837023240179776,-0.2999622847182978
5410,2020,2021,0.7089,24910,23057,WEGE3,2022-02-16,2022-02-16,2023-02-17,0.26581469648562295,-0.052126935921261275,0.3179416324068842
5410,2021,2022,0.7451,23057,27543,WEGE3,2023-02-15,2023-02-15,2024-02-23,-0.07458847736625529,0.18082632011236477,-0.25541479747862006
5410,2022,2023,0.7494,27543,27253,WEGE3,2024-02-21,2024-02-21,2025-02-20,0.4223314223314223,-0.018695458441710833,0.4410268807731331
5410,2023,2024,0.8175,27253,28251,WEGE3,2025-02-26,2025-02-26,2026-03-04,-0.01065830721003136,0.48568050435081034,-0.4963388115608417
6505,2017,2018,0.3048,6628,20543,BHIA3,2019-02-20,2019-02-20,2020-02-27,1.7024952015355086,0.06669120794789496,1.6358039935876136
6505,2018,2019,0.731,20543,23443,BHIA3,2020-03-26,2020-03-26,2021-04-05,1.1964912280701756,0.5122758225939992,0.6842154054761764
6505,2019,2020,0.5058,23443,33975,BHIA3,2021-03-02,2021-03-02,2022-03-07,-0.7171381031613977,0.00048108388216583364,-0.7176191870435635
6505,2020,2021,0.5871,33975,24588,BHIA3,2022-03-09,2022-03-09,2023-03-10,-0.46627565982404695,-0.09027312824527123,-0.3760025315787757
6505,2021,2022,0.6594,24588,27241,BHIA3,2023-03-09,2023-03-09,2024-03-14,-0.8348453608247423,0.2152709986438719,-1.050116359468614
6505,2022,2023,0.3841,27241,23246,BHIA3,2024-03-25,2024-03-25,2025-03-27,0.4696969696969697,0.048981391297209464,0.42071557839976026
6505,2023,2024,0.5691,23246,17871,BHIA3,2025-03-12,2025-03-12,2026-03-16,-0.4652014652014652,0.4522069859159479,-0.9174084511174131
8133,2015,2017,0.8412,35487,58968,LREN3,2018-02-08,2018-02-08,2019-02-19,0.28234617572728893,0.19779369044478323,0.0845524852825057
8133,2017,2018,0.8963,58968,60721,LREN3,2019-02-07,2019-02-07,2020-02-12,0.43748558248365077,0.23588126508186646,0.2016043174017843
8133,2018,2019,0.9029,60721,75046,LREN3,2020-02-06,2020-02-06,2021-02-12,-0.2774357117906425,0.0367976386839135,-0.31423335047455603
8133,2019,2020,0.8595,75046,89551,LREN3,2021-02-11,2021-02-11,2022-02-16,-0.23175932979216318,-0.03452544735394847,-0.1972338824382147
8133,2020,2021,0.844,89551,111097,LREN3,2022-03-17,2022-03-17,2023-03-20,-0.23755458535043183,-0.10747996508199376,-0.13007462026843808
8133,2021,2022,0.898,111097,103582,LREN3,2023-02-16,2023-02-16,2024-02-26,-0.21155830766650585,0.17889147551797113,-0.390449783184477
8133,2022,2023,0.9069,103582,84379,LREN3,2024-03-14,2024-03-14,2025-03-18,-0.1778316172514941,0.029640229377452254,-0.20747184662894635
8133,2023,2024,0.8766,84379,59942,LREN3,2025-02-20,2025-02-20,2026-02-26,0.17067833698030643,0.49689774137390263,-0.3262194043935962
8451,2015,2016,0.928,50109,48317,POMO4,2017-02-23,2017-02-23,2018-03-07,0.3693379788830662,0.2671477714882542,0.102190207394812
8451,2016,2017,0.9511,48317,53475,POMO4,2018-02-22,2018-02-22,2019-03-01,0.05602391337279333,0.09133261311312202,-0.035308699740328686
8451,2017,2018,0.9495,53475,48709,POMO4,2019-02-26,2019-02-26,2020-03-04,0.3476070526965591,0.09858046668886544,0.24902658600769367
8451,2018,2019,0.9297,48709,46061,POMO4,2020-02-27,2020-02-27,2021-03-05,-0.4707070706666666,0.11864745323279946,-0.5893545238994661
8451,2019,2020,0.9191,46061,50263,POMO4,2021-02-25,2021-02-25,2022-03-02,0.062015503753019674,0.025987391716602914,0.03602811203641676
8451,2020,2021,0.9421,50263,52876,POMO4,2022-02-25,2022-02-25,2023-03-02,0.14137931052218788,-0.08676119571575314,0.22814050623794102
8451,2021,2022,0.9516,52876,54630,POMO4,2023-02-28,2023-02-28,2024-03-05,1.7246835443487418,0.2207734099620584,1.5039101343866834
8451,2022,2023,0.9596,54630,56863,POMO4,2024-02-27,2024-02-27,2025-02-26,0.06480836225512987,-0.05255291296480491,0.11736127521993478
8451,2023,2024,0.9637,56863,55170,POMO4,2025-02-25,2025-02-25,2026-03-03,-0.05714285714285716,0.4534497279319254,-0.5105925850747826
8656,2015,2016,0.9072,37607,28931,GOAU4,2017-02-22,2017-02-22,2018-03-06,0.2988115450487754,0.24877652645337367,0.050035018595401715
8656,2016,2017,0.8863,28931,32480,GOAU4,2018-02-28,2018-02-28,2019-03-11,-0.10152284274008339,0.14847682446631705,-0.24999966720640043
8656,2017,2018,0.8212,32480,25725,GOAU4,2019-02-21,2019-02-21,2020-02-28,0.12129760217686303,0.07468441624239275,0.04661318593447028
8656,2018,2019,0.8384,25725,22298,GOAU4,2020-02-19,2020-02-19,2021-03-01,0.1745562129687348,-0.05306297074433397,0.22761918371306877
8656,2019,2022,0.7227,22298,32725,GOAU4,2023-03-01,2023-03-01,2024-03-06,-0.23938223942795422,0.23476205845168652,-0.47414429787964074
8656,2022,2023,0.8634,32725,38155,GOAU4,2024-02-20,2024-02-20,2025-02-19,-0.04875621894269855,-0.02006918156647397,-0.028687037376224578
8656,2023,2024,0.857,38155,41977,GOAU4,2025-02-24,2025-02-24,2026-03-02,0.3840639417044378,0.509608745932461,-0.12554480422802317
8672,2016,2019,0.7588,10759,8969,IGTI11,2020-03-12,2021-11-22,2022-11-24,-0.08472953566299668,0.09507015945673802,-0.1797996951197347
8672,2019,2020,0.7595,8969,7559,IGTI11,2021-03-11,2021-11-22,2022-11-24,-0.08472953566299668,0.09507015945673802,-0.1797996951197347
9512,2019,2020,0.6716,74579,114397,PETR3,2021-03-22,2021-03-22,2022-03-25,0.5164644714038129,0.035678471677315304,0.4807859997264976
9512,2020,2021,0.7514,114397,131893,PETR3,2022-02-23,2022-02-23,2023-02-28,-0.20755237045203967,-0.0631714220132008,-0.14438094843883886
9512,2021,2023,0.8578,131893,128764,PETR3,2024-03-25,2024-03-25,2025-03-27,0.11146838156484451,0.048981391297209464,0.062486990267635045
9512,2023,2024,0.8884,128764,143865,PETR3,2025-02-26,2025-02-26,2026-03-04,0.06040914560770161,0.48568050435081034,-0.42527135874310873
11312,2015,2016,0.9122,72788,75914,OIBR3,2017-03-22,2017-03-22,2018-04-02,-0.06506024121042386,0.3328818315230757,-0.3979420727334996
11312,2016,2017,0.9435,75914,89670,OIBR3,2018-04-12,2018-04-12,2019-04-23,-0.39093059113870865,0.12265071445433029,-0.5135813055930389
11312,2017,2018,0.9185,89670,70354,OIBR3,2019-03-26,2019-03-26,2020-03-30,-0.7127071823204421,-0.216850588446871,-0.49585659387357106
11312,2018,2019,0.9393,70354,79054,OIBR3,2020-03-25,2020-03-25,2021-04-01,2.6346153846153846,0.5376216870874304,2.096993697527954
11312,2019,2020,0.8078,79054,120020,OIBR3,2021-05-10,2021-05-10,2022-05-13,-0.6057142857142856,-0.1229182940755087,-0.48279599163877696
11312,2020,2021,0.9433,120020,141081,OIBR3,2022-05-05,2022-05-05,2023-05-09,-0.8552631578947368,0.017183266876655168,-0.872446424771392
11312,2021,2022,0.7985,141081,82377,OIBR3,2023-05-22,2023-05-22,2024-05-24,-0.46846846846846846,0.12786544832411972,-0.5963339167925882
11312,2022,2023,0.9042,82377,52961,OIBR3,2024-03-27,2024-03-27,2025-03-31,-0.8515753730534259,0.02011831409386211,-0.871693687147288
11312,2023,2024,0.8674,52961,47017,OIBR3,2025-03-26,2025-03-26,2026-04-02,-0.8790322580645161,0.41905029466200583,-1.2980825527265218
12653,2015,2016,0.8038,38360,39471,KLBN11,2017-02-09,2017-02-09,2018-02-21,0.16361256523375012,0.3245896360326326,-0.16097707079888246
12653,2016,2017,0.9097,39471,35238,KLBN11,2018-02-01,2018-02-01,2019-02-12,0.028232636644910603,0.12483923081565695,-0.09660659417074635
12653,2017,2018,0.8559,35238,37308,KLBN11,2019-02-07,2019-02-07,2020-02-12,0.10816326533619969,0.23588126508186646,-0.12771799974566678
