cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,poc_group,group,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
5258,RAIADROGASIL,2022,2023,0.7686,12138,5541,font_heading,font_heading,current_66,,RADL3,2024-03-05,2024-03-05,2025-09-05,-0.3158517351328193,0.1135225960788961,-0.4293743312117154
5410,WEG,2015,2016,0.99,2516,2501,font_heading,font_heading,current_66,,WEGE3,2017-02-22,2017-02-22,2018-09-04,0.4178362572933585,0.0892592238905196,0.3285770334028388
5410,WEG,2016,2017,0.9852,2501,2524,font_heading,font_heading,current_66,,WEGE3,2018-02-28,2018-02-28,2019-09-09,0.253908586052902,0.2088606934986567,0.0450478925542452
5410,WEG,2017,2018,0.9835,2524,2615,font_heading,font_heading,current_66,,WEGE3,2019-04-10,2019-04-10,2020-10-15,3.406437534097109,0.0323136896067832,3.3741238444903257
5410,WEG,2018,2019,0.9799,2615,2633,font_heading,font_heading,current_66,,WEGE3,2020-02-19,2020-02-19,2021-08-30,0.5026628430970914,0.0276555644812457,0.4750072786158457
5410,WEG,2019,2020,0.9692,2633,2695,font_heading,font_heading,current_66,,WEGE3,2021-02-24,2021-02-24,2022-08-29,-0.3455594002306805,-0.0289160905482926,-0.3166433096823878
5410,WEG,2020,2021,0.8919,2695,2214,font_heading,font_heading,current_66,,WEGE3,2022-02-16,2022-02-16,2023-08-22,0.1651757188498401,0.0084654623876605,0.1567102564621796
5410,WEG,2021,2022,0.893,2214,2482,font_heading,font_heading,current_66,,WEGE3,2023-02-15,2023-02-15,2024-08-22,0.3940329218106995,0.2333322749405249,0.1607006468701746
5410,WEG,2022,2023,0.9741,2482,2322,font_heading,font_heading,current_66,,WEGE3,2024-02-21,2024-02-21,2025-08-25,0.0300300300300297,0.0614742203393976,-0.0314441903093678
8133,LOJAS RENNER,2015,2016,0.1359,9858,1385,font_heading,font_heading,current_66,,LREN3,2017-02-09,2017-02-09,2018-08-22,0.3597478988110343,0.183751715734453,0.1759961830765812
8133,LOJAS RENNER,2016,2017,0.1258,1385,6401,font_heading,font_heading,current_66,,LREN3,2018-02-08,2018-02-08,2019-08-22,0.5516388728137114,0.22664291173106,0.3249959610826514
8133,LOJAS RENNER,2017,2018,0.6332,6401,4064,font_heading,font_heading,current_66,,LREN3,2019-02-07,2019-02-07,2020-08-14,0.0558477507718999,0.0735963834344979,-0.0177486326625979
8133,LOJAS RENNER,2020,2021,0.1634,8055,20734,font_heading,font_heading,current_66,,LREN3,2022-03-17,2022-03-17,2023-09-19,-0.3624454150338475,0.0421790307485216,-0.4046244457823692
8133,LOJAS RENNER,2021,2022,0.1368,20734,2231,font_heading,font_heading,current_66,,LREN3,2023-02-16,2023-02-16,2024-08-23,-0.0841073270295039,0.2334606980842348,-0.3175680251137388
8133,LOJAS RENNER,2022,2023,0.0777,2231,3472,font_heading,font_heading,current_66,,LREN3,2024-03-14,2024-03-14,2025-09-16,0.1259842519003038,0.1282150038879326,-0.0022307519876287
8451,MARCOPOLO,2015,2016,0.9488,3386,3414,font_heading,font_heading,current_66,,POMO4,2017-02-23,2017-02-23,2018-09-05,0.2578397209064296,0.1131147757257893,0.1447249451806402
8451,MARCOPOLO,2016,2017,0.9285,3414,3917,font_heading,font_heading,current_66,,POMO4,2018-02-22,2018-02-22,2019-09-03,-0.1017435147479103,0.1499009360747845,-0.2516444508226948
8451,MARCOPOLO,2017,2018,0.9519,3917,3504,font_heading,font_heading,current_66,,POMO4,2019-02-26,2019-02-26,2020-09-02,-0.2770780858248958,0.0441443610563254,-0.3212224468812212
8451,MARCOPOLO,2018,2019,0.8897,3504,4438,font_heading,font_heading,current_66,,POMO4,2020-02-27,2020-02-27,2021-09-03,-0.4565656565333333,0.1354560682051009,-0.5920217247384343
8451,MARCOPOLO,2019,2020,0.893,4438,3435,font_heading,font_heading,current_66,,POMO4,2021-02-25,2021-02-25,2022-08-30,0.0348837208290968,-0.016263844649871,0.0511475654789679
8451,MARCOPOLO,2020,2021,0.9751,3435,3292,font_heading,font_heading,current_66,,POMO4,2022-02-25,2022-02-25,2023-08-31,1.0896551724263497,0.0229788352577302,1.0666763371686194
8451,MARCOPOLO,2021,2022,0.9979,3292,3267,font_heading,font_heading,current_66,,POMO4,2023-02-28,2023-02-28,2024-09-02,1.9126582278882869,0.2856531848789974,1.6270050430092895
8451,MARCOPOLO,2022,2023,0.9926,3267,3248,font_heading,font_heading,current_66,,POMO4,2024-02-27,2024-02-27,2025-08-29,0.2919860626219379,0.0739079395702175,0.2180781230517203
8656,GERDAU MET,2015,2016,0.8702,8286,6643,font_heading,font_heading,current_66,,GOAU4,2017-02-22,2017-02-22,2018-09-04,0.2988115450487754,0.0892592238905196,0.2095523211582557
8656,GERDAU MET,2016,2017,0.9072,6643,6558,font_heading,font_heading,current_66,,GOAU4,2018-02-28,2018-02-28,2019-09-09,-0.1903553299896061,0.2088606934986567,-0.3992160234882629
8656,GERDAU MET,2017,2018,0.918,6558,7916,font_heading,font_heading,current_66,,GOAU4,2019-02-21,2019-02-21,2020-08-28,0.2609308884977437,0.0537553695998245,0.2071755188979192
8656,GERDAU MET,2018,2019,0.8262,7916,6858,font_heading,font_heading,current_66,,GOAU4,2020-02-19,2020-02-19,2021-08-30,0.2850098619427939,0.0276555644812457,0.2573542974615481
8656,GERDAU MET,2022,2023,0.8258,2538,1968,font_heading,font_heading,current_66,,GOAU4,2024-02-20,2024-02-20,2025-08-22,-0.0835820895023403,0.0619787646043281,-0.1455608541066685
8672,IGUATEMI S.A,2015,2017,0.0397,455,1727,font_heading,font_heading,current_66,,IGTI11,2018-03-14,2021-11-22,2023-05-29,0.0545715653422691,0.0804038331660339,-0.0258322678237648
8672,IGUATEMI S.A,2017,2018,0.5493,1727,1879,font_heading,font_heading,current_66,,IGTI11,2019-03-14,2021-11-22,2023-05-29,0.0545715653422691,0.0804038331660339,-0.0258322678237648
8672,IGUATEMI S.A,2018,2019,0.9649,1879,1845,font_heading,font_heading,current_66,,IGTI11,2020-03-12,2021-11-22,2023-05-29,0.0545715653422691,0.0804038331660339,-0.0258322678237648
8672,IGUATEMI S.A,2019,2021,0.0638,1845,10631,font_heading,font_heading,current_66,,IGTI11,2022-04-18,2022-04-18,2023-10-19,-0.0854415274463006,-0.0145474112315747,-0.0708941162147258
8672,IGUATEMI S.A,2021,2022,0.9968,10631,10800,font_heading,font_heading,current_66,,IGTI11,2023-02-28,2023-02-28,2024-09-02,0.1303673047077083,0.2856531848789974,-0.155285880171289
8672,IGUATEMI S.A,2022,2023,0.7499,10800,23133,font_heading,font_heading,current_66,,IGTI11,2024-02-20,2024-02-20,2025-08-22,-0.0413293566254793,0.0619787646043281,-0.1033081212298074
12653,KLABIN S/A,2015,2016,0.9104,11782,13303,font_heading,font_heading,current_66,,KLBN11,2017-02-09,2017-02-09,2018-08-22,0.3056282720485981,0.183751715734453,0.121876556314145
12653,KLABIN S/A,2021,2022,0.8247,19829,22209,font_heading,font_heading,current_66,,KLBN11,2023-02-08,2023-02-08,2024-08-15,0.1920956842516321,0.2201146160002016,-0.0280189317485695
12653,KLABIN S/A,2022,2023,0.4761,22209,2909,font_heading,font_heading,current_66,,KLBN11,2024-02-07,2024-02-07,2025-08-13,-0.077813802440217,0.0518462884542427,-0.1296600908944598
13986,SUZANO S.A.,2017,2018,0.6801,7269,10630,font_heading,font_heading,current_66,,SUZB3,2019-02-21,2019-02-21,2020-08-28,0.0703190596137699,0.0537553695998245,0.0165636900139454
13986,SUZANO S.A.,2018,2019,0.4192,10630,15935,font_heading,font_heading,current_66,,SUZB3,2020-02-12,2020-02-12,2021-08-23,0.4369999999999998,0.0068358787425828,0.430164121257417
14311,COPEL,2018,2019,0.8699,22622,21372,font_heading,font_heading,current_66,,CPLE3,2020-03-25,2020-03-25,2021-10-01,0.1478859766596516,0.50622081854624,-0.3583348418865884
14311,COPEL,2019,2020,0.9693,21372,20763,font_heading,font_heading,current_66,,CPLE3,2021-05-05,2021-05-05,2022-11-08,0.4314814814814816,-0.0284707560207699,0.4599522375022515
14311,COPEL,2020,2021,0.9607,20763,21909,font_heading,font_heading,current_66,,CPLE3,2022-03-22,2022-03-22,2023-09-22,0.2247838616714697,-0.0107766155458179,0.2355604772172876
14311,COPEL,2021,2023,0.9232,21909,25112,font_heading,font_heading,current_66,,CPLE3,2024-02-29,2024-02-29,2025-09-02,0.2233115468409587,0.0877006529684307,0.135610893872528
14320,USIMINAS,2015,2016,0.7322,8699,10028,font_heading,font_heading,current_66,,USIM5,2017-02-17,2017-02-17,2018-08-30,0.4825688073394494,0.1277619463302612,0.3548068610091881
14320,USIMINAS,2016,2017,0.732,10028,12194,font_heading,font_heading,current_66,,USIM5,2018-02-09,2018-02-09,2019-08-23,-0.3561887800534283,0.2072813283773411,-0.5634701084307695
14320,USIMINAS,2017,2018,0.6945,12194,7252,font_heading,font_heading,current_66,,USIM5,2019-02-15,2019-02-15,2020-08-24,0.0308510638297871,0.0489315095855038,-0.0180804457557166
14320,USIMINAS,2018,2019,0.7786,7252,8049,font_heading,font_heading,current_66,,USIM5,2020-02-14,2020-02-14,2021-08-25,0.8121212121212122,0.0562770642249961,0.7558441478962161
14320,USIMINAS,2019,2020,0.694,8049,4754,font_heading,font_heading,current_66,,USIM5,2021-02-12,2021-02-12,2022-08-19,-0.3622269203664552,-0.0664204556491938,-0.2958064647172613
14320,USIMINAS,2020,2021,0.9798,4754,4363,font_heading,font_heading,current_66,,USIM5,2022-02-11,2022-02-11,2023-08-17,-0.5582743077913714,0.0124145533662021,-0.5706888611575736
14320,USIMINAS,2021,2022,0.9347,4363,4446,font_heading,font_heading,current_66,,USIM5,2023-02-10,2023-02-10,2024-08-19,-0.114441416893733,0.2562930550239193,-0.3707344719176523
14320,USIMINAS,2022,2023,0.989,4446,4175,font_heading,font_heading,current_66,,USIM5,2025-01-16,2025-01-16,2026-07-23,0.7541322314049588,0.4577050655863108,0.2964271658186479
14320,USIMINAS,2023,2024,0.8175,4175,6498,font_heading,font_heading,current_66,,USIM5,2025-02-14,2025-02-14,2026-08-21,0.0953177257525081,0.3339074310519248,-0.2385897052994166
14443,SABESP,2015,2016,0.2709,14310,31964,font_heading,font_heading,current_66,,SBSP3,2017-03-27,2017-03-27,2018-10-04,-0.1803797468912137,0.2899220459414393,-0.470301792832653
14443,SABESP,2018,2019,0.8402,34617,18892,font_heading,font_heading,current_66,,SBSP3,2020-03-27,2020-03-27,2021-10-05,-0.0806089343755238,0.5042826532049149,-0.5848915875804388
14443,SABESP,2021,2022,0.9555,18283,20046,font_heading,font_heading,current_66,,SBSP3,2023-03-23,2023-03-23,2024-09-25,0.9000207427234115,0.3437288680451043,0.5562918746783072
