scenario,holding_months,n_groups,n_months_raw,avg_n_active,annualized_ls_return_raw,t_stat_raw_mean,p_value_raw_mean,n_months_factor_model,alpha_monthly,alpha_annualized,t_stat_alpha,p_value_alpha,beta_mkt,beta_smb,beta_hml,beta_wml
narrow_annual_reliable,3,2,38,40.0,0.005694817945273378,0.07621453811372247,0.9392484165886247,38,-0.003961454381927019,-0.046515262340558805,-0.5092105522776981,0.6106046473428219,0.13911469190120632,0.14587276918866854,0.164897919325606,0.09341136166524501
narrow_annual_reliable,3,3,36,41.77777777777778,0.03532792268043239,0.30976013101099836,0.7567433721589036,36,-0.002496060296045259,-0.029544924766934377,-0.23435328231351354,0.8147107240870022,0.18396307147712088,0.19152408709019125,0.17843439928665206,0.13323503468876832
narrow_annual_reliable,6,2,76,39.328947368421055,0.03571374670258143,0.3233391876396139,0.7464383790782037,76,-3.192809422141894e-05,-0.00038306985720515385,-0.0036127620754060953,0.9971174391887353,-0.09071333210007793,0.22297727410834373,0.10386508428458391,0.001981974988462115
narrow_annual_reliable,6,3,64,45.421875,0.00656228169826667,0.09884476486724934,0.921261525277751,64,-0.004084140485388163,-0.04792364291039408,-0.6188842220654034,0.5359926333327847,0.1519504913789294,0.1216644376371283,0.29071699063456513,0.09656593414714214
narrow_annual_reliable,12,2,109,50.678899082568805,-0.048243430381430086,-1.4961822214297615,0.13460617620309046,109,-0.005677550686000705,-0.06604287910026896,-1.6267658003248264,0.10378684770422025,0.020684530332831273,0.05114940639762074,0.0824537503236959,0.03702873145041634
narrow_annual_reliable,12,3,109,50.678899082568805,-0.061365031974313866,-1.5290820765792785,0.12624409804608833,109,-0.007744065064526397,-0.08907113797242272,-1.892354204843657,0.05844380331063366,0.0075684857426747,0.09524744697581901,0.12450115055944974,0.06715019114753068
