Modelo,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
M0,437,86,0.17996901886023398,0.14324328873314093,-0.1017797360486285,0.46171777376909645,0.20983316659969153,0.004454263841756512
M1,432,86,0.1210720493694992,0.10712297380154225,-0.08965099265126242,0.3317950913902608,0.25919881658949584,0.2002593309018036
M2,432,86,0.10837070464779824,0.09734983166942313,-0.08313380820310282,0.2998752174986993,0.26642890557550625,0.19997301116718114
M3,418,83,0.07994774537677186,0.09928526170814166,-0.11539359023486266,0.2752890809884064,0.42128892915995175,0.23636340711066528
