cd_cvm,year_prev,year_curr,cosine_similarity,diagnostic_prev,diagnostic_curr,stock_return,ar_market_adjusted,ar_capm,ar_ff4,company_name,ctrl_year,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return,size_tercile,peer_bh_return,ar_size_matched
2437,2015,2016,0.6305,regex_only,regex_only,0.2423568651346208,-0.0826593574764569,-0.08975259437459521,-0.18078718186844306,AXIA ENERGIA S.A.,2016.0,170499429.0,60748853.0,3513276.0,44064927.0,126434502.0,18.95424250570863,17.922258759348253,0.7415538148224532,0.020605793348434,0.0797295318337869,2.8991452984968618,2.0,0.15103602912552666,0.09132083600909413
2437,2016,2017,0.8597,regex_only,regex_only,0.6125394678389464,0.4538420634726594,0.4592043289888197,0.4064064026048788,AXIA ENERGIA S.A.,2017.0,172975359.0,37876024.0,-1725691.0,42752532.0,130222827.0,18.968659708791424,17.449828857731962,0.7528403337495024,-0.0099765134755407,-0.0403646502153369,-0.1483927787545815,2.0,0.14526187930005205,0.46727758853889434
2437,2017,2018,0.0167,regex_only,regex_only,-0.2874904405027696,-0.0820177376430277,0.22174501120019774,0.25979054816385294,AXIA ENERGIA S.A.,2018.0,181210208.0,24975747.0,13347577.0,56008948.0,125201260.0,19.015168285527206,17.03341579196151,0.6909172578180585,0.0736579751621939,0.2383115105107848,0.3673814897923633,2.0,-0.05932068739026217,-0.22816975311250745
2437,2018,2019,0.0,regex_only,font_heading,0.6603415559772299,0.0601669377961842,-0.042584126831417324,-0.2994801163534475,AXIA ENERGIA S.A.,2019.0,177466715.0,27725527.0,10743843.0,71394146.0,106072569.0,18.9942936281687,17.137864099135474,0.5977040201594986,0.0605400454952918,0.15048632978956,0.5775706906245932,2.0,0.4161283068310194,0.24421324914621045
2437,2019,2020,0.4072,font_heading,font_heading,0.0891029500301023,0.0647414674207624,0.07902384929203313,0.03289232522075616,AXIA ENERGIA S.A.,2020.0,178966449.0,29080513.0,6387313.0,73751294.0,105215155.0,19.002708910482564,17.185578851464363,0.5879043563075893,0.0356900024316848,0.0866061143279736,0.0205956025605342,2.0,0.0211496189572942,0.0679533310728081
2437,2020,2021,0.9366,font_heading,font_heading,-0.1206503137478608,0.0034730671187024,0.05717917981954372,0.10365531679241118,AXIA ENERGIA S.A.,2021.0,188303069.0,37616241.0,5713633.0,76416764.0,111886305.0,19.053563291954468,17.442946456589613,0.594182057648779,0.0303427502819935,0.0747693660516689,-0.1066844919786096,2.0,-0.2247765215328164,0.10412620778495561
2437,2021,2022,0.1851,font_heading,font_heading,0.2997804954531202,0.068666204485662,0.05125626990671911,-0.08487439372451183,AXIA ENERGIA S.A.,2022.0,270217462.0,34074233.0,3638382.0,111028636.0,159188826.0,19.414737607605,17.34405202612259,0.589113763491717,0.0134646442649217,0.0327697622080127,0.2705882352941176,2.0,0.196957982394364,0.1028225130587562
2437,2022,2023,0.2157,font_heading,font_heading,0.1035564853556485,0.0170227920242065,0.012949311997291393,-0.010853733520086714,AXIA ENERGIA S.A.,2023.0,267057654.0,37158908.0,4394861.0,112464644.0,154593010.0,19.402975125638708,17.430714085041092,0.5788750394699416,0.0164566000418771,0.039077712280848,0.0363947239863213,2.0,0.030312573144736104,0.07324391221091239
2437,2023,2024,0.6708,font_heading,font_heading,0.7963813569051086,0.418523345116732,0.5059706465463594,0.47078064540957576,AXIA ENERGIA S.A.,2024.0,289871330.0,40181552.0,10380753.0,121999776.0,167871554.0,19.484947692830243,17.50891854278727,0.5791243790822639,0.0358115892316773,0.0850882955719525,-0.1787776708373436,2.0,0.24136491591759596,0.5550164409875127
2453,2015,2016,0.9415,font_heading,font_heading,-0.1208465679997133,-0.4500940686519062,-0.5403828900965277,-0.7236637667829724,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016.0,42035853.0,18772656.0,334754.0,12934371.0,29101482.0,17.55403345495894,16.747911900949614,0.6923014503833193,0.0079635353182912,0.0258809647566163,0.237560192831719,2.0,0.16754527608617822,-0.2883918440858915
