cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct,company_name,__ctrl_year__,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return
2577,2016,2017,0.9695,214624,255415,dropped_or_delisted,True,True,True,2018-03-21,2577.0,CESP6,2017-12-31,-0.365,2018-03-31,0.26,0.625,1.7123287671232876,CESP - Companhia Energética de São Paulo,2017.0,11131537.0,1476615.0,-168528.0,7114565.0,4016972.0,16.225292808955555,14.205262864027771,0.3608640927124439,-0.0151396882568867,-0.0236877447883321,0.010719754977029
2577,2017,2018,0.9615,255415,235309,dropped_or_delisted,True,True,True,2019-03-22,2577.0,CESP6,2018-12-31,0.21,2019-03-31,0.185,-0.024999999999999994,-0.11904761904761903,CESP - Companhia Energética de São Paulo,2018.0,10326500.0,1634110.0,294433.0,7102066.0,3224434.0,16.15022396470984,14.306608871597676,0.3122484869026292,0.028512371084104,0.0414573731080505,0.7165354330708662
2577,2018,2019,0.8204,235309,134950,dropped_or_delisted,True,True,True,2020-02-17,2577.0,CESP6,2019-12-31,0.05,2020-03-31,0.2,0.15000000000000002,3.0000000000000004,CESP - Companhia Energética de São Paulo,2019.0,12929688.0,1571296.0,1163014.0,7144905.0,5784783.0,16.375036620526515,14.267411314512156,0.447403139194078,0.0899491155548378,0.1627752923236907,0.5209523809523811
3980,2015,2016,0.991,203796,201424,stayed,True,True,True,2017-02-22,3980.0,GGBR4,2016-12-31,-0.012,2017-03-31,0.041,0.053000000000000005,4.416666666666667,GERDAU S.A.,2016.0,54635141.0,37651667.0,-2885929.0,24274653.0,30360488.0,17.8161878417469,17.443887787458433,0.5556952438358309,-0.0528218459251345,-0.1188865192017368,1.2268041237193752
3980,2016,2017,0.9829,201424,211551,stayed,True,True,True,2018-02-28,3980.0,GGBR4,2017-12-31,0.094999999,2018-06-30,0.219999999,0.125,1.315789487534626,GERDAU S.A.,2017.0,50301761.0,36917619.0,-338667.0,23893941.0,26407820.0,17.733550644397493,17.424199474728407,0.5249879820310863,-0.0067327066342667,-0.0141737606198994,0.1336996336102425
3980,2017,2018,0.9855,211551,220360,stayed,True,True,True,2019-02-21,3980.0,GGBR4,2018-12-31,0.179999999,2019-03-31,0.243333332,0.06333333300000002,0.3518518519547326,GERDAU S.A.,2018.0,51281029.0,46159478.0,2326382.0,25938571.0,25342458.0,17.752831436678015,17.647612871607976,0.494187782386348,0.045365353335636,0.0896881327811004,0.2370617694074319
3980,2021,2022,0.9839,221121,226913,stayed,True,True,True,2023-03-01,3980.0,GGBR4,2022-12-31,1.074999994,2023-03-31,1.115000044,0.040000050000000176,0.03720934904488956,GERDAU S.A.,2022.0,73798652.0,82412210.0,11479552.0,46298193.0,27500459.0,18.116851023821223,18.22724416351384,0.3726417523181859,0.1555523263487251,0.2479481650612152,-0.0154207171870411
3980,2022,2023,0.9869,226913,225135,stayed,True,True,True,2024-02-20,3980.0,GGBR4,2023-12-31,0.465000018,2024-03-31,0.440000017,-0.025000000999999994,-0.053763440929587215,GERDAU S.A.,2023.0,74885144.0,68916447.0,7536983.0,49238863.0,25646281.0,18.131466084355303,18.04840541577046,0.3424748839369261,0.1006472391907265,0.1530698017945702,-0.1730858467142618
3980,2023,2024,0.9726,225135,239444,stayed,True,True,True,2025-02-24,3980.0,GGBR4,2024-12-31,0.32,2025-03-31,0.576666667,0.256666667,0.802083334375,GERDAU S.A.,2024.0,86814493.0,67026656.0,4599062.0,58173786.0,28640707.0,18.279284135738717,18.020600948979887,0.3299069776287238,0.0529757398917252,0.0790572922312465,-0.0752761259005477
4170,2015,2016,0.9052,224509,237390,stayed,True,True,True,2017-02-23,4170.0,VALE3,2016-12-31,1.146666667,2017-03-31,1.584,0.437333333,0.3813953484356408,VALE S.A.,2016.0,322696154.0,94633264.0,13296496.0,133701739.0,188994415.0,19.592221738760895,18.36551960012248,0.5856729702455642,0.0412043832415802,0.0994489383567404,1.0156985871271584
