method,window,n_simple,p_simple,n_nocontrols,p_nocontrols,n_controls,p_controls,n_fe,p_fe
"CMN (TF bruto, sem IDF)",12m,704,0.5482495548694301,704,0.6064425617258389,671,0.6041129737311541,671,0.5069998869284711
TF-IDF (projeto),12m,704,0.4885880408296381,704,0.5785576828993689,671,0.6103516051657498,671,0.5850818095194814
"CMN (TF bruto, sem IDF)",18m,630,0.5109269925464408,630,0.6043600938562375,598,0.4457806090554841,598,0.3696626039194846
TF-IDF (projeto),18m,630,0.6046085137523239,630,0.6934683963301518,598,0.5851226625985176,598,0.5955578041996366
