cd_cvm,ano,n_chars_extraidos,saldo_emprestimos_financiamentos,ativo_total,fonte_dado,confianca_nota_nao_existe,motivo
25585,2019,61958,2783048.0,15135472.0,con,baixa,saldo de Empréstimos e Financiamentos é material (~18.39% do ativo total)
9512,2015,0,351035000.0,793375000.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
19550,2023,0,7622192.0,24648800.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
19909,2018,188,3319241.0,18003585.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
22349,2020,93,180784.0,1413249.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
22357,2019,13,0.0,4744122.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
22357,2021,0,0.0,10887575.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
24295,2023,0,17391000.0,41110000.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
25011,2019,0,192137.0,993986.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
25011,2020,129,362902.0,1255854.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
25232,2024,0,846.0,978995.0,con,indeterminado,"texto extraído quase vazio (provável falha de extração/leitura do PDF, não dá para avaliar)"
20087,2020,99429,366729.0,42614656.0,con,moderada,saldo pequeno em relação ao ativo total (~0.86%)
20770,2020,8666,41537.0,4275916.0,con,moderada,saldo pequeno em relação ao ativo total (~0.97%)
14761,2016,27313,1308.0,1472492.0,con,moderada-alta,saldo positivo mas irrisório (~0.0888% do ativo total)
