fonte,n,n_empresas,beta,se,p
narrow_annual,441,87,0.0350187125094574,0.11154500311672531,0.7535647421906244
whole_notes,415,82,0.2181995800462853,0.24358474721191337,0.3703675648090029
mgmt_report,491,78,0.3192468254175707,0.2091683769697441,0.12694334282645656
