CD_CVM,ANO
2437,2014
2437,2018
2437,2019
2437,2020
3980,2019
4030,2020
4057,2014
4170,2019
4820,2010
4820,2012
4820,2014
4820,2015
4820,2018
4820,2020
4820,2023
5258,2011
5258,2012
5258,2013
5258,2014
5258,2015
5258,2016
6173,2011
6173,2012
6173,2014
6173,2015
6173,2016
6173,2017
7870,2013
7870,2014
7870,2015
7870,2016
8087,2012
8087,2018
8575,2015
8575,2016
8575,2017
8575,2018
8575,2019
8575,2022
8672,2016
8672,2020
9512,2019
9512,2020
9989,2019
11932,2013
13471,2018
14109,2013
14109,2014
14109,2015
14109,2019
14176,2017
14320,2011
14443,2010
14443,2014
14443,2015
14443,2017
14826,2019
15539,2016
15539,2023
15539,2024
15539,2025
16292,2012
16292,2013
16292,2014
16292,2016
16292,2017
16306,2019
17329,2012
17329,2015
17329,2020
17450,2017
17639,2011
17639,2012
18350,2013
18627,2013
18627,2017
18627,2018
18627,2019
18627,2020
18724,2011
18724,2012
18724,2015
18724,2023
18724,2024
18961,2011
18961,2013
18970,2016
19453,2010
19453,2021
19615,2010
19615,2011
19615,2012
19615,2013
19615,2014
19739,2011
19739,2016
19739,2017
19739,2019
19763,2010
19771,2010
19771,2012
19771,2013
19771,2018
19836,2012
19836,2017
19879,2012
19879,2013
19879,2014
19879,2015
19879,2016
19879,2017
19879,2020
19909,2010
19909,2011
19909,2013
19909,2014
19909,2019
19909,2020
20010,2019
20087,2011
20087,2015
20087,2018
20087,2020
20087,2022
20125,2023
20168,2013
20257,2012
20338,2010
20338,2014
20338,2015
20338,2016
20338,2017
20338,2018
20435,2013
20435,2014
20435,2015
20435,2016
20435,2017
20435,2018
20435,2019
20516,2015
20516,2016
20516,2017
20524,2014
20524,2015
20524,2018
20524,2020
20575,2010
20575,2017
20575,2018
20575,2021
20605,2011
20605,2012
20605,2013
20605,2015
20605,2016
20605,2017
20605,2018
20605,2019
20621,2010
20621,2011
20621,2012
20621,2013
20621,2014
20621,2015
20621,2016
20621,2017
20621,2018
20621,2019
20621,2020
20702,2024
20745,2018
20745,2019
20788,2012
20788,2013
20788,2014
20788,2018
20915,2011
20915,2012
20915,2014
20915,2015
20915,2016
20915,2017
20915,2018
20915,2020
20931,2012
20931,2015
20931,2016
20931,2018
20990,2014
20990,2015
20990,2016
20990,2017
20990,2018
20990,2019
21148,2022
21180,2016
21237,2017
21237,2022
21237,2024
21350,2011
21350,2012
21350,2014
21350,2016
21350,2018
21350,2019
21350,2020
21431,2011
21431,2012
21490,2011
21490,2012
21881,2017
21881,2020
22055,2012
22055,2014
22055,2015
22187,2010
22187,2016
22187,2018
22187,2020
22349,2020
22357,2010
22357,2011
22365,2020
22470,2010
22470,2012
22470,2013
22470,2014
22470,2015
22470,2016
22470,2017
22470,2019
23140,2016
23248,2018
23248,2019
23272,2018
23272,2019
23272,2020
23272,2022
23272,2023
23272,2024
23485,2014
23485,2017
23574,2014
23825,2016
23825,2024
24171,2017
24384,2018
24384,2019
24384,2020
24392,2017
24392,2019
24694,2019
24821,2018
24821,2019
24961,2019
25011,2020
25011,2021
25011,2023
25232,2019
25232,2020
25291,2020
25585,2019
25585,2020
25712,2020
25780,2020
