cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct,group,company_name,__ctrl_year__,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return
2453,2021,2022,0.9512,127131,145632,2023-03-25,2453.0,CMIG4,2022-12-31,0.309999989,2023-03-31,0.379999986,0.06999999700000004,0.22580644994797094,stayed,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2022.0,53670837.0,34462808.0,4094367.0,21783266.0,31887571.0,17.798380339336045,17.355391271524887,0.5941321727477438,0.0762866247083122,0.1879592803025955,0.0381362006665635
2453,2022,2023,0.9573,145632,172598,2024-03-21,2453.0,CMIG4,2023-12-31,0.393333319,2024-03-31,0.634999977,0.24166665799999998,0.6144067800165182,stayed,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2023.0,55000080.0,36849769.0,5766835.0,24655193.0,30344887.0,17.82284519774114,17.422359907923255,0.5517244156735772,0.1048513929434284,0.2338994061007756,0.04840182652099
2453,2023,2024,0.9694,172598,232098,2025-03-21,2453.0,CMIG4,2024-12-31,0.415,2025-03-31,0.28,-0.13499999999999995,-0.325301204819277,stayed,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2024.0,59726836.0,39819620.0,7119287.0,27383079.0,32343757.0,17.905291991599427,17.499870313611545,0.5415280494684165,0.1191974575716684,0.2599885498632203,0.2537326388235901
2577,2015,2016,0.9491,49106,55268,2017-03-24,2577.0,CESP6,,,,,,,dropped_or_delisted,CESP - Companhia Energética de São Paulo,2016.0,11416449.0,1668590.0,305095.0,7161537.0,4254912.0,16.250565768129217,14.32748951638409,0.3727001276841862,0.026724159149662,0.042601888393511,-0.0245842371655821
2577,2016,2017,0.9446,55268,50127,2018-03-21,2577.0,CESP6,2017-12-31,-0.365,2018-03-31,0.26,0.625,1.7123287671232876,dropped_or_delisted,CESP - Companhia Energética de São Paulo,2017.0,11131537.0,1476615.0,-168528.0,7114565.0,4016972.0,16.225292808955555,14.205262864027771,0.3608640927124439,-0.0151396882568867,-0.0236877447883321,0.010719754977029
2577,2017,2018,0.8922,50127,46664,2019-03-22,2577.0,CESP6,2018-12-31,0.21,2019-03-31,0.185,-0.024999999999999994,-0.11904761904761903,dropped_or_delisted,CESP - Companhia Energética de São Paulo,2018.0,10326500.0,1634110.0,294433.0,7102066.0,3224434.0,16.15022396470984,14.306608871597676,0.3122484869026292,0.028512371084104,0.0414573731080505,0.7165354330708662
2577,2018,2023,0.4094,46664,9404,2024-02-08,2577.0,CESP6,,,,,,,dropped_or_delisted,CESP - Companhia Energética de São Paulo,2023.0,13568181.0,1389769.0,-449370.0,7961186.0,5606995.0,16.423237977137106,14.144648104245915,0.4132458875659162,-0.0331193989820743,-0.0564451075505584,
3980,2018,2019,0.8086,28622,39264,2020-02-19,3980.0,GGBR4,2019-12-31,0.239999999,2020-03-31,0.179999999,-0.06,-0.2500000010416667,stayed,GERDAU S.A.,2019.0,54002970.0,39644010.0,1216887.0,27173127.0,26829843.0,17.804549603016103,17.495450422753684,0.4968216192553853,0.0225337050906644,0.0447827370033636,0.3245033114627429
3980,2019,2022,0.7214,39264,38250,2023-03-01,3980.0,GGBR4,2022-12-31,1.074999994,2023-03-31,1.115000044,0.040000050000000176,0.03720934904488956,stayed,GERDAU S.A.,2022.0,73798652.0,82412210.0,11479552.0,46298193.0,27500459.0,18.116851023821223,18.22724416351384,0.3726417523181859,0.1555523263487251,0.2479481650612152,-0.0154207171870411
3980,2022,2023,0.8514,38250,45753,2024-02-20,3980.0,GGBR4,2023-12-31,0.465000018,2024-03-31,0.440000017,-0.025000000999999994,-0.053763440929587215,stayed,GERDAU S.A.,2023.0,74885144.0,68916447.0,7536983.0,49238863.0,25646281.0,18.131466084355303,18.04840541577046,0.3424748839369261,0.1006472391907265,0.1530698017945702,-0.1730858467142618
3980,2023,2024,0.8965,45753,42643,2025-02-24,3980.0,GGBR4,2024-12-31,0.32,2025-03-31,0.576666667,0.256666667,0.802083334375,stayed,GERDAU S.A.,2024.0,86814493.0,67026656.0,4599062.0,58173786.0,28640707.0,18.279284135738717,18.020600948979887,0.3299069776287238,0.0529757398917252,0.0790572922312465,-0.0752761259005477
4030,2015,2016,0.824,34094,31064,2017-10-28,4030.0,CSNA3,2017-09-30,0.17,2017-12-31,0.0965,-0.07350000000000001,-0.4323529411764706,stayed,CIA SIDERURGICA NACIONAL,2016.0,44153623.0,17148949.0,-853058.0,7384521.0,36769102.0,17.603185542802564,16.65744744689952,0.8327539056081537,-0.0193202265644203,-0.1155197473201037,1.5232558139534884
4030,2016,2017,0.9171,31064,33223,2018-04-06,4030.0,CSNA3,,,,,,,stayed,CIA SIDERURGICA NACIONAL,2017.0,45209970.0,18524601.0,111229.0,8288229.0,36921741.0,17.62682819570056,16.73461019045293,0.8166725392651223,0.002460275908168,0.0134201166497692,-0.2182835820895522
4030,2017,2018,0.9384,33223,37556,2019-02-20,4030.0,CSNA3,2018-12-31,0.435,2019-03-31,0.426666667,-0.008333332999999998,-0.019157087356321836,stayed,CIA SIDERURGICA NACIONAL,2018.0,47327524.0,22968885.0,5200583.0,10013440.0,37314084.0,17.67260258697082,16.94965103191113,0.7884224832890053,0.1098849582750198,0.5193602797839704,0.1770972037283622
4030,2018,2019,0.941,37556,45318,2020-03-04,4030.0,CSNA3,2019-12-31,0.583333333,2020-03-31,-2.725,-3.308333333,-5.671428574097959,stayed,CIA SIDERURGICA NACIONAL,2019.0,50869276.0,25436417.0,2244511.0,11361932.0,39507344.0,17.744769684340678,17.051692445322175,0.7766445113156318,0.0441231166726257,0.1975465968287787,0.5188374596340151
4030,2019,2020,0.9012,45318,108318,2021-02-22,4030.0,CSNA3,2020-12-31,0.275,2021-03-31,1.34,1.065,3.872727272727272,stayed,CIA SIDERURGICA NACIONAL,2020.0,63002149.0,30064020.0,4292618.0,11251505.0,51750644.0,17.95867939488515,17.218839665882633,0.8214107744165997,0.0681344695083337,0.3815150062147242,1.2946685878962536
