cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cosine_similarity_expanding
3980,GERDAU,2022,2023,0.7915,3399,1936,font_heading,font_heading,0.7904
3980,GERDAU,2023,2024,0.7164,1936,3287,font_heading,font_heading,0.715
4030,SID NACIONAL,2010,2011,0.7098,8966,10278,font_heading,font_heading,0.7695
4030,SID NACIONAL,2011,2012,0.7717,10278,7866,font_heading,font_heading,0.7881
4030,SID NACIONAL,2012,2013,0.6891,7866,5217,font_heading,font_heading,0.7177
4030,SID NACIONAL,2013,2014,0.873,5217,4084,font_heading,font_heading,0.8748
4030,SID NACIONAL,2014,2015,0.5305,4084,5211,font_heading,font_heading,0.5208
4030,SID NACIONAL,2015,2016,0.7678,5211,5743,font_heading,font_heading,0.7822
4030,SID NACIONAL,2016,2017,0.6086,5743,6926,font_heading,font_heading,0.6363
4030,SID NACIONAL,2017,2018,0.7164,6926,7544,font_heading,font_heading,0.7321
4030,SID NACIONAL,2018,2019,0.7202,7544,5921,font_heading,font_heading,0.7249
4030,SID NACIONAL,2019,2020,0.7724,5921,5693,font_heading,font_heading,0.7737
4030,SID NACIONAL,2020,2021,0.8045,5693,6982,font_heading,font_heading,0.8062
4030,SID NACIONAL,2021,2022,0.6531,6982,4393,font_heading,font_heading,0.6596
4030,SID NACIONAL,2022,2023,0.9859,4393,4389,font_heading,font_heading,0.9861
4030,SID NACIONAL,2023,2024,0.893,4389,4138,font_heading,font_heading,0.893
4057,Souza Cruz Ltda,2010,2011,0.2479,601,67173,font_heading,font_heading,0.2473
4057,Souza Cruz Ltda,2011,2012,0.177,67173,474,font_heading,font_heading,0.1667
4057,Souza Cruz Ltda,2012,2014,0.2244,474,1500,font_heading,font_heading,0.2135
4170,VALE,2010,2011,0.4381,143535,6874,font_heading,font_heading,0.4951
4170,VALE,2011,2012,0.7681,6874,8473,font_heading,font_heading,0.7981
4170,VALE,2012,2013,0.7163,8473,8163,font_heading,font_heading,0.7433
4170,VALE,2013,2014,0.7767,8163,7466,font_heading,font_heading,0.7667
4170,VALE,2014,2015,0.6386,7466,5438,font_heading,font_heading,0.6534
4170,VALE,2015,2016,0.8273,5438,8641,font_heading,font_heading,0.8228
4170,VALE,2016,2017,0.9281,8641,9102,font_heading,font_heading,0.9302
4170,VALE,2017,2018,0.7452,9102,4664,font_heading,font_heading,0.7457
4170,VALE,2018,2019,0.7056,4664,7049,font_heading,font_heading,0.7162
4170,VALE,2019,2020,0.723,7049,11224,font_heading,font_heading,0.7266
4170,VALE,2020,2021,0.9191,11224,12192,font_heading,font_heading,0.9192
4170,VALE,2021,2022,0.4462,12192,2673,font_heading,font_heading,0.4421
4170,VALE,2022,2023,0.0423,2673,554,font_heading,font_heading,0.0377
4170,VALE,2023,2024,1.0,554,554,font_heading,font_heading,1.0
4650,Confab Industrial SA,2010,2011,0.148,11719,560,regex_only,font_heading,0.1543
4820,BRASKEM,2010,2011,0.3082,79135,635,font_heading,regex_only,0.3065
4820,BRASKEM,2011,2012,0.0597,635,19415,regex_only,font_heading,0.0606
4820,BRASKEM,2012,2013,0.5906,19415,10846,font_heading,regex_only,0.6428
4820,BRASKEM,2013,2015,0.1352,10846,7136,regex_only,regex_only,0.1446
4820,BRASKEM,2015,2017,0.2193,7136,946,regex_only,font_heading,0.2209
4820,BRASKEM,2017,2018,0.7343,946,1054,font_heading,font_heading,0.7319
4820,BRASKEM,2018,2019,0.0255,1054,5403,font_heading,regex_only,0.0258
4820,BRASKEM,2019,2020,0.803,5403,9571,regex_only,regex_only,0.8049
4820,BRASKEM,2020,2021,0.9113,9571,11088,regex_only,regex_only,0.911
4820,BRASKEM,2021,2022,0.9494,11088,11707,regex_only,regex_only,0.9495
4820,BRASKEM,2022,2023,0.5043,11707,7014,regex_only,font_heading,0.5051
4820,BRASKEM,2023,2024,0.6782,7014,1199,font_heading,font_heading,0.6781
5258,RAIADROGASIL,2010,2011,0.1602,8775,3161,regex_only,font_heading,0.1729
5258,RAIADROGASIL,2011,2012,0.6886,3161,2769,font_heading,font_heading,0.6632
5258,RAIADROGASIL,2012,2013,0.9556,2769,2483,font_heading,font_heading,0.9564
5258,RAIADROGASIL,2013,2014,0.0393,2483,3715,font_heading,regex_only,0.0398
5258,RAIADROGASIL,2014,2015,0.0353,3715,2390,regex_only,font_heading,0.0353
5258,RAIADROGASIL,2015,2016,0.9129,2390,2251,font_heading,font_heading,0.9167
5258,RAIADROGASIL,2016,2017,0.005,2251,520,font_heading,regex_only,0.0044
5258,RAIADROGASIL,2017,2018,0.978,520,553,regex_only,regex_only,0.9789
5258,RAIADROGASIL,2018,2019,0.1579,553,8158,regex_only,font_heading,0.1687
5258,RAIADROGASIL,2019,2020,0.5935,8158,25292,font_heading,font_heading,0.595
5258,RAIADROGASIL,2020,2021,0.2253,25292,306,font_heading,font_heading,0.2291
5258,RAIADROGASIL,2021,2022,1.0,306,306,font_heading,font_heading,1.0
5258,RAIADROGASIL,2022,2023,0.1051,306,5541,font_heading,font_heading,0.106
5258,RAIADROGASIL,2023,2024,0.1183,5541,319,font_heading,font_heading,0.1182
5410,WEG,2010,2011,0.1072,7964,2815,regex_only,font_heading,0.1157
5410,WEG,2011,2012,0.9492,2815,2999,font_heading,font_heading,0.9484
5410,WEG,2012,2013,0.9542,2999,2950,font_heading,font_heading,0.949
5410,WEG,2013,2014,0.7921,2950,2566,font_heading,font_heading,0.765
5410,WEG,2014,2015,0.8981,2566,2516,font_heading,font_heading,0.9211
5410,WEG,2015,2016,0.9896,2516,2501,font_heading,font_heading,0.9895
5410,WEG,2016,2017,0.9838,2501,2524,font_heading,font_heading,0.9842
