cd_cvm,year_curr,ticker,window_start,window_end,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
2437,2011,AXIA3,2012-04-17,2013-04-26,0.4061,0.5939,-0.46981008380920175,-0.46981008380920175
2437,2012,AXIA3,2013-04-12,2014-04-16,0.010099999999999998,0.9899,1.6769257624500487,1.6769257624500487
2437,2013,AXIA3,2014-04-03,2015-04-10,0.00990000000000002,0.9901,-0.057335485513304474,-0.057335485513304474
2437,2014,AXIA3,2015-04-09,2016-04-19,0.0020000000000000018,0.998,0.28169757482785274,0.28169757482785274
2437,2015,AXIA3,2016-03-31,2017-04-03,0.008900000000000019,0.9911,0.009861916039992868,0.009861916039992868
2437,2016,AXIA3,2017-03-27,2018-04-05,0.006700000000000039,0.9933,-0.5648387522438454,-0.5648387522438454
2437,2017,AXIA3,2018-03-27,2019-04-05,0.009800000000000031,0.9902,0.3511476151774251,0.3511476151774251
2437,2018,AXIA3,2019-03-27,2020-03-31,0.01649999999999996,0.9835,0.19770448805141494,0.19770448805141494
2437,2019,AXIA3,2020-03-27,2021-04-06,0.009499999999999953,0.9905,-0.13781134291256614,-0.13781134291256614
2437,2020,AXIA3,2021-03-19,2022-03-24,0.011399999999999966,0.9886,0.06949277925000685,0.06949277925000685
2437,2021,AXIA3,2022-03-18,2023-03-21,0.01649999999999996,0.9835,-0.09538890350990137,-0.09538890350990137
2437,2022,AXIA3,2023-03-13,2024-03-18,0.11180000000000001,0.8882,-0.08580191330556175,-0.08580191330556175
2437,2023,AXIA3,2024-05-14,2025-05-19,0.062100000000000044,0.9379,0.17515675334558534,0.17515675334558534
2437,2024,AXIA3,2025-03-17,2026-03-19,0.02300000000000002,0.977,0.39399483382251765,0.39399483382251765
2453,2011,CMIG4,2012-03-28,2013-04-09,0.34040000000000004,0.6596,-0.4933423283044074,-0.4933423283044074
2453,2012,CMIG4,2013-04-16,2014-04-22,0.24819999999999998,0.7518,0.05176296982892348,0.05176296982892348
2453,2013,CMIG4,2014-04-04,2015-04-13,0.2913,0.7087,-0.09423266227755578,-0.09423266227755578
2453,2014,CMIG4,2015-03-27,2016-04-07,0.41879999999999995,0.5812,-0.3782775862033513,-0.3782775862033513
2453,2015,CMIG4,2016-11-14,2017-11-21,0.1522,0.8478,-0.3185660421174312,-0.3185660421174312
2453,2016,CMIG4,2017-04-11,2018-04-20,0.11839999999999995,0.8816,-0.36219742701373103,-0.36219742701373103
2453,2018,CMIG4,2019-04-01,2020-04-03,0.21419999999999995,0.7858,-0.3373674047505201,-0.3373674047505201
2453,2019,CMIG4,2020-04-01,2021-04-09,0.04849999999999999,0.9515,0.04852025496422363,0.04852025496422363
2453,2020,CMIG4,2021-03-30,2022-04-04,0.15510000000000002,0.8449,0.3868497627593859,0.3868497627593859
2453,2021,CMIG4,2022-03-29,2023-03-30,0.025000000000000022,0.975,-0.1049992626695524,-0.1049992626695524
2453,2022,CMIG4,2023-03-27,2024-04-02,0.0494,0.9506,-0.35769713298169725,-0.35769713298169725
2453,2023,CMIG4,2024-03-21,2025-03-25,0.2158,0.7842,0.34254670035242807,0.34254670035242807
2453,2024,CMIG4,2025-03-21,2026-03-25,0.04200000000000004,0.958,-0.3418857606494887,-0.3418857606494887
2461,2011,CLSC4,2012-04-03,2013-04-16,0.0,1.0,-0.4115127125747764,-0.4115127125747764
2461,2012,CLSC4,2013-04-24,2014-04-30,0.010299999999999976,0.9897,0.30207849619313865,0.30207849619313865
2461,2013,CLSC4,2014-03-28,2015-04-06,0.006700000000000039,0.9933,0.4733791658062707,0.4733791658062707
2461,2014,CLSC4,2015-03-27,2016-04-07,0.1825,0.8175,-0.10746697945960204,-0.10746697945960204
2461,2015,CLSC4,2016-03-29,2017-03-30,0.24929999999999997,0.7507,-0.18167194127727837,-0.18167194127727837
2461,2016,CLSC4,2017-04-11,2018-04-27,0.19089999999999996,0.8091,0.07189260184082191,0.07189260184082191
2461,2017,CLSC4,2018-04-16,2019-05-10,0.04590000000000005,0.9541,0.3355201732340576,0.3355201732340576
2461,2018,CLSC4,2019-04-18,2020-05-05,0.02290000000000003,0.9771,-0.4345010013267663,-0.4345010013267663
2461,2020,CLSC4,2021-03-12,2022-03-17,0.05400000000000005,0.946,0.3035705256425705,0.3035705256425705
2461,2021,CLSC4,2022-03-11,2023-03-14,0.052000000000000046,0.948,-0.43451670048341584,-0.43451670048341584
2461,2022,CLSC4,2023-03-29,2024-04-04,0.02200000000000002,0.978,0.2664692722339592,0.2664692722339592
2461,2023,CLSC4,2024-03-28,2025-04-01,0.03939999999999999,0.9606,-0.13961079683015987,-0.13961079683015987
2577,2011,CESP6,2012-03-22,2013-04-03,0.06469999999999998,0.9353,-0.5382742504087131,-0.5382742504087131
2577,2012,CESP6,2013-03-22,2014-03-27,0.034399999999999986,0.9656,0.7124023708283036,0.7124023708283036
2577,2013,CESP6,2014-03-21,2015-03-27,0.19830000000000003,0.8017,-0.2617413611331215,-0.2617413611331215
2577,2014,CESP6,2015-03-27,2016-04-07,0.012700000000000045,0.9873,-0.215534514403531,-0.215534514403531
2577,2015,CESP6,2016-03-24,2017-03-28,0.05469999999999997,0.9453,0.0010653186431344164,0.0010653186431344164
2577,2018,CESP6,2019-03-22,2020-03-26,0.26359999999999995,0.7364,-0.2636370972517328,-0.2636370972517328
3980,2011,GGBR4,2012-02-16,2013-02-28,0.0464,0.9536,0.1909132377363707,0.1909132377363707
3980,2012,GGBR4,2013-02-21,2014-02-24,0.03369999999999995,0.9663,0.06937103993949889,0.06937103993949889
3980,2013,GGBR4,2014-02-21,2015-03-03,0.0383,0.9617,-0.3865285048169047,-0.3865285048169047
3980,2014,GGBR4,2015-03-05,2016-03-15,0.08199999999999996,0.918,-0.3011878478772202,-0.3011878478772202
3980,2015,GGBR4,2016-03-15,2017-03-17,0.05120000000000002,0.9488,2.5029949136411105,2.5029949136411105
3980,2016,GGBR4,2017-02-22,2018-03-06,0.20279999999999998,0.7972,-0.24398178203656595,-0.24398178203656595
3980,2017,GGBR4,2018-02-28,2019-03-11,0.1189,0.8811,-0.41042887804540307,-0.41042887804540307
3980,2018,GGBR4,2019-02-21,2020-02-28,0.10470000000000002,0.8953,0.04667812185369713,0.04667812185369713
3980,2019,GGBR4,2020-02-19,2021-03-01,0.06420000000000003,0.9358,0.44314424936822183,0.44314424936822183
3980,2020,GGBR4,2021-02-24,2022-02-25,0.07130000000000003,0.9287,-0.29044054575916356,-0.29044054575916356
3980,2021,GGBR4,2022-02-23,2023-02-28,0.02400000000000002,0.976,-0.11621326467662074,-0.11621326467662074
3980,2022,GGBR4,2023-03-01,2024-03-06,0.0131,0.9869,-0.5495607537104499,-0.5495607537104499
3980,2023,GGBR4,2024-02-20,2025-02-19,0.19789999999999996,0.8021,0.5103643762038681,0.5103643762038681
3980,2024,GGBR4,2025-02-24,2026-03-02,0.20379999999999998,0.7962,0.011513616406151117,0.011513616406151117
4030,2011,CSNA3,2012-03-26,2013-04-05,0.07230000000000003,0.9277,-0.3083917976355244,-0.3083917976355244
4030,2012,CSNA3,2013-03-28,2014-04-02,0.3346,0.6654,0.42113485094932224,0.42113485094932224
4030,2013,CSNA3,2014-02-28,2015-03-10,0.04239999999999999,0.9576,-0.5578566229569057,-0.5578566229569057
4030,2014,CSNA3,2015-03-12,2016-03-22,0.06940000000000002,0.9306,1.548879029254627,1.548879029254627
4030,2015,CSNA3,2016-11-14,2017-11-21,0.035499999999999976,0.9645,-0.5838452410391297,-0.5838452410391297
4030,2017,CSNA3,2018-04-06,2019-04-16,0.09619999999999995,0.9038,0.8961687881650968,0.8961687881650968
4030,2018,CSNA3,2019-02-20,2020-02-27,0.03920000000000001,0.9608,0.07613745200982791,0.07613745200982791
4030,2019,CSNA3,2020-03-04,2021-03-11,0.0776,0.9224,2.577852339249685,2.577852339249685
4030,2020,CSNA3,2021-02-22,2022-02-23,0.04600000000000004,0.954,-0.8168100296629746,-0.8168100296629746
4030,2021,CSNA3,2022-03-09,2023-03-10,0.04700000000000004,0.953,-0.3361036044853829,-0.3361036044853829
4030,2022,CSNA3,2023-03-16,2024-03-21,0.03959999999999997,0.9604,-0.14748877165053031,-0.14748877165053031
4030,2023,CSNA3,2024-03-06,2025-03-10,0.12849999999999995,0.8715,-0.3432860898395502,-0.3432860898395502
4030,2024,CSNA3,2025-03-12,2026-03-16,0.06279999999999997,0.9372,-0.21258459142558372,-0.21258459142558372
4057,2011,CRUZ3,2012-02-13,2013-02-25,0.1604,0.8396,-0.03743631369698541,-0.03743631369698541
4057,2012,CRUZ3,2013-02-07,2014-02-12,0.08809999999999996,0.9119,-0.4896632787244626,-0.4896632787244626
4170,2011,VALE3,2012-06-28,2013-07-10,0.3528,0.6472,-0.2063799710486922,-0.2063799710486922
4170,2012,VALE3,2013-03-14,2014-03-19,0.18799999999999994,0.812,0.11828421714772253,0.11828421714772253
4170,2013,VALE3,2014-03-17,2015-03-23,0.20440000000000003,0.7956,-0.43459712965490116,-0.43459712965490116
4170,2014,VALE3,2015-02-26,2016-03-08,0.06589999999999996,0.9341,-0.15155715564549677,-0.15155715564549677
4170,2015,VALE3,2016-02-25,2017-02-24,0.027599999999999958,0.9724,0.3972523949452773,0.3972523949452773
