cd_cvm,year_prev,year_curr,cosine_similarity,ticker,window_start,window_end,stock_return,ar_market_adjusted,alpha_i,beta_mkt,beta_smb,beta_hml,beta_mom,n_est_obs,n_event_days,alpha_ar_sum,alpha_ar_compound
2437,2021,2022,0.902,AXIA3,2023-03-13,2024-09-13,0.3019755409219191,-0.006016809062604,0.0001243124547966298,1.0662893526058561,-0.12601102257464092,0.3179959052369679,-0.10219175885957855,252,379,-0.13261589920905378,-0.1535796847221642
2437,2022,2023,0.8666,AXIA3,2024-05-14,2025-11-12,0.6134937238493723,0.3869264049993255,-0.0006763485355090245,1.2762724121126536,-0.07651953892355756,0.3246733346133158,-0.056139488803647095,252,379,0.62489571813511,0.766798772179696
2453,2015,2016,0.9798,CMIG4,2017-04-11,2018-10-22,0.1015521029558366,-0.2284194522652105,-0.00045197532776599454,1.2254518853827086,0.16855175869732125,0.7347178964904671,0.25121283959206137,252,379,-0.10418313484400848,-0.16978501219803765
2453,2016,2017,0.9651,CMIG4,2018-03-29,2019-10-08,0.6133177571311661,0.4421030424382619,-0.002344777539757358,1.4254078684508338,-0.04793976231118435,0.6703634500228814,0.32832381040479786,252,379,1.0863849546182023,1.7716812390652246
2453,2017,2018,0.9727,CMIG4,2019-04-01,2020-10-05,-0.2129679265806955,-0.2133295964460687,0.001305055229989627,1.2851268794752566,-0.08586476400346575,0.38798438292932086,-0.7575957868460925,252,379,-0.4566180915113477,-0.40911486449063217
2453,2018,2019,0.9777,CMIG4,2020-04-01,2021-10-08,0.9457308187894712,0.3557851118593196,-0.0007738804313919749,0.9748360890760379,-0.07830610987388109,0.3178348522486213,0.15952703719340183,252,379,0.43567670746246967,0.4555127950602371
2453,2019,2020,0.9624,CMIG4,2021-03-30,2022-10-03,0.3330552145952172,0.3391759849833577,-0.00047145432152413203,1.1011895879006857,0.07684248101447994,0.3226790061063206,-0.11411038548288405,252,379,0.46953652878413654,0.5329766194891268
2453,2020,2021,0.9734,CMIG4,2022-03-29,2023-09-29,0.1019808743616559,0.1307191475172341,0.0012664849394215469,0.9009811250400132,-0.09429510864645681,0.35642957330156266,-0.42809245159076137,252,379,-0.337848981075636,-0.31920826697191473
2453,2021,2022,0.9772,CMIG4,2023-03-27,2024-09-27,0.3513314967736332,0.019639572375163,0.000338946465741888,1.251335654714466,-0.1938039918712731,0.6547097455659363,0.05528964385433273,252,379,-0.341329060913375,-0.31941791782144147
2453,2022,2023,0.9693,CMIG4,2024-03-21,2025-09-23,0.2310116086133415,0.0884821624748586,-0.0008275075703869166,0.8268341334221192,-0.05269398576957428,0.24492231873801246,0.13432381189202452,252,379,0.44282517632353924,0.4885981945753355
2577,2015,2016,0.9647,CESP6,2017-03-24,2018-10-03,-0.2281181619256018,-0.5322447624379913,-0.0003903385222891109,0.7142041207714271,0.046428290164576266,0.10202446217795688,-0.15188313825949645,252,379,-0.21736874794972078,-0.24204322254502209
2577,2016,2017,0.9695,CESP6,2018-03-21,2019-09-30,0.7845961177207263,0.5519589878947353,-0.001351889261980678,0.7006445044894954,0.42847524701834167,0.31561240599789797,0.13176300640259886,252,379,0.8647188011238763,1.2209682258935777
2577,2017,2018,0.9615,CESP6,2019-03-22,2020-09-25,0.1963414634146341,0.1615174939645398,0.0020734165252725843,0.6650315554191641,0.1964791866534573,-0.41055057314511234,-0.3187471636399396,252,379,-0.5307867466761587,-0.4421942156455355
2577,2018,2019,0.8204,CESP6,2020-02-17,2021-08-26,-0.3196650303205314,-0.3492799522998028,0.0008304886088635006,0.3896136950561621,0.06477568095196386,0.27751955373908554,0.19903783806856773,252,379,-0.7435857591920669,-0.5520636523859056
3980,2015,2016,0.991,GGBR4,2017-02-22,2018-09-04,0.1906941272726288,0.1014349033821091,0.0013966016641136485,1.1442145926782008,-0.631411577162841,1.4661105548977935,-0.6066527776085879,252,379,-0.370007852482914,-0.3552808022272612
3980,2016,2017,0.9829,GGBR4,2018-02-28,2019-09-09,-0.2111913360726062,-0.420052029571263,-3.3136265559477636e-05,1.0727106731094675,-0.477158057760512,1.4515972594814568,0.22683118493431237,252,379,-0.7223821367722219,-0.5454019688429503
3980,2017,2018,0.9855,GGBR4,2019-02-21,2020-08-28,0.2980132458509714,0.2442578762511469,-0.0008248333297089672,0.9031779052289198,-0.1413300826048672,0.9270996127968064,0.4853222545656827,252,379,0.3878130737032144,0.36212854807840844
3980,2021,2022,0.9839,GGBR4,2023-03-01,2024-09-03,-0.2445121951680176,-0.5316119196773734,0.0010991969057367675,1.0986899585332657,-0.5558128295855904,0.24898085798422248,-0.06571199005477751,252,379,-0.9713572173477978,-0.6385656694630677
3980,2022,2023,0.9869,GGBR4,2024-02-20,2025-08-22,-0.082616822258433,-0.1445955868627612,-0.0017086733855830563,0.9174311782984177,-0.2505985895355085,0.1332484321607345,-0.11076268871753532,252,379,0.6368963913731982,0.7729340786891843
4170,2015,2016,0.9052,VALE3,2017-02-23,2018-09-05,0.5722037986132045,0.4590890228874151,0.002222883750983852,0.9725531257050373,-1.3923234045095747,1.3498673276957653,-0.5739942273829121,252,379,-0.4627364539241401,-0.4172337884217048
4170,2016,2017,0.9392,VALE3,2018-02-27,2019-09-06,-0.0185928586520176,-0.202637018318087,0.0006455477217008989,0.6132968032039567,-0.83325839175374,1.1402314380622665,0.40525519060186893,252,379,-0.6309730568305604,-0.516580193872485
4170,2017,2018,0.8964,VALE3,2019-04-18,2020-10-23,0.206732597945987,0.1360869760028469,0.0004034038808675167,0.5865744820620993,-0.12802835196437173,0.5428098750519151,0.9862050199741685,252,379,-0.31368868426155055,-0.33834739050164275
4170,2020,2021,0.9428,VALE3,2022-02-24,2023-08-30,-0.2577107607950651,-0.3109693897614943,-0.0009062889587458274,0.8175227962525327,-0.15060630488818913,0.6193197654749507,0.5447750447542442,252,379,-0.3629256021170049,-0.35884404615914245
4170,2021,2022,0.9321,VALE3,2023-02-16,2024-08-23,-0.35643009305976,-0.5898907911439949,-0.00011534671330182321,0.9253479708127673,-0.4423333967810329,0.2506126720711731,0.11439903301933975,252,379,-0.6761045352799068,-0.5106621197670915
4170,2022,2023,0.939,VALE3,2024-02-22,2025-08-26,-0.1756917584052365,-0.2335143029199825,-0.001753625647878581,0.9977555649574008,-0.291446741572488,0.06594075165708171,0.08859748412622881,252,379,0.5383954430393414,0.6139056855610032
4820,2016,2017,0.9885,BRKM5,2018-03-29,2019-10-08,-0.416875,-0.5880897146929042,0.000746180134635979,0.6427130936901915,-0.4352484048900053,-0.22784477263589498,0.14233349359843303,252,379,-0.750784269391601,-0.5773265037892656
4820,2021,2022,0.9889,BRKM5,2023-03-23,2024-09-25,0.2061298076923077,-0.1375990603527965,-0.002884796902298566,1.0798991461865075,-0.16605581288121612,-0.1854256698933046,0.22990585598901953,252,379,1.1140581635001232,1.5748423411853945
5258,2019,2020,0.9354,RADL3,2021-03-09,2022-09-12,0.0073913043369975,-0.0112552279467534,-0.00010384356167280782,0.5976264861087384,0.21580065207579302,-0.6379362372173876,0.03303180962468788,252,379,0.15440420605664168,0.10632723885608741
5258,2020,2021,0.5221,RADL3,2022-02-22,2023-08-28,0.1788126313292732,0.14135038872175,0.0007200806436398741,0.7703114359239167,-0.03315263837129659,-0.8865188460604997,-0.05641113458799539,252,379,0.2601813574301181,0.2408385966600255
5258,2021,2022,0.9492,RADL3,2023-03-07,2024-09-09,0.2205215907068527,-0.0721953422687902,0.0004149791757424132,0.6188475070525208,0.11018500323471284,-0.356645596070765,-0.13357886264739433,252,379,-0.00976445681241403,-0.043499045061937025
