cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,2021,2022,0.902,388979,267385,stayed,True,True,True,AXIA3,2023-03-13,2023-03-13,2023-06-14,0.23769206647852004,0.15464701008598025,0.08304505639253978
2437,2022,2023,0.8666,267385,237349,stayed,True,True,True,AXIA3,2024-05-14,2024-05-14,2024-08-12,0.030857740585774174,0.020234214568220388,0.010623526017553786
2437,2023,2024,0.8724,237349,251026,stayed,True,True,True,AXIA3,2025-03-16,2025-03-17,2025-06-17,0.024981449418748358,0.06119252218613558,-0.03621107276738722
2453,2015,2016,0.9798,360670,363606,stayed,True,True,True,CMIG4,2017-04-11,2017-04-11,2017-07-13,-0.10829959518088472,0.012718500169127234,-0.12101809535001196
2453,2016,2017,0.9651,363606,357785,stayed,True,True,True,CMIG4,2018-03-29,2018-03-29,2018-06-29,-0.14719626166564337,-0.14763623644008195,0.00043997477443857846
2453,2017,2018,0.9727,357785,421356,stayed,True,True,True,CMIG4,2019-04-01,2019-04-01,2019-07-02,0.05831533475155948,0.047376774319149106,0.010938560432410371
2453,2018,2019,0.9777,421356,419576,stayed,True,True,True,CMIG4,2020-04-01,2020-04-01,2020-07-03,0.320284697553618,0.3635247235675325,-0.04324002601391452
2453,2019,2020,0.9624,419576,490324,stayed,True,True,True,CMIG4,2021-03-30,2021-03-30,2021-06-30,0.04436864641555238,0.08516917506057142,-0.04080052864501904
2453,2020,2021,0.9734,490324,466601,stayed,True,True,True,CMIG4,2022-03-29,2022-03-29,2022-06-29,-0.07739071036572642,-0.16991818549426285,0.09252747512853643
2453,2021,2022,0.9772,466601,430756,stayed,True,True,True,CMIG4,2023-03-25,2023-03-27,2023-06-28,0.14967860424104984,0.1706709118558385,-0.020992307614788652
2453,2022,2023,0.9693,430756,405851,stayed,True,True,True,CMIG4,2024-03-21,2024-03-21,2024-06-21,0.13291873962576362,-0.05319535010417176,0.18611408972993537
2453,2023,2024,0.9686,405851,412561,stayed,True,True,True,CMIG4,2025-03-21,2025-03-21,2025-06-24,-0.030555555555555558,0.0364179558740767,-0.06697351142963226
2577,2015,2016,0.9647,208879,214624,dropped_or_delisted,True,True,True,CESP6,2017-03-24,2017-03-24,2017-06-27,-0.15645514223194756,-0.03411403899879362,-0.12234110323315395
2577,2016,2017,0.9695,214624,255415,dropped_or_delisted,True,True,True,CESP6,2018-03-21,2018-03-21,2018-06-21,-0.029430181590482163,-0.17536229683963556,0.1459321152491534
2577,2017,2018,0.9615,255415,235309,dropped_or_delisted,True,True,True,CESP6,2019-03-22,2019-03-22,2019-06-24,0.09308943089430888,0.08883700511494363,0.004252425779365243
2577,2018,2019,0.8204,235309,134950,dropped_or_delisted,True,True,True,CESP6,2020-02-17,2020-02-17,2020-05-21,-0.22350563095581866,-0.2799606449100722,0.05645501395425356
3980,2015,2016,0.991,203796,201424,stayed,True,True,True,GGBR4,2017-02-22,2017-02-22,2017-05-29,-0.2517162467696642,-0.07039862486340853,-0.18131762190625567
