cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr
13986,2015,2016,0.7953,33573,45801
13986,2016,2017,0.9649,45801,47601
13986,2017,2018,0.8082,47601,54520
13986,2018,2019,0.8585,54520,71610
13986,2019,2020,0.7074,71610,120165
13986,2020,2021,0.9949,120165,121898
13986,2021,2022,0.9084,121898,131336
13986,2022,2023,0.9565,131336,121369
13986,2023,2024,0.8868,121369,116872
14176,2015,2016,0.9646,69893,68346
14176,2016,2017,0.8701,68346,61787
14176,2017,2018,0.4642,61787,95773
14176,2018,2019,0.9317,95773,75913
14176,2019,2020,0.9803,75913,69874
14176,2020,2021,0.8595,69874,100514
14176,2021,2022,0.936,100514,99068
14176,2022,2023,0.9607,99068,89517
14176,2023,2024,0.9858,89517,92088
14311,2015,2016,0.9348,37988,40177
14311,2016,2017,0.9672,40177,44784
14311,2017,2018,0.918,44784,65697
14311,2018,2019,0.9468,65697,78700
14311,2019,2020,0.9433,78700,93064
14311,2020,2021,0.9,93064,66086
14311,2021,2022,0.9543,66086,57673
14311,2022,2023,0.8115,57673,104279
14311,2023,2024,0.849,104279,74335
14320,2015,2016,0.9506,25508,25663
14320,2016,2017,0.9383,25663,26477
14320,2017,2018,0.9631,26477,25406
14320,2018,2020,0.6654,25406,60376
14320,2020,2021,0.8427,60376,66554
14320,2021,2022,0.9619,66554,71454
14320,2022,2023,0.9667,71454,68472
14320,2023,2024,0.947,68472,67201
14443,2015,2016,0.9386,52013,54477
14443,2016,2017,0.9613,54477,54976
14443,2017,2019,0.8843,54976,79418
14443,2019,2020,0.8119,79418,91104
14443,2020,2021,0.8864,91104,100364
14443,2021,2022,0.9413,100364,102642
14443,2022,2023,0.8604,102642,97234
14443,2023,2024,0.6109,97234,168573
14460,2015,2016,0.8023,35334,30674
14460,2016,2018,0.91,30674,28965
14460,2018,2019,0.9932,28965,28797
14460,2019,2021,0.986,28797,29456
14460,2021,2022,0.9842,29456,28462
14460,2022,2023,0.7131,28462,32276
14460,2023,2024,1.0,32276,32276
14761,2015,2017,0.9529,24257,27200
14761,2017,2018,0.9952,27200,27641
14761,2018,2019,0.9922,27641,26906
14761,2019,2020,0.9089,26906,31135
14761,2020,2021,0.96,31135,32525
14826,2015,2016,0.8722,44626,54741
14826,2016,2017,0.9229,54741,53290
14826,2017,2018,0.7064,53290,56826
14826,2018,2019,0.8613,56826,61669
14826,2019,2020,0.7883,61669,54143
14826,2020,2021,0.8981,54143,58601
14826,2021,2022,0.8552,58601,61807
14826,2022,2023,0.7751,61807,54143
14826,2023,2024,0.7634,54143,98236
15253,2015,2016,0.8778,50821,68233
15253,2016,2017,0.9742,68233,68600
15253,2017,2018,0.9944,68600,68436
15253,2018,2019,0.9955,68436,69288
15253,2019,2020,0.9791,69288,73425
15253,2020,2021,0.9872,73425,83539
15253,2021,2022,0.9885,83539,85742
15253,2022,2023,0.6598,85742,140637
15253,2023,2024,0.996,140637,140963
16101,2015,2016,0.9475,51902,64872
16101,2016,2017,0.9255,64872,68138
16101,2017,2018,0.9866,68138,62528
16101,2018,2019,0.9996,62528,62352
16101,2019,2020,0.9346,62352,63597
16101,2020,2021,0.5636,63597,14515
16101,2021,2022,0.6418,14515,43952
16101,2022,2023,0.7643,43952,83564
16101,2023,2024,0.9801,83564,83343
16292,2015,2016,0.2768,70798,59308
