Fonte,n_pares_salto,pct_salto,n_completo,p_simples_completo,p_simples_sem_salto,p_agrup_sc_completo,p_agrup_sc_sem_salto,p_agrup_cc_completo,p_agrup_cc_sem_salto,p_ef_fixos_completo,p_ef_fixos_sem_salto
Nota de dívida (anual),29,4.1,704,0.6451234059288505,0.6914322021855811,0.7154238194591105,0.755309952216219,0.7791330699790426,0.8477477484890655,0.7759672865831979,0.9379326515795081
Conjunto completo de notas,2,0.5,429,0.6277865705844539,0.6291903252681801,0.6405430881017977,0.6422083997958778,0.5130268109170559,0.5119686751156071,0.6599257230641924,0.6069487161388771
Relatório da Administração,34,6.7,504,0.15300463320076008,0.4024154945257715,0.13955787815207837,0.425618907735242,0.030876541331515347,0.15023454615452764,0.4778364474514638,0.9935002316290942
Fatores de Risco,39,5.6,696,0.22571931218729854,0.30603210993375657,0.15125667457174288,0.23434626305409445,0.3080071085256224,0.5177426514385455,0.7582429281012621,0.9973700012934774
