Cenário,Família,Fonte,n_simples,p_simples,n_agrup,p_agrup_sc,n_ctrl,p_agrup_cc,n_fe,p_ef_fixos
"Com passivo (só nível), sem ROA",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.749530088779387,502.0,0.456081166158403
"Com passivo (só nível), sem ROA",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.8461707411661379,,
"Com passivo (só nível), sem ROA",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.4745284900796515,,
"Com passivo (só nível), sem ROA",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.41388800770568457,,
"Com passivo (só variação), sem ROA",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.29536331918074765,432.0,0.15658465655603782
"Com passivo (só variação), sem ROA",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7517581719738134,502.0,0.4517846039529967
"Com passivo (só variação), sem ROA",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.8293125647921422,,
"Com passivo (só variação), sem ROA",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.44916141272022214,,
"Com passivo (só variação), sem ROA",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.3881368071305623,,
"Com passivo (só variação), sem ROA, com tamanho",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.2927435769800265,432.0,0.15959412056275446
"Com passivo (só variação), sem ROA, com tamanho",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7311359993726989,502.0,0.6552463582560923
"Com passivo (só variação), sem ROA, com tamanho",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.7930411607381604,,
"Com passivo (só variação), sem ROA, com tamanho",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.44293534871105067,,
"Com passivo (só variação), sem ROA, com tamanho",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.3460983109847229,,
"Com Empréstimos+Financiamentos+Debêntures, sem ROA",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.30040054180432396,432.0,0.15493456723569876
"Com Empréstimos+Financiamentos+Debêntures, sem ROA",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7569185244289551,502.0,0.4436763305841187
"Com Empréstimos+Financiamentos+Debêntures, sem ROA",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.8507709309756267,,
"Com Empréstimos+Financiamentos+Debêntures, sem ROA",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.4663123371438975,,
"Com Empréstimos+Financiamentos+Debêntures, sem ROA",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.41854818725581644,,
"Com Empréstimos+Financiamentos+Debêntures, sem ROA, com variação do passivo",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.2996962599437787,432.0,0.15319242896334684
"Com Empréstimos+Financiamentos+Debêntures, sem ROA, com variação do passivo",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7578960257843661,502.0,0.453593050235676
"Com Empréstimos+Financiamentos+Debêntures, sem ROA, com variação do passivo",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.850667557714041,,
"Com Empréstimos+Financiamentos+Debêntures, sem ROA, com variação do passivo",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.46523279693051367,,
"Com Empréstimos+Financiamentos+Debêntures, sem ROA, com variação do passivo",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.42000487541273546,,
"Idem, sem retorno passado",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,449,0.16742856015006513,449.0,0.11489001018885459
"Idem, sem retorno passado",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1297,0.6049544618143033,536.0,0.9321298194461825
"Idem, sem retorno passado",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,526,0.877450653453578,,
"Idem, sem retorno passado",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,343,0.5042719754036996,,
"Idem, sem retorno passado",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,996,0.26468608685226613,,
"Idem, sem alavancagem",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.5082688650994382,432.0,0.14498764592129976
"Idem, sem alavancagem",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7588509963757684,502.0,0.4516656786537707
"Idem, sem alavancagem",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.63199862810386,,
"Idem, sem alavancagem",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.6108340871641526,,
"Idem, sem alavancagem",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.4096006001874153,,
"Só Empréstimos+Financiamentos+Debêntures + variação do passivo (sem ROA, alavancagem, retorno passado)",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,449,0.2668314679779247,449.0,0.09319831599645934
"Só Empréstimos+Financiamentos+Debêntures + variação do passivo (sem ROA, alavancagem, retorno passado)",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1297,0.6039745268807537,536.0,0.9171024714609382
"Só Empréstimos+Financiamentos+Debêntures + variação do passivo (sem ROA, alavancagem, retorno passado)",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,526,0.703649841745631,,
"Só Empréstimos+Financiamentos+Debêntures + variação do passivo (sem ROA, alavancagem, retorno passado)",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,343,0.6665591988076509,,
"Só Empréstimos+Financiamentos+Debêntures + variação do passivo (sem ROA, alavancagem, retorno passado)",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,996,0.2565690247653103,,
