cd_cvm,year_curr,ticker,window_start,window_end,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
2437,2011,AXIA3,2012-04-17,2013-04-26,0.45109999999999995,0.5489,-0.46981008380920175,-0.46981008380920175
2437,2012,AXIA3,2013-04-12,2014-04-16,0.5021,0.4979,1.6769257624500487,1.6769257624500487
2437,2013,AXIA3,2014-04-03,2015-04-10,0.5966,0.4034,-0.057335485513304474,-0.057335485513304474
2437,2014,AXIA3,2015-04-09,2016-04-19,0.558,0.442,0.28169757482785274,0.28169757482785274
2437,2015,AXIA3,2016-03-31,2017-04-03,0.5213,0.4787,0.009861916039992868,0.009861916039992868
2437,2016,AXIA3,2017-03-27,2018-04-05,0.05489999999999995,0.9451,-0.5648387522438454,-0.5648387522438454
2437,2017,AXIA3,2018-03-27,2019-04-05,0.050899999999999945,0.9491,0.3511476151774251,0.3511476151774251
2437,2018,AXIA3,2019-03-27,2020-03-31,0.46599999999999997,0.534,0.19770448805141494,0.19770448805141494
2437,2019,AXIA3,2020-03-27,2021-04-06,0.131,0.869,-0.13781134291256614,-0.13781134291256614
2437,2020,AXIA3,2021-03-19,2022-03-24,0.10609999999999997,0.8939,0.06949277925000685,0.06949277925000685
2437,2021,AXIA3,2022-03-18,2023-03-21,0.08409999999999995,0.9159,-0.09538890350990137,-0.09538890350990137
2437,2022,AXIA3,2023-03-13,2024-03-18,0.09740000000000004,0.9026,-0.08580191330556175,-0.08580191330556175
2437,2023,AXIA3,2024-05-14,2025-05-19,0.1331,0.8669,0.17515675334558534,0.17515675334558534
2437,2024,AXIA3,2025-03-17,2026-03-19,0.127,0.873,0.39399483382251765,0.39399483382251765
2453,2011,CMIG4,2012-03-28,2013-04-09,0.04400000000000004,0.956,-0.4933423283044074,-0.4933423283044074
2453,2012,CMIG4,2013-04-16,2014-04-22,0.02629999999999999,0.9737,0.05176296982892348,0.05176296982892348
2453,2013,CMIG4,2014-04-04,2015-04-13,0.06559999999999999,0.9344,-0.09423266227755578,-0.09423266227755578
2453,2014,CMIG4,2015-03-27,2016-04-07,0.03610000000000002,0.9639,-0.3782775862033513,-0.3782775862033513
2453,2015,CMIG4,2016-11-14,2017-11-21,0.0353,0.9647,-0.3185660421174312,-0.3185660421174312
2453,2016,CMIG4,2017-04-11,2018-04-20,0.02070000000000005,0.9793,-0.36219742701373103,-0.36219742701373103
2453,2017,CMIG4,2018-03-29,2019-04-09,0.036699999999999955,0.9633,1.3157113341912727,1.3157113341912727
2453,2018,CMIG4,2019-04-01,2020-04-03,0.029200000000000004,0.9708,-0.3373674047505201,-0.3373674047505201
2453,2019,CMIG4,2020-04-01,2021-04-09,0.022399999999999975,0.9776,0.04852025496422363,0.04852025496422363
2453,2020,CMIG4,2021-03-30,2022-04-04,0.0413,0.9587,0.3868497627593859,0.3868497627593859
2453,2021,CMIG4,2022-03-29,2023-03-30,0.028299999999999992,0.9717,-0.1049992626695524,-0.1049992626695524
2453,2022,CMIG4,2023-03-27,2024-04-02,0.024700000000000055,0.9753,-0.35769713298169725,-0.35769713298169725
2453,2023,CMIG4,2024-03-21,2025-03-25,0.032200000000000006,0.9678,0.34254670035242807,0.34254670035242807
2453,2024,CMIG4,2025-03-21,2026-03-25,0.03249999999999997,0.9675,-0.3418857606494887,-0.3418857606494887
2461,2011,CLSC4,2012-04-03,2013-04-16,0.36629999999999996,0.6337,-0.4115127125747764,-0.4115127125747764
2461,2012,CLSC4,2013-04-24,2014-04-30,0.11339999999999995,0.8866,0.30207849619313865,0.30207849619313865
2461,2013,CLSC4,2014-03-28,2015-04-06,0.15459999999999996,0.8454,0.4733791658062707,0.4733791658062707
2461,2014,CLSC4,2015-03-27,2016-04-07,0.14970000000000006,0.8503,-0.10746697945960204,-0.10746697945960204
2461,2015,CLSC4,2016-03-29,2017-03-30,0.038799999999999946,0.9612,-0.18167194127727837,-0.18167194127727837
2461,2016,CLSC4,2017-04-11,2018-04-27,0.058499999999999996,0.9415,0.07189260184082191,0.07189260184082191
2461,2017,CLSC4,2018-04-16,2019-05-10,0.0716,0.9284,0.3355201732340576,0.3355201732340576
2461,2018,CLSC4,2019-04-18,2020-05-05,0.03990000000000005,0.9601,-0.4345010013267663,-0.4345010013267663
2461,2019,CLSC4,2020-03-27,2021-04-08,0.04090000000000005,0.9591,-0.010744484613589678,-0.010744484613589678
2461,2020,CLSC4,2021-03-12,2022-03-17,0.04569999999999996,0.9543,0.3035705256425705,0.3035705256425705
2461,2021,CLSC4,2022-03-11,2023-03-14,0.040000000000000036,0.96,-0.43451670048341584,-0.43451670048341584
2461,2022,CLSC4,2023-03-29,2024-04-04,0.022599999999999953,0.9774,0.2664692722339592,0.2664692722339592
2461,2023,CLSC4,2024-03-28,2025-04-01,0.04379999999999995,0.9562,-0.13961079683015987,-0.13961079683015987
2577,2011,CESP6,2012-03-22,2013-04-03,0.06379999999999997,0.9362,-0.5382742504087131,-0.5382742504087131
2577,2012,CESP6,2013-03-22,2014-03-27,0.019299999999999984,0.9807,0.7124023708283036,0.7124023708283036
2577,2013,CESP6,2014-03-21,2015-03-27,0.04469999999999996,0.9553,-0.2617413611331215,-0.2617413611331215
2577,2014,CESP6,2015-03-27,2016-04-07,0.0403,0.9597,-0.215534514403531,-0.215534514403531
2577,2015,CESP6,2016-03-24,2017-03-28,0.06389999999999996,0.9361,0.0010653186431344164,0.0010653186431344164
2577,2016,CESP6,2017-03-24,2018-04-04,0.035800000000000054,0.9642,-0.22777257928560535,-0.22777257928560535
2577,2017,CESP6,2018-03-21,2019-04-01,0.031200000000000006,0.9688,0.889086751058773,0.889086751058773
2577,2018,CESP6,2019-03-22,2020-03-26,0.0413,0.9587,-0.2636370972517328,-0.2636370972517328
2577,2019,CESP6,2020-02-17,2021-02-25,0.16869999999999996,0.8313,-0.3779262533416403,-0.3779262533416403
3980,2011,GGBR4,2012-02-16,2013-02-28,0.019000000000000017,0.981,0.1909132377363707,0.1909132377363707
3980,2012,GGBR4,2013-02-21,2014-02-24,0.022199999999999998,0.9778,0.06937103993949889,0.06937103993949889
3980,2013,GGBR4,2014-02-21,2015-03-03,0.026699999999999946,0.9733,-0.3865285048169047,-0.3865285048169047
3980,2014,GGBR4,2015-03-05,2016-03-15,0.02739999999999998,0.9726,-0.3011878478772202,-0.3011878478772202
3980,2015,GGBR4,2016-03-15,2017-03-17,0.021299999999999986,0.9787,2.5029949136411105,2.5029949136411105
3980,2016,GGBR4,2017-02-22,2018-03-06,0.009000000000000008,0.991,-0.24398178203656595,-0.24398178203656595
3980,2017,GGBR4,2018-02-28,2019-03-11,0.01739999999999997,0.9826,-0.41042887804540307,-0.41042887804540307
3980,2018,GGBR4,2019-02-21,2020-02-28,0.0131,0.9869,0.04667812185369713,0.04667812185369713
3980,2019,GGBR4,2020-02-19,2021-03-01,0.014900000000000024,0.9851,0.44314424936822183,0.44314424936822183
3980,2020,GGBR4,2021-02-24,2022-02-25,0.5021,0.4979,-0.29044054575916356,-0.29044054575916356
3980,2021,GGBR4,2022-02-23,2023-02-28,0.49439999999999995,0.5056,-0.11621326467662074,-0.11621326467662074
3980,2022,GGBR4,2023-03-01,2024-03-06,0.017100000000000004,0.9829,-0.5495607537104499,-0.5495607537104499
3980,2023,GGBR4,2024-02-20,2025-02-19,0.013700000000000045,0.9863,0.5103643762038681,0.5103643762038681
3980,2024,GGBR4,2025-02-24,2026-03-02,0.028800000000000048,0.9712,0.011513616406151117,0.011513616406151117
4030,2011,CSNA3,2012-03-26,2013-04-05,0.046599999999999975,0.9534,-0.3083917976355244,-0.3083917976355244
4030,2012,CSNA3,2013-03-28,2014-04-02,0.037799999999999945,0.9622,0.42113485094932224,0.42113485094932224
4030,2013,CSNA3,2014-02-28,2015-03-10,0.059799999999999964,0.9402,-0.5578566229569057,-0.5578566229569057
4030,2014,CSNA3,2015-03-12,2016-03-22,0.03600000000000003,0.964,1.548879029254627,1.548879029254627
4030,2015,CSNA3,2016-11-14,2017-11-21,0.09099999999999997,0.909,-0.5838452410391297,-0.5838452410391297
4030,2016,CSNA3,2017-10-30,2018-11-08,0.08930000000000005,0.9107,-0.36615657391460443,-0.36615657391460443
4030,2017,CSNA3,2018-04-06,2019-04-16,0.0776,0.9224,0.8961687881650968,0.8961687881650968
4030,2018,CSNA3,2019-02-20,2020-02-27,0.02059999999999995,0.9794,0.07613745200982791,0.07613745200982791
4030,2019,CSNA3,2020-03-04,2021-03-11,0.023900000000000032,0.9761,2.577852339249685,2.5583418791748014
4030,2020,CSNA3,2021-02-22,2022-02-23,0.04579999999999995,0.9542,-0.8168100296629746,-0.8168100296629746
4030,2021,CSNA3,2022-03-09,2023-03-10,0.09519999999999995,0.9048,-0.3361036044853829,-0.3361036044853829
4030,2022,CSNA3,2023-03-16,2024-03-21,0.04079999999999995,0.9592,-0.14748877165053031,-0.14748877165053031
4030,2023,CSNA3,2024-03-06,2025-03-10,0.03300000000000003,0.967,-0.3432860898395502,-0.3432860898395502
4030,2024,CSNA3,2025-03-12,2026-03-16,0.035599999999999965,0.9644,-0.21258459142558372,-0.21258459142558372
4057,2011,CRUZ3,2012-02-13,2013-02-25,0.24080000000000001,0.7592,-0.03743631369698541,-0.03743631369698541
4057,2012,CRUZ3,2013-02-07,2014-02-12,0.0907,0.9093,-0.4896632787244626,-0.4896632787244626
4170,2011,VALE3,2012-06-28,2013-07-10,0.11539999999999995,0.8846,-0.2063799710486922,-0.2063799710486922
4170,2012,VALE3,2013-03-14,2014-03-19,0.06289999999999996,0.9371,0.11828421714772253,0.11828421714772253
4170,2013,VALE3,2014-03-17,2015-03-23,0.07530000000000003,0.9247,-0.43459712965490116,-0.43459712965490116
4170,2014,VALE3,2015-02-26,2016-03-08,0.059799999999999964,0.9402,-0.15155715564549677,-0.15155715564549677
4170,2015,VALE3,2016-02-25,2017-02-24,0.09260000000000002,0.9074,0.3972523949452773,0.3972523949452773
4170,2016,VALE3,2017-02-23,2018-03-07,0.09870000000000001,0.9013,-0.33746857460449964,-0.33746857460449964
4170,2017,VALE3,2018-02-27,2019-03-08,0.06340000000000001,0.9366,-0.3761128331830831,-0.3761128331830831
4170,2018,VALE3,2019-04-18,2020-04-24,0.09830000000000005,0.9017,-0.3151026798176919,-0.3151026798176919
4170,2019,VALE3,2020-03-02,2021-03-09,0.06740000000000002,0.9326,1.3427935585485256,1.3427935585485256
4170,2020,VALE3,2021-02-25,2022-03-02,0.08220000000000005,0.9178,-0.44592874734254506,-0.44592874734254506
4170,2021,VALE3,2022-02-24,2023-03-01,0.062100000000000044,0.9379,-0.020345966790348724,-0.020345966790348724
4170,2022,VALE3,2023-02-16,2024-02-26,0.07110000000000005,0.9289,-0.41179339204021126,-0.41179339204021126
4170,2023,VALE3,2024-02-22,2025-02-21,0.0645,0.9355,0.34809543841539603,0.34809543841539603
4170,2024,VALE3,2025-03-17,2026-03-19,0.05889999999999995,0.9411,0.23515952200252888,0.23515952200252888
4820,2011,BRKM5,2012-03-26,2013-04-05,0.28380000000000005,0.7162,0.5143493544091966,0.5143493544091966
4820,2012,BRKM5,2013-02-07,2014-02-12,0.20020000000000004,0.7998,0.3042025881840058,0.3042025881840058
4820,2013,BRKM5,2014-03-17,2015-03-23,0.011499999999999955,0.9885,-0.42994991271199245,-0.42994991271199245
4820,2014,BRKM5,2015-02-12,2016-02-25,0.011900000000000022,0.9881,1.9976972799675674,1.9976972799675674
4820,2015,BRKM5,2016-02-18,2017-02-17,0.008099999999999996,0.9919,-0.3568787817705471,-0.3568787817705471
4820,2016,BRKM5,2017-08-15,2018-08-23,0.01539999999999997,0.9846,-0.3412753991664176,-0.3412753991664176
4820,2017,BRKM5,2018-03-29,2019-04-09,0.011199999999999988,0.9888,-0.18431738116585983,-0.18431738116585983
4820,2018,BRKM5,2019-03-13,2020-03-17,0.0049000000000000155,0.9951,-0.7290088975230367,-0.7290088975230367
4820,2019,BRKM5,2020-04-03,2021-04-13,0.011800000000000033,0.9882,0.9169017967194382,0.9169017967194382
4820,2020,BRKM5,2021-03-10,2022-03-15,0.010800000000000032,0.9892,-0.036400725870346595,-0.036400725870346595
4820,2021,BRKM5,2022-03-16,2023-03-17,0.007399999999999962,0.9926,-0.7269767605890958,-0.7269767605890958
4820,2022,BRKM5,2023-03-23,2024-03-28,0.011700000000000044,0.9883,1.516559698411052,1.516559698411052
4820,2023,BRKM5,2024-07-01,2025-07-04,0.014100000000000001,0.9859,-0.4243286824086664,-0.4243286824086664
4820,2024,BRKM5,2025-02-27,2026-03-05,0.015199999999999991,0.9848,-0.0708519094731449,-0.0708519094731449
5258,2011,RADL3,2012-03-26,2013-04-05,0.719,0.281,-0.002789058409182421,-0.002789058409182421
5258,2012,RADL3,2013-03-27,2014-04-01,0.11250000000000004,0.8875,-0.19797062218490646,-0.19797062218490646
5258,2013,RADL3,2014-03-17,2015-03-23,0.08879999999999999,0.9112,0.8274756762307396,0.8274756762307396
5258,2014,RADL3,2015-02-26,2016-03-08,0.23040000000000005,0.7696,-0.06327739434568125,-0.06327739434568125
5258,2015,RADL3,2016-02-18,2017-02-17,0.3459,0.6541,-0.48039524567501857,-0.48039524567501857
5258,2016,RADL3,2017-02-16,2018-02-28,0.07750000000000001,0.9225,-0.22896962895360007,-0.22896962895360007
5258,2017,RADL3,2018-02-22,2019-03-01,0.6713,0.3287,-0.28983852011340505,-0.28983852011340505
5258,2018,RADL3,2019-02-26,2020-03-04,0.20089999999999997,0.7991,2.2891638348957506,2.2891638348957506
5258,2019,RADL3,2020-02-19,2021-03-01,0.7195,0.2805,-0.5040293415319046,-0.5040293415319046
5258,2020,RADL3,2021-03-09,2022-03-14,0.060799999999999965,0.9392,0.07009801401989524,0.07009801401989524
5258,2021,RADL3,2022-02-22,2023-02-27,0.47950000000000004,0.5205,-0.04015480637864677,-0.04015480637864677
5258,2022,RADL3,2023-03-07,2024-03-12,0.05930000000000002,0.9407,0.03454537261424573,0.03454537261424573
5258,2023,RADL3,2024-03-05,2025-03-07,0.05989999999999995,0.9401,-0.3458727986131651,-0.3458727986131651
5258,2024,RADL3,2025-03-20,2026-03-24,0.04400000000000004,0.956,0.28282342851065145,0.28282342851065145
5410,2011,WEGE3,2012-02-15,2013-02-27,0.09509999999999996,0.9049,0.3946126384609361,0.3946126384609361
5410,2012,WEGE3,2013-02-27,2014-02-28,0.057699999999999974,0.9423,0.017163668946886368,0.017163668946886368
5410,2013,WEGE3,2014-02-26,2015-03-06,0.06140000000000001,0.9386,-0.12587471777784176,-0.12587471777784176
5410,2014,WEGE3,2015-02-25,2016-03-07,0.05369999999999997,0.9463,-0.32572192866616445,-0.32572192866616445
5410,2015,WEGE3,2016-02-24,2017-02-23,0.0474,0.9526,0.03808799265806129,0.03808799265806129
5410,2016,WEGE3,2017-02-22,2018-03-06,0.012700000000000045,0.9873,0.05067197997517914,0.05067197997517914
5410,2017,WEGE3,2018-02-28,2019-03-11,0.016100000000000003,0.9839,-0.24772029254231454,-0.24772029254231454
5410,2018,WEGE3,2019-04-10,2020-04-15,0.01749999999999996,0.9825,0.8353050153503148,0.8353050153503148
5410,2019,WEGE3,2020-02-19,2021-03-01,0.016000000000000014,0.984,-0.01918317557209326,-0.01918317557209326
5410,2020,WEGE3,2021-02-24,2022-02-25,0.014800000000000035,0.9852,-0.5769692348375959,-0.5769692348375959
5410,2021,WEGE3,2022-02-16,2023-02-17,0.01880000000000004,0.9812,0.4688487414733786,0.4688487414733786
5410,2022,WEGE3,2023-02-15,2024-02-23,0.02510000000000001,0.9749,-0.3728824038310824,-0.3728824038310824
5410,2023,WEGE3,2024-02-21,2025-02-20,0.023700000000000054,0.9763,0.640153900100634,0.640153900100634
5410,2024,WEGE3,2025-02-26,2026-03-04,0.037900000000000045,0.9621,-0.5215271920820864,-0.5215271920820864
6173,2011,TASA4,2012-03-27,2013-04-08,0.06820000000000004,0.9318,0.5928703030789662,0.5928703030789662
6173,2012,TASA4,2014-03-28,2015-04-06,0.14259999999999995,0.8574,-0.6987235354437611,-0.6987235354437611
6173,2013,TASA4,2014-03-31,2015-04-07,0.023800000000000043,0.9762,-0.7143776895526581,-0.7143776895526581
6173,2014,TASA4,2015-03-30,2016-04-12,0.07550000000000001,0.9245,0.654849134092301,0.654849134092301
6173,2015,TASA4,2016-03-24,2017-03-29,0.025399999999999978,0.9746,0.8496559304376354,0.8496559304376354
6173,2016,TASA4,2017-03-27,2018-04-05,0.13529999999999998,0.8647,-0.00941118253115758,-0.00941118253115758
6173,2017,TASA4,2018-04-04,2019-04-12,0.14629999999999999,0.8537,0.14603025050852247,0.14603025050852247
6173,2018,TASA4,2019-03-29,2020-04-02,0.23309999999999997,0.7669,-0.5962942661354158,-0.5962942661354158
6173,2019,TASA4,2020-03-30,2021-04-07,0.03490000000000004,0.9651,1.883566656335304,1.883566656335304
6173,2020,TASA4,2021-03-19,2022-03-24,0.01739999999999997,0.9826,-0.8951033784052587,-0.873695779030219
6173,2021,TASA4,2022-03-15,2023-03-16,0.020199999999999996,0.9798,-0.44046213443724236,-0.44046213443724236
6173,2022,TASA4,2023-03-21,2024-03-26,0.022499999999999964,0.9775,0.1844908685831017,0.1844908685831017
6173,2023,TASA4,2024-03-26,2025-03-28,0.02190000000000003,0.9781,-0.3552477974684527,-0.3552477974684527
6343,2012,TUPY3,2013-03-25,2014-03-31,0.14370000000000005,0.8563,-0.6593459957868657,-0.6593459957868657
