cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cd_cvm_int
006343,Tupy SA,2020,2021,0.8719,3921,6291,font_heading,font_heading,6343
006343,Tupy SA,2021,2022,0.8323,6291,6757,font_heading,font_heading,6343
006343,Tupy SA,2024,2025,1.0,283,283,font_heading,font_heading,6343
006505,Grupo Casas Bahia S.A. (Via Varejo),2010,2011,0.4892,4952,1980,font_heading,font_heading,6505
006505,Grupo Casas Bahia S.A. (Via Varejo),2011,2012,0.146,1980,55167,font_heading,font_heading,6505
006505,Grupo Casas Bahia S.A. (Via Varejo),2012,2013,0.3626,55167,2154,font_heading,font_heading,6505
006505,Grupo Casas Bahia S.A. (Via Varejo),2013,2014,0.123,2154,109,font_heading,font_heading,6505
006505,Grupo Casas Bahia S.A. (Via Varejo),2014,2015,0.1587,109,3122,font_heading,font_heading,6505
007870,Kepler Weber SA,2013,2014,0.5791,6326,7122,font_heading,font_heading,7870
007870,Kepler Weber SA,2014,2015,0.3573,7122,1119,font_heading,font_heading,7870
007870,Kepler Weber SA,2015,2016,0.9943,1119,1119,font_heading,font_heading,7870
007870,Kepler Weber SA,2016,2017,0.3437,1119,4606,font_heading,font_heading,7870
007870,Kepler Weber SA,2017,2018,0.9997,4606,4631,font_heading,font_heading,7870
007870,Kepler Weber SA,2018,2019,0.1229,4631,1546,font_heading,font_heading,7870
007870,Kepler Weber SA,2019,2020,0.945,1546,1629,font_heading,font_heading,7870
007870,Kepler Weber SA,2020,2021,0.6794,1629,1753,font_heading,font_heading,7870
007870,Kepler Weber SA,2021,2022,0.3261,1753,986,font_heading,font_heading,7870
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),2011,2012,0.5287,27085,12023,font_heading,font_heading,8087
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),2012,2013,0.949,12023,12797,font_heading,font_heading,8087
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),2013,2014,0.9852,12797,13668,font_heading,font_heading,8087
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),2014,2015,0.9441,13668,13238,font_heading,font_heading,8087
008133,LOJAS RENNER,2010,2011,0.0532,5050,747,font_heading,font_heading,8133
008133,LOJAS RENNER,2011,2012,0.5463,747,1859,font_heading,font_heading,8133
008133,LOJAS RENNER,2012,2013,0.5914,1859,933,font_heading,font_heading,8133
008133,LOJAS RENNER,2013,2014,0.985,933,963,font_heading,font_heading,8133
008133,LOJAS RENNER,2014,2015,0.0982,963,9858,font_heading,font_heading,8133
