n_months,avg_n_active,mean_monthly_ls_return,annualized_ls_return,t_stat_newey_west,p_value,mean_high_sim_return,mean_low_sim_return,scenario,holding_months,n_groups
49,48.97959183673469,-0.0036081598602278743,-0.042448927222111354,-0.4403328610687008,0.6596960437710697,-0.00017945416022370565,0.003428705700004171,narrow_annual,3,2
41,57.292682926829265,-0.0018507550721226537,-0.021984380312524365,-0.23602563508264796,0.8134127781385188,0.010545939509825726,0.01239669458194838,narrow_annual,3,3
109,77.9908256880734,-0.0011392067461266412,-0.013585151108389981,-0.41795185834640375,0.6759823157614602,0.007511614688094236,0.00865082143422088,narrow_annual,12,2
109,77.9908256880734,-0.00247737969120714,-0.029326813686695208,-0.7900760857477174,0.4294833350109202,0.006288559521795014,0.008765939213002151,narrow_annual,12,3
49,52.38775510204081,-0.005408755997956612,-0.06300865651319199,-1.1174506149819206,0.26380170395619185,-0.000632299910657159,0.0047764560872994525,whole_annual,3,2
41,61.31707317073171,-0.016436208065237545,-0.18034632307726617,-1.9048121770854411,0.05680449042374212,-0.002670468151714881,0.013765739913522658,whole_annual,3,3
109,83.54128440366972,-0.002007465150695066,-0.023825379098977195,-0.7942210062039531,0.4270667815886131,0.007469682775533087,0.009477147926228153,whole_annual,12,2
109,83.54128440366972,-0.006359026478365956,-0.07369523122923849,-2.268386224987633,0.023305676616672297,0.007209200674324692,0.013568227152690644,whole_annual,12,3
101,67.20792079207921,-0.002306480834654646,-0.02732934513601948,-0.5632159895523645,0.5732878161886598,0.007991214778046572,0.010297695612701217,narrow_quarterly,3,2
98,69.13265306122449,0.003499311388745195,0.04280942013127431,0.7870958730126696,0.4312257451105187,0.011308593025874511,0.007809281637129318,narrow_quarterly,3,3
124,82.9274193548387,0.0011864716830669812,0.014330937820293377,0.3971993972120325,0.6912204266679381,0.011771473908844032,0.010585002225777051,narrow_quarterly,12,2
124,82.9274193548387,0.0004978306219555015,0.005990351769154856,0.15513905545460965,0.8767116931031066,0.012679557477793599,0.012181726855838092,narrow_quarterly,12,3
117,72.7094017094017,-1.591288126472595e-06,-1.9095290393678077e-05,-0.00045997539297817696,0.9996329927485352,0.008701798689375437,0.008703389977501908,combined_narrow_annual_quarterly,3,2
117,72.7094017094017,0.0028144410035066997,0.03430101894870474,0.7766330736234438,0.4373752827473649,0.011641112418307254,0.008826671414800551,combined_narrow_annual_quarterly,3,3
128,84.1953125,0.0010942200655228837,0.01320995268390912,0.374231556857756,0.7082320479431308,0.011481532239044565,0.01038731217352168,combined_narrow_annual_quarterly,12,2
128,84.1953125,0.00034214111688405215,0.004113428216559578,0.10707215382588026,0.9147317381734731,0.012111576137585898,0.011769435020701843,combined_narrow_annual_quarterly,12,3
