cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr
002437,AXIA ENERGIA,stayed,2015,2016,0.6388,9586,14143,regex_only,regex_only
002437,AXIA ENERGIA,stayed,2016,2017,0.8638,14143,10090,regex_only,regex_only
002437,AXIA ENERGIA,stayed,2017,2018,0.0157,10090,1362,regex_only,regex_only
002437,AXIA ENERGIA,stayed,2018,2019,0.0,1362,239,regex_only,font_heading
002437,AXIA ENERGIA,stayed,2019,2020,0.3866,239,17147,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2020,2021,0.9382,17147,19339,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2021,2022,0.1946,19339,4828,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2022,2023,0.2238,4828,16334,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2023,2024,0.683,16334,7881,font_heading,font_heading
002453,CEMIG,stayed,2015,2016,0.945,15917,15122,font_heading,font_heading
002453,CEMIG,stayed,2016,2017,0.8475,15122,1941,font_heading,font_heading
002453,CEMIG,stayed,2017,2018,0.5926,1941,16893,font_heading,font_heading
002453,CEMIG,stayed,2018,2019,0.9253,16893,15903,font_heading,font_heading
002453,CEMIG,stayed,2019,2020,0.9449,15903,15944,font_heading,font_heading
002453,CEMIG,stayed,2020,2021,0.8936,15944,15904,font_heading,font_heading
002453,CEMIG,stayed,2021,2022,0.8078,15904,16412,font_heading,font_heading
002453,CEMIG,stayed,2022,2023,0.5061,16412,2587,font_heading,font_heading
002453,CEMIG,stayed,2023,2024,0.4211,2587,2392,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2015,2016,0.0291,686,1699,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2016,2017,0.2346,1699,154,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2017,2018,1.0,154,154,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2018,2019,0.1036,154,3326,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2019,2020,0.4966,3326,3042,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2020,2022,0.4337,3042,451,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2022,2023,0.2359,451,5068,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2023,2024,0.0887,5068,2585,font_heading,regex_only
003980,GERDAU,stayed,2015,2016,0.9155,6325,5022,font_heading,font_heading
003980,GERDAU,stayed,2016,2017,0.8351,5022,5266,font_heading,font_heading
003980,GERDAU,stayed,2017,2018,0.8997,5266,5334,font_heading,font_heading
003980,GERDAU,stayed,2018,2019,0.1236,5334,2727,font_heading,regex_only
003980,GERDAU,stayed,2019,2020,0.8486,2727,3256,regex_only,regex_only
003980,GERDAU,stayed,2020,2021,0.0814,3256,3332,regex_only,font_heading
003980,GERDAU,stayed,2021,2022,0.8017,3332,3399,font_heading,font_heading
003980,GERDAU,stayed,2022,2023,0.8116,3399,1936,font_heading,font_heading
003980,GERDAU,stayed,2023,2024,0.7401,1936,3287,font_heading,font_heading
004030,SID NACIONAL,stayed,2015,2016,0.7925,5211,5743,font_heading,font_heading
004030,SID NACIONAL,stayed,2016,2017,0.6431,5743,6926,font_heading,font_heading
004030,SID NACIONAL,stayed,2017,2018,0.7256,6926,7544,font_heading,font_heading
004030,SID NACIONAL,stayed,2018,2019,0.7365,7544,5921,font_heading,font_heading
004030,SID NACIONAL,stayed,2019,2020,0.0718,5921,556,font_heading,regex_only
004030,SID NACIONAL,stayed,2020,2021,0.1027,556,6982,regex_only,font_heading
004030,SID NACIONAL,stayed,2021,2022,0.6838,6982,4393,font_heading,font_heading
004030,SID NACIONAL,stayed,2022,2023,0.9888,4393,4389,font_heading,font_heading
004030,SID NACIONAL,stayed,2023,2024,0.895,4389,4138,font_heading,font_heading
004170,VALE,stayed,2015,2016,0.8461,5438,8641,font_heading,font_heading
004170,VALE,stayed,2016,2017,0.94,8641,9102,font_heading,font_heading
004170,VALE,stayed,2017,2018,0.7724,9102,4664,font_heading,font_heading
004170,VALE,stayed,2018,2019,0.3182,4664,16358,font_heading,regex_only
004170,VALE,stayed,2019,2020,0.2904,16358,11224,regex_only,font_heading
004170,VALE,stayed,2020,2021,0.9246,11224,12192,font_heading,font_heading
004170,VALE,stayed,2021,2022,0.4325,12192,2673,font_heading,font_heading
004170,VALE,stayed,2022,2023,0.0582,2673,554,font_heading,font_heading
004170,VALE,stayed,2023,2024,1.0,554,554,font_heading,font_heading
004820,BRASKEM,stayed,2017,2018,0.237,946,776,font_heading,regex_only
004820,BRASKEM,stayed,2018,2019,0.3275,776,5403,regex_only,regex_only
004820,BRASKEM,stayed,2019,2020,0.2159,5403,1044,regex_only,regex_only
004820,BRASKEM,stayed,2020,2021,0.2608,1044,11088,regex_only,regex_only
004820,BRASKEM,stayed,2021,2022,0.9576,11088,11707,regex_only,regex_only
