Fonte,p,hipotese,p_adj_bh,rejected_5pct
narrow_annual,0.2682463186796804,H1,0.8078783979803038,False
narrow_quarterly,0.2857509261530011,H1,0.8078783979803038,False
narrow_quarterly,0.3135191925732294,H2,0.8078783979803038,False
risk_factors,0.3590570657690239,H1,0.8078783979803038,False
whole_notes,0.6312196878536742,H1,0.9316187533725268,False
mgmt_report,0.7345033994559569,H2,0.9316187533725268,False
narrow_annual,0.838674809016033,H2,0.9316187533725268,False
mgmt_report,0.9275687813936766,H1,0.9316187533725268,False
whole_notes,0.9316187533725268,H2,0.9316187533725268,False
