cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return,extreme_ar,prev_bad,curr_bad,either_bad
4030,2016,2017,0.9262,323662,271289,CSNA3,2018-04-06,2018-04-06,2019-04-16,0.8120649651972158,0.1121532998775529,0.6999116653196629,True,False,False,False
4030,2017,2018,0.9792,271289,273985,CSNA3,2019-02-20,2019-02-20,2020-02-27,0.0740037950664138,0.0666912079478949,0.0073125871185188,False,False,False,False
4030,2018,2019,0.9764,273985,274698,CSNA3,2020-03-04,2020-03-04,2021-03-11,2.025974025974026,0.0723676185040316,1.9536064074699944,True,False,False,False
4030,2019,2020,0.7701,274698,108318,CSNA3,2021-02-22,2021-02-22,2022-02-23,-0.3376187814421465,-0.0058587332483045,-0.3317600481938419,False,False,False,False
4030,2020,2021,0.7728,108318,277847,CSNA3,2022-03-09,2022-03-09,2023-03-10,-0.4308187343582409,-0.0902731282452712,-0.3405456061129697,False,False,False,False
4030,2021,2022,0.9608,277847,286438,CSNA3,2023-03-16,2023-03-16,2024-03-21,0.1021650879566982,0.2390292576975647,-0.1368641697408665,False,False,False,False
4030,2022,2023,0.9668,286438,247953,CSNA3,2024-03-06,2024-03-06,2025-03-10,-0.4798798798798798,-0.0339114143872657,-0.445968465492614,False,False,False,False
4030,2023,2024,0.9658,247953,276107,CSNA3,2025-03-12,2025-03-12,2026-03-16,-0.2880755608028336,0.4522069859159479,-0.7402825467187815,True,False,False,False
4170,2015,2016,0.9052,224509,237390,VALE3,2017-02-23,2017-02-23,2018-03-07,0.2918299668375037,0.2671477714882542,0.0246821953492495,False,False,False,False
4170,2016,2017,0.9392,237390,227057,VALE3,2018-02-27,2018-02-27,2019-03-08,0.0321149376716671,0.0969617223999785,-0.0648467847283114,False,False,False,False
4170,2017,2018,0.8964,227057,248583,VALE3,2019-04-18,2019-04-18,2020-04-24,-0.1677443895017116,-0.2035102993013404,0.0357659097996287,False,False,False,False
4170,2018,2019,0.579,248583,90315,VALE3,2020-03-02,2020-03-02,2021-03-09,1.1283433994823122,0.0441285097171968,1.0842148897651154,True,False,False,False
4170,2019,2020,0.5645,90315,274603,VALE3,2021-02-25,2021-02-25,2022-03-02,0.0411660223592103,0.0259873917166029,0.0151786306426073,False,False,False,False
4170,2020,2021,0.9428,274603,306915,VALE3,2022-02-24,2022-02-24,2023-03-01,0.0189627598811972,-0.0645853501693268,0.0835481100505241,False,False,False,False
4170,2021,2022,0.9321,306915,323774,VALE3,2023-02-16,2023-02-16,2024-02-26,-0.262809732032739,0.1788914755179711,-0.4417012075507102,False,False,False,False
4170,2022,2023,0.939,323774,344928,VALE3,2024-02-22,2024-02-22,2025-02-21,-0.1347813150847961,-0.0238980102587097,-0.1108833048260864,False,False,False,False
4170,2023,2024,0.9444,344928,322916,VALE3,2025-03-17,2025-03-17,2026-03-19,0.342031523642732,0.3778580117883765,-0.0358264881456444,False,False,False,False
4820,2015,2016,0.8039,64386,296557,BRKM5,2017-08-15,2017-08-15,2018-08-23,0.5273396424815984,0.1064827175370743,0.420856924944524,False,False,False,False
4820,2016,2017,0.9885,296557,279551,BRKM5,2018-03-29,2018-03-29,2019-04-09,-0.0060416666666666,0.1279934202973658,-0.1340350869640324,False,False,False,False
4820,2017,2018,0.8387,279551,93770,BRKM5,2019-03-13,2019-03-13,2020-03-17,-0.6875800256081946,-0.2455580104643012,-0.4420220151438934,False,False,False,False
4820,2018,2019,0.8316,93770,315972,BRKM5,2020-04-03,2020-04-03,2021-04-13,2.003201024327785,0.7155783147985062,1.2876227095292787,True,False,False,False
4820,2019,2020,0.7571,315972,133746,BRKM5,2021-03-10,2021-03-10,2022-03-15,0.4033011522890066,-0.033847391419967,0.4371485437089737,False,False,False,False
4820,2020,2021,0.7773,133746,343707,BRKM5,2022-03-16,2022-03-16,2023-03-17,-0.5865763008307827,-0.0821771245575314,-0.5043991762732513,False,False,False,False
4820,2021,2022,0.9889,343707,308708,BRKM5,2023-03-23,2023-03-23,2024-03-28,0.5865384615384615,0.3081883791429354,0.278350082395526,False,False,False,False
4820,2022,2023,0.8016,308708,109681,BRKM5,2024-07-01,2024-07-01,2025-07-04,-0.4733257661748014,0.1326631337383588,-0.6059888999131602,True,False,False,False
4820,2023,2024,0.7925,109681,260453,BRKM5,2025-02-27,2025-02-27,2026-03-05,0.0753598645215918,0.4460364092777695,-0.3706765447561777,False,False,False,False
5258,2017,2018,0.7994,43769,48943,RADL3,2019-02-26,2019-02-26,2020-03-04,1.0495569413613808,0.0985804666888654,0.9509764746725152,True,False,False,False
5258,2018,2019,0.2671,48943,166326,RADL3,2020-02-19,2020-02-19,2021-03-01,-0.0527278778574341,-0.0530629707443339,0.0003350928868998,False,False,False,False
5258,2019,2020,0.9354,166326,182671,RADL3,2021-03-09,2021-03-09,2022-03-14,-0.0456521737105088,-0.0126021035362957,-0.0330500701742131,False,False,False,False
5258,2020,2021,0.5221,182671,251661,RADL3,2022-02-22,2022-02-22,2023-02-27,-0.0400000000893305,-0.063607365636831,0.0236073655475004,False,False,False,False
5258,2021,2022,0.9492,251661,242447,RADL3,2023-03-07,2023-03-07,2024-03-12,0.1813937582078095,0.224890871381596,-0.0434971131737864,False,False,False,False
5258,2022,2023,0.9479,242447,249418,RADL3,2024-03-05,2024-03-05,2025-03-07,-0.2977129339591708,-0.0239151069442007,-0.2737978270149701,False,False,False,False
5258,2023,2024,0.9618,249418,249898,RADL3,2025-03-20,2025-03-20,2026-03-24,0.2243119264557418,0.3831175651680993,-0.1588056387123575,False,False,False,False
5410,2015,2016,0.9873,89851,91393,WEGE3,2017-02-22,2017-02-22,2018-03-06,0.3286549706745185,0.2487765264533736,0.0798784442211448,False,False,False,False
5410,2016,2017,0.9833,91393,94422,WEGE3,2018-02-28,2018-02-28,2019-03-11,0.053994019631713,0.148476824466317,-0.094482804834604,False,False,False,False
5410,2017,2018,0.9814,94422,100991,WEGE3,2019-04-10,2019-04-10,2020-04-15,1.0731042007637752,-0.1784405875974234,1.2515447883611983,True,False,False,False
5410,2018,2019,0.9844,100991,96003,WEGE3,2020-02-19,2020-02-19,2021-03-01,0.5977058582548136,-0.0530629707443339,0.6507688289991476,True,False,False,False
5410,2019,2020,0.9854,96003,96144,WEGE3,2021-02-24,2021-02-24,2022-02-25,-0.3217993079584775,-0.0218370232401797,-0.2999622847182978,False,False,False,False
5410,2020,2021,0.9819,96144,98694,WEGE3,2022-02-16,2022-02-16,2023-02-17,0.2658146964856229,-0.0521269359212612,0.3179416324068842,False,False,False,False
5410,2021,2022,0.9764,98694,99119,WEGE3,2023-02-15,2023-02-15,2024-02-23,-0.0745884773662552,0.1808263201123647,-0.25541479747862,False,False,False,False
5410,2022,2023,0.9767,99119,103611,WEGE3,2024-02-21,2024-02-21,2025-02-20,0.4223314223314223,-0.0186954584417108,0.4410268807731331,False,False,False,False
5410,2023,2024,0.9627,103611,112878,WEGE3,2025-02-26,2025-02-26,2026-03-04,-0.0106583072100313,0.4856805043508103,-0.4963388115608417,False,False,False,False
6505,2015,2016,0.8717,140191,143638,BHIA3,2017-02-23,2017-02-23,2018-03-08,0.893939393939394,0.2597518373102008,0.6341875566291932,True,False,False,False
6505,2016,2017,0.9138,143638,142991,BHIA3,2018-02-19,2018-02-19,2019-02-26,-0.3837209302325581,0.1510718315289132,-0.5347927617614714,True,False,False,False
6505,2017,2018,0.8055,142991,158243,BHIA3,2019-02-20,2019-02-20,2020-02-27,1.7024952015355086,0.0666912079478949,1.6358039935876136,True,False,False,False
6505,2018,2019,0.7641,158243,166276,BHIA3,2020-03-26,2020-03-26,2021-04-05,1.1964912280701756,0.5122758225939992,0.6842154054761764,True,False,False,False
6505,2019,2020,0.7428,166276,165875,BHIA3,2021-03-02,2021-03-02,2022-03-07,-0.7171381031613977,0.0004810838821658,-0.7176191870435635,True,False,False,False
6505,2020,2021,0.7945,165875,164701,BHIA3,2022-03-09,2022-03-09,2023-03-10,-0.4662756598240469,-0.0902731282452712,-0.3760025315787757,False,False,False,False
6505,2021,2022,0.9027,164701,164368,BHIA3,2023-03-09,2023-03-09,2024-03-14,-0.8348453608247423,0.2152709986438719,-1.050116359468614,True,False,False,False
6505,2022,2023,0.8896,164368,153589,BHIA3,2024-03-25,2024-03-25,2025-03-27,0.4696969696969697,0.0489813912972094,0.4207155783997602,False,False,False,False
6505,2023,2024,0.9063,153589,162067,BHIA3,2025-03-12,2025-03-12,2026-03-16,-0.4652014652014652,0.4522069859159479,-0.9174084511174132,True,False,False,False
8133,2015,2016,0.6631,157314,44337,LREN3,2017-02-09,2017-02-09,2018-02-21,0.6130252097645599,0.3245896360326326,0.2884355737319273,False,False,False,False
8133,2016,2017,0.6852,44337,153830,LREN3,2018-02-08,2018-02-08,2019-02-19,0.2823461757272889,0.1977936904447832,0.0845524852825057,False,False,False,False
8133,2017,2018,0.8929,153830,160225,LREN3,2019-02-07,2019-02-07,2020-02-12,0.4374855824836507,0.2358812650818664,0.2016043174017843,False,False,False,False
8133,2018,2019,0.8952,160225,139213,LREN3,2020-02-06,2020-02-06,2021-02-12,-0.2774357117906425,0.0367976386839135,-0.314233350474556,False,False,False,False
8133,2019,2020,0.7729,139213,180180,LREN3,2021-02-11,2021-02-11,2022-02-16,-0.2317593297921631,-0.0345254473539484,-0.1972338824382147,False,False,False,False
8133,2020,2021,0.6466,180180,150743,LREN3,2022-03-17,2022-03-17,2023-03-20,-0.2375545853504318,-0.1074799650819937,-0.130074620268438,False,False,False,False
8133,2021,2022,0.9279,150743,143572,LREN3,2023-02-16,2023-02-16,2024-02-26,-0.2115583076665058,0.1788914755179711,-0.390449783184477,False,False,False,False
8133,2022,2023,0.9495,143572,138987,LREN3,2024-03-14,2024-03-14,2025-03-18,-0.1778316172514941,0.0296402293774522,-0.2074718466289463,False,False,False,False
8133,2023,2024,0.945,138987,150333,LREN3,2025-02-20,2025-02-20,2026-02-26,0.1706783369803064,0.4968977413739026,-0.3262194043935962,False,False,False,False
8451,2015,2016,0.9828,136443,141275,POMO4,2017-02-23,2017-02-23,2018-03-07,0.3693379788830662,0.2671477714882542,0.102190207394812,False,False,False,False
8451,2016,2017,0.9861,141275,148495,POMO4,2018-02-22,2018-02-22,2019-03-01,0.0560239133727933,0.091332613113122,-0.0353086997403286,False,False,False,False
8451,2017,2018,0.9573,148495,144360,POMO4,2019-02-26,2019-02-26,2020-03-04,0.3476070526965591,0.0985804666888654,0.2490265860076936,False,False,False,False
8451,2018,2019,0.9799,144360,148462,POMO4,2020-02-27,2020-02-27,2021-03-05,-0.4707070706666666,0.1186474532327994,-0.5893545238994661,True,False,False,False
8451,2019,2020,0.8842,148462,164141,POMO4,2021-02-25,2021-02-25,2022-03-02,0.0620155037530196,0.0259873917166029,0.0360281120364167,False,False,False,False
8451,2020,2021,0.994,164141,161223,POMO4,2022-02-25,2022-02-25,2023-03-02,0.1413793105221878,-0.0867611957157531,0.228140506237941,False,False,False,False
8451,2021,2022,0.9912,161223,154805,POMO4,2023-02-28,2023-02-28,2024-03-05,1.7246835443487418,0.2207734099620584,1.5039101343866834,True,False,False,False
8451,2022,2023,0.9914,154805,153494,POMO4,2024-02-27,2024-02-27,2025-02-26,0.0648083622551298,-0.0525529129648049,0.1173612752199347,False,False,False,False
8451,2023,2024,0.9847,153494,155281,POMO4,2025-02-25,2025-02-25,2026-03-03,-0.0571428571428571,0.4534497279319254,-0.5105925850747826,False,False,False,False
8656,2015,2016,0.9921,205024,204140,GOAU4,2017-02-22,2017-02-22,2018-03-06,0.2988115450487754,0.2487765264533736,0.0500350185954017,False,False,False,False
8656,2016,2017,0.9872,204140,216159,GOAU4,2018-02-28,2018-02-28,2019-03-11,-0.1015228427400833,0.148476824466317,-0.2499996672064004,False,False,False,False
8656,2017,2018,0.9861,216159,218055,GOAU4,2019-02-21,2019-02-21,2020-02-28,0.121297602176863,0.0746844162423927,0.0466131859344702,False,False,False,False
8656,2018,2019,0.9854,218055,200372,GOAU4,2020-02-19,2020-02-19,2021-03-01,0.1745562129687348,-0.0530629707443339,0.2276191837130687,False,False,False,False
8656,2019,2020,0.5159,200372,31584,GOAU4,2021-02-24,2021-02-24,2022-02-25,-0.1474201474408064,-0.0218370232401797,-0.1255831242006266,False,False,False,False
8656,2020,2021,0.53,31584,209428,GOAU4,2022-02-23,2022-02-23,2023-02-28,0.2430830039241884,-0.0631714220132008,0.3062544259373893,False,False,False,False
8656,2021,2022,0.9864,209428,214736,GOAU4,2023-03-01,2023-03-01,2024-03-06,-0.2393822394279542,0.2347620584516865,-0.4741442978796407,False,False,False,False
8656,2022,2023,0.9908,214736,211253,GOAU4,2024-02-20,2024-02-20,2025-02-19,-0.0487562189426985,-0.0200691815664739,-0.0286870373762245,False,False,False,False
8656,2023,2024,0.9838,211253,223354,GOAU4,2025-02-24,2025-02-24,2026-03-02,0.3840639417044378,0.509608745932461,-0.1255448042280231,False,False,False,False
8672,2015,2016,0.5959,230573,10759,IGTI11,2017-03-10,2021-11-22,2022-11-24,-0.0847295356629966,0.095070159456738,-0.1797996951197347,False,False,False,False
8672,2016,2017,0.5831,10759,194357,IGTI11,2018-03-14,2021-11-22,2022-11-24,-0.0847295356629966,0.095070159456738,-0.1797996951197347,False,False,False,False
8672,2017,2018,0.8209,194357,187960,IGTI11,2019-03-14,2021-11-22,2022-11-24,-0.0847295356629966,0.095070159456738,-0.1797996951197347,False,False,False,False
8672,2018,2019,0.9631,187960,160307,IGTI11,2020-03-12,2021-11-22,2022-11-24,-0.0847295356629966,0.095070159456738,-0.1797996951197347,False,False,False,False
8672,2019,2020,0.5713,160307,7559,IGTI11,2021-03-11,2021-11-22,2022-11-24,-0.0847295356629966,0.095070159456738,-0.1797996951197347,False,False,False,False
8672,2020,2021,0.5093,7559,177847,IGTI11,2022-04-18,2022-04-18,2023-04-19,-0.0744630071599045,-0.1017770756933024,0.0273140685333979,False,False,False,False
8672,2021,2022,0.916,177847,165828,IGTI11,2023-02-28,2023-02-28,2024-03-05,0.2136575271598553,0.2207734099620584,-0.007115882802203,False,False,False,False
8672,2022,2023,0.979,165828,172585,IGTI11,2024-02-20,2024-02-20,2025-02-19,-0.1849169152109075,-0.0200691815664739,-0.1648477336444336,False,False,False,False
8672,2023,2024,0.9735,172585,168304,IGTI11,2025-02-18,2025-02-18,2026-02-24,0.4908814589665655,0.4898300193780973,0.0010514395884682,False,False,False,False
9512,2016,2017,0.7963,244209,296098,PETR3,2018-03-16,2018-03-16,2019-03-27,0.3029525032092426,0.0826623980638612,0.2202901051453814,False,False,False,False
9512,2017,2018,0.943,296098,305009,PETR3,2019-02-27,2019-02-27,2020-03-05,-0.1258558852298664,0.0506219933528118,-0.1764778785826782,False,False,False,False
9512,2018,2019,0.6325,305009,74579,PETR3,2020-02-19,2020-02-19,2021-03-01,-0.3242247466994166,-0.0530629707443339,-0.2711617759550826,False,False,False,False
9512,2019,2020,0.6792,74579,114397,PETR3,2021-03-22,2021-03-22,2022-03-25,0.5164644714038129,0.0356784716773153,0.4807859997264976,True,False,False,False
9512,2020,2021,0.5674,114397,463618,PETR3,2022-02-23,2022-02-23,2023-02-28,-0.2075523704520396,-0.0631714220132008,-0.1443809484388388,False,False,False,False
9512,2021,2022,0.9741,463618,450628,PETR3,2023-03-02,2023-03-02,2024-03-07,0.4756795422031472,0.2420905136683924,0.2335890285347548,False,False,False,False
9512,2022,2023,0.9749,450628,456996,PETR3,2024-03-25,2024-03-25,2025-03-27,0.1114683815648445,0.0489813912972094,0.062486990267635,False,False,False,False
9512,2023,2024,0.9843,456996,441047,PETR3,2025-02-26,2025-02-26,2026-03-04,0.0604091456077016,0.4856805043508103,-0.4252713587431087,False,False,False,False
10456,2015,2016,0.9687,135754,126096,ALPA4,2017-03-22,2017-03-22,2018-04-02,0.3710590137429264,0.3328818315230757,0.0381771822198506,False,False,False,False
10456,2016,2017,0.9638,126096,144787,ALPA4,2018-02-09,2018-02-09,2019-02-20,0.2271869100062933,0.1934037258942356,0.0337831841120577,False,False,False,False
10456,2017,2018,0.3964,144787,25477,ALPA4,2019-02-15,2019-02-15,2020-02-20,1.2927461139896377,0.1749308465822057,1.1178152674074318,True,False,False,False
10456,2018,2019,0.4137,25477,179658,ALPA4,2020-02-07,2020-02-07,2021-02-17,0.0750072400810888,0.05788408749911,0.0171231525819788,False,False,False,False
10456,2019,2020,0.2073,179658,41079,ALPA4,2021-02-12,2021-02-12,2022-02-17,-0.3067770305225038,-0.0494038619856262,-0.2573731685368775,False,False,False,False
10456,2020,2021,0.7181,41079,39036,ALPA4,2022-02-23,2022-02-23,2023-02-28,-0.627125345986556,-0.0631714220132008,-0.5639539239733552,True,False,False,False
10456,2021,2022,0.8914,39036,37426,ALPA4,2023-03-02,2023-03-02,2024-03-07,0.0321543408360129,0.2420905136683924,-0.2099361728323794,False,False,False,False
11312,2015,2016,0.9003,270734,251041,OIBR3,2017-03-22,2017-03-22,2018-04-02,-0.0650602412104238,0.3328818315230757,-0.3979420727334996,False,False,False,False
11312,2016,2017,0.8814,251041,336336,OIBR3,2018-04-12,2018-04-12,2019-04-23,-0.3909305911387086,0.1226507144543302,-0.5135813055930389,True,False,False,False
11312,2017,2018,0.8981,336336,330557,OIBR3,2019-03-26,2019-03-26,2020-03-30,-0.7127071823204421,-0.216850588446871,-0.495856593873571,False,False,False,False
11312,2018,2019,0.8938,330557,265247,OIBR3,2020-03-25,2020-03-25,2021-04-01,2.6346153846153846,0.5376216870874304,2.096993697527954,True,False,False,False
11312,2019,2020,0.7396,265247,351663,OIBR3,2021-05-10,2021-05-10,2022-05-13,-0.6057142857142856,-0.1229182940755087,-0.4827959916387769,False,False,False,False
11312,2020,2021,0.9207,351663,336104,OIBR3,2022-05-05,2022-05-05,2023-05-09,-0.8552631578947368,0.0171832668766551,-0.872446424771392,True,False,False,False
11312,2021,2022,0.8889,336104,304047,OIBR3,2023-05-22,2023-05-22,2024-05-24,-0.4684684684684684,0.1278654483241197,-0.5963339167925882,True,False,False,False
11312,2022,2023,0.8777,304047,270375,OIBR3,2024-03-27,2024-03-27,2025-03-31,-0.8515753730534259,0.0201183140938621,-0.871693687147288,True,False,False,False
11312,2023,2024,0.7865,270375,288892,OIBR3,2025-03-26,2025-03-26,2026-04-02,-0.8790322580645161,0.4190502946620058,-1.2980825527265218,True,False,False,False
12653,2015,2016,0.9317,150235,148000,KLBN11,2017-02-09,2017-02-09,2018-02-21,0.1636125652337501,0.3245896360326326,-0.1609770707988824,False,False,False,False
12653,2016,2017,0.9055,148000,157955,KLBN11,2018-02-01,2018-02-01,2019-02-12,0.0282326366449106,0.1248392308156569,-0.0966065941707463,False,False,False,False
12653,2017,2018,0.8965,157955,173194,KLBN11,2019-02-07,2019-02-07,2020-02-12,0.1081632653361996,0.2358812650818664,-0.1277179997456667,False,False,False,False
12653,2018,2019,0.8324,173194,150741,KLBN11,2020-02-06,2020-02-06,2021-02-12,0.3328591747935874,0.0367976386839135,0.2960615361096739,False,False,False,False
12653,2019,2020,0.8276,150741,210003,KLBN11,2021-02-10,2021-02-10,2022-02-15,-0.1780626778840132,-0.0304567057819656,-0.1476059721020475,False,False,False,False
12653,2020,2021,0.4171,210003,239679,KLBN11,2024-06-13,2024-06-13,2025-06-17,-0.1198044007823722,0.1611849805712302,-0.2809893813536024,False,False,False,False
12653,2021,2022,0.4079,239679,270436,KLBN11,2023-02-08,2023-02-08,2024-02-16,0.1258450337208343,0.1707515741714822,-0.0449065404506479,False,False,False,False
12653,2022,2023,0.9788,270436,252669,KLBN11,2024-02-07,2024-02-07,2025-02-10,0.0893006022866851,-0.0336905992232391,0.1229912015099242,False,False,False,False
12653,2023,2024,0.989,252669,269977,KLBN11,2025-02-26,2025-02-26,2026-03-04,-0.0151145781056487,0.4856805043508103,-0.5007950824564591,False,False,False,False
13986,2015,2016,0.4688,162228,59750,SUZB3,2017-02-08,2017-11-10,2018-11-22,0.8443579766536966,0.2121757667499382,0.6321822099037584,True,False,False,False
13986,2016,2017,0.4367,59750,166321,SUZB3,2018-02-09,2018-02-09,2019-02-20,1.3564257028112443,0.1934037258942356,1.163021976917009,True,False,False,False
13986,2017,2018,0.8249,166321,215584,SUZB3,2019-02-21,2019-02-21,2020-02-28,-0.1994122586062132,0.0746844162423927,-0.274096674848606,False,False,False,False
13986,2018,2019,0.8582,215584,271462,SUZB3,2020-02-12,2020-02-12,2021-02-22,0.922,-0.0343383835829889,0.9563383835829888,True,False,False,False
13986,2019,2020,0.9244,271462,298348,SUZB3,2021-02-10,2021-02-10,2022-02-15,-0.1602639296187683,-0.0304567057819656,-0.1298072238368026,False,False,False,False
13986,2020,2021,0.9513,298348,290070,SUZB3,2022-02-09,2022-02-09,2023-02-10,-0.2343234323432343,-0.0389744426953997,-0.1953489896478346,False,False,False,False
13986,2021,2022,0.9632,290070,278350,SUZB3,2023-02-28,2023-02-28,2024-03-05,0.2268537913699204,0.2207734099620584,0.006080381407862,False,False,False,False
13986,2022,2023,0.9591,278350,273650,SUZB3,2024-02-28,2024-02-28,2025-02-27,-0.0036598117811084,-0.0411544105382309,0.0374945987571225,False,False,False,False
13986,2023,2024,0.9751,273650,274607,SUZB3,2025-02-12,2025-02-12,2026-02-18,-0.0132827324478177,0.4955458750230441,-0.5088286074708619,False,False,False,False
14311,2015,2016,0.8136,289123,163642,CPLE3,2017-03-28,2017-03-28,2018-04-06,-0.1011323701679031,0.3121879566123071,-0.4133203267802102,False,False,False,False
14311,2016,2017,0.9624,163642,139503,CPLE3,2018-05-14,2018-05-14,2019-05-23,0.9268518518518516,0.1018141150661504,0.8250377367857011,True,False,False,False
14311,2017,2018,0.7334,139503,325757,CPLE3,2019-03-28,2019-03-28,2020-04-01,0.7453968253968255,-0.2481460221928544,0.99354284758968,True,False,False,False
14311,2018,2019,0.9865,325757,308157,CPLE3,2020-03-25,2020-03-25,2021-04-01,0.2071934187870669,0.5376216870874304,-0.3304282683003634,False,False,False,False
14311,2019,2020,0.981,308157,350652,CPLE3,2021-05-05,2021-05-05,2022-05-10,0.0814814814814814,-0.1376203493279439,0.2191018308094254,False,False,False,False
14311,2020,2021,0.9775,350652,334303,CPLE3,2022-03-22,2022-03-22,2023-03-23,-0.154178674351585,-0.164967148291619,0.010788473940034,False,False,False,False
