cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct,company_name,__ctrl_year__,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return
2453,CEMIG,stayed,2022,2023,0.8459,16412,11722,font_heading,font_heading,2024-03-21,2453.0,CMIG4,2023-12-31,0.393333319,2024-03-31,0.634999977,0.24166665799999998,0.6144067800165182,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2023.0,55000080.0,36849769.0,5766835.0,24655193.0,30344887.0,17.82284519774114,17.422359907923255,0.5517244156735772,0.1048513929434284,0.2338994061007756,0.04840182652099
2453,CEMIG,stayed,2023,2024,0.8666,11722,15533,font_heading,font_heading,2025-03-21,2453.0,CMIG4,2024-12-31,0.415,2025-03-31,0.28,-0.13499999999999995,-0.325301204819277,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2024.0,59726836.0,39819620.0,7119287.0,27383079.0,32343757.0,17.905291991599427,17.499870313611545,0.5415280494684165,0.1191974575716684,0.2599885498632203,0.2537326388235901
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2015,2016,0.0324,686,1699,font_heading,font_heading,2017-03-24,2577.0,CESP6,,,,,,,CESP - Companhia Energética de São Paulo,2016.0,11416449.0,1668590.0,305095.0,7161537.0,4254912.0,16.250565768129217,14.32748951638409,0.3727001276841862,0.026724159149662,0.042601888393511,-0.0245842371655821
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2016,2017,0.2397,1699,154,font_heading,font_heading,2018-03-21,2577.0,CESP6,2017-12-31,-0.365,2018-03-31,0.26,0.625,1.7123287671232876,CESP - Companhia Energética de São Paulo,2017.0,11131537.0,1476615.0,-168528.0,7114565.0,4016972.0,16.225292808955555,14.205262864027771,0.3608640927124439,-0.0151396882568867,-0.0236877447883321,0.010719754977029
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2017,2018,1.0,154,154,font_heading,font_heading,2019-03-22,2577.0,CESP6,2018-12-31,0.21,2019-03-31,0.185,-0.024999999999999994,-0.11904761904761903,CESP - Companhia Energética de São Paulo,2018.0,10326500.0,1634110.0,294433.0,7102066.0,3224434.0,16.15022396470984,14.306608871597676,0.3122484869026292,0.028512371084104,0.0414573731080505,0.7165354330708662
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2020,2022,0.4171,3042,451,font_heading,font_heading,2023-02-16,2577.0,CESP6,,,,,,,CESP - Companhia Energética de São Paulo,2022.0,16260718.0,2255353.0,0.0,10141330.0,6119388.0,16.604262818550602,14.628817059687604,0.376329507713005,0.0,0.0,0.1854460093896712
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2022,2023,0.223,451,5068,font_heading,font_heading,2024-02-08,2577.0,CESP6,,,,,,,CESP - Companhia Energética de São Paulo,2023.0,13568181.0,1389769.0,-449370.0,7961186.0,5606995.0,16.423237977137106,14.144648104245915,0.4132458875659162,-0.0331193989820743,-0.0564451075505584,
3980,GERDAU,stayed,2015,2016,0.9132,6325,5022,font_heading,font_heading,2017-02-22,3980.0,GGBR4,2016-12-31,-0.012,2017-03-31,0.041,0.053000000000000005,4.416666666666667,GERDAU S.A.,2016.0,54635141.0,37651667.0,-2885929.0,24274653.0,30360488.0,17.8161878417469,17.443887787458433,0.5556952438358309,-0.0528218459251345,-0.1188865192017368,1.2268041237193752
3980,GERDAU,stayed,2016,2017,0.8342,5022,5266,font_heading,font_heading,2018-02-28,3980.0,GGBR4,2017-12-31,0.094999999,2018-06-30,0.219999999,0.125,1.315789487534626,GERDAU S.A.,2017.0,50301761.0,36917619.0,-338667.0,23893941.0,26407820.0,17.733550644397493,17.424199474728407,0.5249879820310863,-0.0067327066342667,-0.0141737606198994,0.1336996336102425
3980,GERDAU,stayed,2017,2018,0.8987,5266,5334,font_heading,font_heading,2019-02-21,3980.0,GGBR4,2018-12-31,0.179999999,2019-03-31,0.243333332,0.06333333300000002,0.3518518519547326,GERDAU S.A.,2018.0,51281029.0,46159478.0,2326382.0,25938571.0,25342458.0,17.752831436678015,17.647612871607976,0.494187782386348,0.045365353335636,0.0896881327811004,0.2370617694074319
3980,GERDAU,stayed,2021,2022,0.7894,3332,3399,font_heading,font_heading,2023-03-01,3980.0,GGBR4,2022-12-31,1.074999994,2023-03-31,1.115000044,0.040000050000000176,0.03720934904488956,GERDAU S.A.,2022.0,73798652.0,82412210.0,11479552.0,46298193.0,27500459.0,18.116851023821223,18.22724416351384,0.3726417523181859,0.1555523263487251,0.2479481650612152,-0.0154207171870411
3980,GERDAU,stayed,2022,2023,0.8069,3399,1936,font_heading,font_heading,2024-02-20,3980.0,GGBR4,2023-12-31,0.465000018,2024-03-31,0.440000017,-0.025000000999999994,-0.053763440929587215,GERDAU S.A.,2023.0,74885144.0,68916447.0,7536983.0,49238863.0,25646281.0,18.131466084355303,18.04840541577046,0.3424748839369261,0.1006472391907265,0.1530698017945702,-0.1730858467142618
3980,GERDAU,stayed,2023,2024,0.7381,1936,3287,font_heading,font_heading,2025-02-24,3980.0,GGBR4,2024-12-31,0.32,2025-03-31,0.576666667,0.256666667,0.802083334375,GERDAU S.A.,2024.0,86814493.0,67026656.0,4599062.0,58173786.0,28640707.0,18.279284135738717,18.020600948979887,0.3299069776287238,0.0529757398917252,0.0790572922312465,-0.0752761259005477
4030,SID NACIONAL,stayed,2015,2016,0.7917,5211,5743,font_heading,font_heading,2017-10-28,4030.0,CSNA3,2017-09-30,0.17,2017-12-31,0.0965,-0.07350000000000001,-0.4323529411764706,CIA SIDERURGICA NACIONAL,2016.0,44153623.0,17148949.0,-853058.0,7384521.0,36769102.0,17.603185542802564,16.65744744689952,0.8327539056081537,-0.0193202265644203,-0.1155197473201037,1.5232558139534884
4030,SID NACIONAL,stayed,2016,2017,0.6466,5743,6926,font_heading,font_heading,2018-04-06,4030.0,CSNA3,,,,,,,CIA SIDERURGICA NACIONAL,2017.0,45209970.0,18524601.0,111229.0,8288229.0,36921741.0,17.62682819570056,16.73461019045293,0.8166725392651223,0.002460275908168,0.0134201166497692,-0.2182835820895522
4030,SID NACIONAL,stayed,2017,2018,0.7278,6926,7544,font_heading,font_heading,2019-02-20,4030.0,CSNA3,2018-12-31,0.435,2019-03-31,0.426666667,-0.008333332999999998,-0.019157087356321836,CIA SIDERURGICA NACIONAL,2018.0,47327524.0,22968885.0,5200583.0,10013440.0,37314084.0,17.67260258697082,16.94965103191113,0.7884224832890053,0.1098849582750198,0.5193602797839704,0.1770972037283622
4030,SID NACIONAL,stayed,2018,2019,0.7376,7544,5921,font_heading,font_heading,2020-03-04,4030.0,CSNA3,2019-12-31,0.583333333,2020-03-31,-2.725,-3.308333333,-5.671428574097959,CIA SIDERURGICA NACIONAL,2019.0,50869276.0,25436417.0,2244511.0,11361932.0,39507344.0,17.744769684340678,17.051692445322175,0.7766445113156318,0.0441231166726257,0.1975465968287787,0.5188374596340151
4030,SID NACIONAL,stayed,2021,2022,0.6806,6982,4393,font_heading,font_heading,2023-03-16,4030.0,CSNA3,2022-12-31,0.763333333,2023-03-31,0.875,0.11166666700000005,0.14628821010754953,CIA SIDERURGICA NACIONAL,2022.0,85354359.0,44362120.0,2167698.0,21816044.0,63538315.0,18.26232207795683,17.60789651010702,0.7444062112867604,0.0253964533902714,0.099362560874923,-0.4364833462432222
4030,SID NACIONAL,stayed,2022,2023,0.989,4393,4389,font_heading,font_heading,2024-03-06,4030.0,CSNA3,2023-12-31,0.95,2024-06-30,-1.41,-2.36,-2.4842105263157896,CIA SIDERURGICA NACIONAL,2023.0,91529720.0,45437950.0,402649.0,19684838.0,71844882.0,18.33217428624998,17.631858216922865,0.7849350134579238,0.0043991066508233,0.0204547784442015,0.413371675053918
4030,SID NACIONAL,stayed,2023,2024,0.8961,4389,4138,font_heading,font_heading,2025-03-12,4030.0,CSNA3,2024-12-31,-0.645,2025-03-31,0.50325,1.14825,1.7802325581395348,CIA SIDERURGICA NACIONAL,2024.0,103906654.0,43687460.0,-1538141.0,15459116.0,88447538.0,18.459003496367245,17.59257166236418,0.8512211162145593,-0.0148031039475104,-0.0994973451263319,-0.5218564490016191
4170,VALE,stayed,2015,2016,0.85,5438,8641,font_heading,font_heading,2017-02-23,4170.0,VALE3,2016-12-31,1.146666667,2017-03-31,1.584,0.437333333,0.3813953484356408,VALE S.A.,2016.0,322696154.0,94633264.0,13296496.0,133701739.0,188994415.0,19.592221738760895,18.36551960012248,0.5856729702455642,0.0412043832415802,0.0994489383567404,1.0156985871271584
4170,VALE,stayed,2016,2017,0.9413,8641,9102,font_heading,font_heading,2018-02-27,4170.0,VALE3,2017-12-31,0.896,2018-03-31,1.25,0.354,0.3950892857142857,VALE S.A.,2017.0,328096703.0,108532022.0,17669992.0,148105642.0,179991061.0,19.60881894911522,18.502555821041977,0.5485914955993935,0.0538560486540457,0.119306677054207,0.4508108108108106
4170,VALE,stayed,2017,2018,0.772,9102,4664,font_heading,font_heading,2019-04-18,4170.0,VALE3,2019-03-31,1.566,2019-06-30,2.065,0.4989999999999999,0.3186462324393358,VALE S.A.,2018.0,341714838.0,134483126.0,25773768.0,173682178.0,168032660.0,19.649487140198914,18.71694929188668,0.4917335781596935,0.0754247844514144,0.1483961584129835,0.3477801268498941
4170,VALE,stayed,2020,2021,0.926,11224,12192,font_heading,font_heading,2022-02-24,4170.0,VALE3,2021-12-31,3.927272727,2022-03-31,4.048888889,0.12161616199999958,0.030967078289187423,VALE S.A.,2021.0,499128000.0,293524000.0,121343000.0,197058000.0,302070000.0,20.028373133848003,19.497469965609916,0.6051954608837813,0.2431099838117677,0.6157730211409839,-0.0958014381813965
4170,VALE,stayed,2021,2022,0.4325,12192,2673,font_heading,font_heading,2023-02-16,4170.0,VALE3,2022-12-31,3.235555556,2023-03-31,2.999,-0.2365555559999999,-0.07311126386358359,VALE S.A.,2022.0,453387000.0,226508000.0,96337000.0,194894000.0,258493000.0,19.932256623372567,19.238290822351924,0.5701376528219821,0.2124829340056067,0.4943045963446796,0.1049229239184486
4170,VALE,stayed,2022,2023,0.0575,2673,554,font_heading,font_heading,2024-02-22,4170.0,VALE3,2023-12-31,4.771111111,2024-03-31,2.133333333,-2.637777778,-0.5528644620995078,VALE S.A.,2023.0,455984000.0,208066000.0,40554000.0,198325000.0,257659000.0,19.93796827914377,19.15336589502646,0.5650614933857329,0.0889373311344257,0.2044825412832472,-0.0989729225023343
