Modelo,Status,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
M0,diagnóstico,1134,142,0.16465557435362074,0.06421141749877406,0.03864756552722878,0.29066358318001273,0.01048759283965417,0.003975807340049653
M1,baseline,1115,141,0.15096589117757306,0.06525027166898267,0.022915591392242946,0.2790161909629032,0.02089861321946329,0.12864819595549537
M2,PRINCIPAL,1115,141,0.1558078308330312,0.06534231485296593,0.027576389340278645,0.28403927232578374,0.01729776846869613,0.1328148159877205
M3,robustez econômica,1072,133,0.1696296247633778,0.06622891281233456,0.03965159722653103,0.29960765230022457,0.010588399421199934,0.1737758527981701
