cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_bad,curr_bad,either_bad
8133,2022,2023,0.9495,143572,138987,stayed,False,False,False
8133,2023,2024,0.945,138987,150333,stayed,False,False,False
8451,2015,2016,0.9828,136443,141275,stayed,False,False,False
8451,2016,2017,0.9861,141275,148495,stayed,False,False,False
8451,2017,2018,0.9573,148495,144360,stayed,False,False,False
8451,2018,2019,0.9799,144360,148462,stayed,False,False,False
8451,2019,2020,0.8842,148462,164141,stayed,False,False,False
8451,2020,2021,0.994,164141,161223,stayed,False,False,False
8451,2021,2022,0.9912,161223,154805,stayed,False,False,False
8451,2022,2023,0.9914,154805,153494,stayed,False,False,False
8451,2023,2024,0.9847,153494,155281,stayed,False,False,False
8656,2015,2016,0.9921,205024,204140,stayed,False,False,False
8656,2016,2017,0.9872,204140,216159,stayed,False,False,False
8656,2017,2018,0.9861,216159,218055,stayed,False,False,False
8656,2018,2019,0.9854,218055,200372,stayed,False,False,False
8656,2019,2020,0.5159,200372,31584,stayed,False,False,False
8656,2020,2021,0.53,31584,209428,stayed,False,False,False
8656,2021,2022,0.9864,209428,214736,stayed,False,False,False
8656,2022,2023,0.9908,214736,211253,stayed,False,False,False
8656,2023,2024,0.9838,211253,223354,stayed,False,False,False
8672,2015,2016,0.5959,230573,10759,stayed,False,False,False
8672,2016,2017,0.5831,10759,194357,stayed,False,False,False
8672,2017,2018,0.8209,194357,187960,stayed,False,False,False
8672,2018,2019,0.9631,187960,160307,stayed,False,False,False
8672,2019,2020,0.5713,160307,7559,stayed,False,False,False
8672,2020,2021,0.5093,7559,177847,stayed,False,False,False
8672,2021,2022,0.916,177847,165828,stayed,False,False,False
8672,2022,2023,0.979,165828,172585,stayed,False,False,False
8672,2023,2024,0.9735,172585,168304,stayed,False,False,False
9512,2016,2017,0.7963,244209,296098,stayed,False,False,False
9512,2017,2018,0.943,296098,305009,stayed,False,False,False
9512,2018,2019,0.6325,305009,74579,stayed,False,False,False
9512,2019,2020,0.6792,74579,114397,stayed,False,False,False
9512,2020,2021,0.5674,114397,463618,stayed,False,False,False
9512,2021,2022,0.9741,463618,450628,stayed,False,False,False
9512,2022,2023,0.9749,450628,456996,stayed,False,False,False
9512,2023,2024,0.9843,456996,441047,stayed,False,False,False
10456,2015,2016,0.9687,135754,126096,dropped_or_delisted,False,False,False
10456,2016,2017,0.9638,126096,144787,dropped_or_delisted,False,False,False
10456,2017,2018,0.3964,144787,25477,dropped_or_delisted,False,False,False
10456,2018,2019,0.4137,25477,179658,dropped_or_delisted,False,False,False
10456,2019,2020,0.2073,179658,41079,dropped_or_delisted,False,False,False
10456,2020,2021,0.7181,41079,39036,dropped_or_delisted,False,False,False
10456,2021,2022,0.8914,39036,37426,dropped_or_delisted,False,False,False
11312,2015,2016,0.9003,270734,251041,dropped_or_delisted,False,False,False
11312,2016,2017,0.8814,251041,336336,dropped_or_delisted,False,False,False
11312,2017,2018,0.8981,336336,330557,dropped_or_delisted,False,False,False
11312,2018,2019,0.8938,330557,265247,dropped_or_delisted,False,False,False
11312,2019,2020,0.7396,265247,351663,dropped_or_delisted,False,False,False
11312,2020,2021,0.9207,351663,336104,dropped_or_delisted,False,False,False
11312,2021,2022,0.8889,336104,304047,dropped_or_delisted,False,False,False
11312,2022,2023,0.8777,304047,270375,dropped_or_delisted,False,False,False
11312,2023,2024,0.7865,270375,288892,dropped_or_delisted,False,False,False
12653,2015,2016,0.9317,150235,148000,stayed,False,False,False
12653,2016,2017,0.9055,148000,157955,stayed,False,False,False
12653,2017,2018,0.8965,157955,173194,stayed,False,False,False
12653,2018,2019,0.8324,173194,150741,stayed,False,False,False
12653,2019,2020,0.8276,150741,210003,stayed,False,False,False
12653,2020,2021,0.4171,210003,239679,stayed,False,False,False
