Modelo,Status,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
M0,diagnóstico,1245,149,-0.01905400636612576,0.02247296251481402,-0.06314957511097588,0.025041562378724368,0.39670163852994134,0.000726830987177296
M1,baseline,1230,147,-0.02287443601513884,0.0221359677420555,-0.06630954465969972,0.020560672629422044,0.3016700107096315,0.03700999360105184
M2,PRINCIPAL,1230,147,-0.024491676239624737,0.02215428334702874,-0.06796286366984207,0.01897951119059259,0.2691913403154911,0.03926615023561597
M3,robustez econômica,1176,140,-0.022078356262118654,0.02282715026418192,-0.06687232168759963,0.02271560916336233,0.3336765314892012,0.05741858893999008
