scenario,outcome,n_obs,n_entities,avg_T,pooled_coef,pooled_p,fe_coef,fe_p,rsquared_within,poolability_p
narrow_annual,abnormal_return,671,93,7.21505376344086,-0.01525608930155757,0.7782159578587866,-0.01842936936809137,0.7759672865831979,0.03416924446660086,0.025050942701403622
narrow_quarterly,abnormal_return,2138,94,22.74468085106383,0.001725171341529713,0.896082984582449,0.005942153634110496,0.6706016498553447,0.14702628093161596,3.469655807109007e-08
whole_notes,abnormal_return,411,81,5.074074074074074,-0.0934427196918534,0.5112921971205839,-0.07537448038294355,0.6599257230641924,0.044332930764940603,0.00032063237511781306
mgmt_report,abnormal_return,484,77,6.285714285714286,0.2577825953142959,0.030454244475004666,0.13885880696195804,0.4778364474514638,0.0634838980452117,0.006951284806765767
risk_factors,abnormal_return,672,93,7.225806451612903,0.13897840750934926,0.3061238883800401,0.059413536127170756,0.7582429281012621,0.033924441344447276,0.0037513156213366816
narrow_annual,revision_pct,518,88,5.886363636363637,-0.26952753408120617,0.4498578717213606,-0.12004711636541487,0.7655224191965369,0.04530986903537393,0.00557037595843235
narrow_quarterly,revision_pct,1678,90,18.644444444444446,-0.06721293801730484,0.8009225540037568,0.03316952241582043,0.886180325553356,0.009934786487636238,5.2702842090468494e-11
whole_notes,revision_pct,316,73,4.328767123287672,-0.11320869803328894,0.8538235737016657,0.12472923903127238,0.8661247998275998,0.008337536154379044,0.9179115550688005
mgmt_report,revision_pct,386,73,5.287671232876712,-0.25118295641595584,0.6915473012156741,0.02841499817566959,0.9665987871042294,0.06269295457342361,0.24138495679808825
