Família,Fonte,n_simples,p_simples,n_agrup,p_agrup_sc,n_ctrl,p_agrup_cc,n_fe,p_ef_fixos
H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,449,0.2668314679779247,449.0,0.09319831599645934
H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1297,0.6039745268807537,536.0,0.9171024714609382
H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,526,0.703649841745631,,
H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,343,0.6665591988076509,,
H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,996,0.2565690247653103,,
