cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
5258,2019,2020,0.9354,166326,182671,stayed,True,True,True,RADL3,2021-03-09,2021-03-09,2021-03-11,0.04608695688830666,0.03281343443519846,0.0132735224531082
5258,2020,2021,0.5221,182671,251661,stayed,True,True,True,RADL3,2022-02-22,2022-02-22,2022-02-24,-0.023578947406974193,-0.011514831015184468,-0.012064116391789725
5258,2021,2022,0.9492,251661,242447,stayed,True,True,True,RADL3,2023-03-07,2023-03-07,2023-03-09,0.02607952128330071,0.008090537728226987,0.017988983555073723
5258,2022,2023,0.9479,242447,249418,stayed,True,True,True,RADL3,2024-03-05,2024-03-05,2024-03-07,0.025236593042173627,0.0018864446946171842,0.023350148347556443
5258,2023,2024,0.9618,249418,249898,stayed,True,True,True,RADL3,2025-03-20,2025-03-20,2025-03-24,0.003058104005742246,-0.004800579591966558,0.007858683597708804
5410,2015,2016,0.9873,89851,91393,stayed,True,True,True,WEGE3,2017-02-22,2017-02-22,2017-02-24,-0.007017543836175255,-0.028101219500638153,0.021083675664462898
5410,2016,2017,0.9833,91393,94422,stayed,True,True,True,WEGE3,2018-02-28,2018-02-28,2018-03-02,-0.011106364801177104,0.004777186290582547,-0.01588355109175965
5410,2017,2018,0.9814,94422,100991,stayed,True,True,True,WEGE3,2019-04-10,2019-04-10,2019-04-12,-0.004909983633387904,-0.032082744289027576,0.02717276065563967
5410,2018,2019,0.9844,100991,96003,stayed,True,True,True,WEGE3,2020-02-19,2020-02-19,2020-02-21,0.020073740270381002,-0.024341387052256636,0.04441512732263764
5410,2019,2020,0.9854,96003,96144,stayed,True,True,True,WEGE3,2021-02-24,2021-02-24,2021-02-26,-0.0997693194925029,-0.04869644770566184,-0.051072871786841056
5410,2020,2021,0.9819,96144,98694,stayed,True,True,True,WEGE3,2022-02-16,2022-02-16,2022-02-18,-0.04760383386581479,-0.019978130064042587,-0.027625703801772206
5410,2021,2022,0.9764,98694,99119,stayed,True,True,True,WEGE3,2023-02-15,2023-02-15,2023-02-17,0.019032921810699488,-0.003861491417802898,0.022894413228502386
5410,2022,2023,0.9767,99119,103611,stayed,True,True,True,WEGE3,2024-02-21,2024-02-21,2024-02-23,-0.01774501774501791,-0.0047130858519138785,-0.013031931893104032
5410,2023,2024,0.9627,103611,112878,stayed,True,True,True,WEGE3,2025-02-26,2025-02-26,2025-02-28,0.011912225705329238,-0.01578616946508471,0.027698395170413947
6505,2015,2016,0.8717,140191,143638,dropped_or_delisted,True,True,True,BHIA3,2017-02-23,2017-02-23,2017-03-01,0.04797979797979801,-0.007004154524536066,0.05498395250433408
6505,2016,2017,0.9138,143638,142991,dropped_or_delisted,True,True,True,BHIA3,2018-02-19,2018-02-19,2018-02-21,-0.007751937984496138,0.014849271830090105,-0.022601209814586243
6505,2017,2018,0.8055,142991,158243,dropped_or_delisted,True,True,True,BHIA3,2019-02-20,2019-02-20,2019-02-22,-0.09404990403071012,0.013887748082988649,-0.10793765211369877
6505,2018,2019,0.7641,158243,166276,dropped_or_delisted,True,True,True,BHIA3,2020-03-26,2020-03-26,2020-03-30,-0.04385964912280704,-0.03950834426505023,-0.00435130485775681
6505,2019,2020,0.7428,166276,165875,dropped_or_delisted,True,True,True,BHIA3,2021-03-02,2021-03-02,2021-03-04,0.0074875207986688785,0.010313538306505832,-0.002826017507836953
6505,2020,2021,0.7945,165875,164701,dropped_or_delisted,True,True,True,BHIA3,2022-03-09,2022-03-09,2022-03-11,-0.058651026392961825,-0.019203366732706728,-0.0394476596602551
6505,2021,2022,0.9027,164701,164368,dropped_or_delisted,True,True,True,BHIA3,2023-03-09,2023-03-09,2023-03-13,0.05154639175257736,-0.01855722772341306,0.07010361947599042
6505,2022,2023,0.8896,164368,153589,dropped_or_delisted,True,True,True,BHIA3,2024-03-25,2024-03-25,2024-03-27,-0.04848484848484835,0.005980786325093357,-0.05446563480994171
6505,2023,2024,0.9063,153589,162067,dropped_or_delisted,True,True,True,BHIA3,2025-03-12,2025-03-12,2025-03-14,0.009157509157509125,0.0411226067404844,-0.03196509758297528
8133,2019,2020,0.7729,139213,180180,stayed,True,True,True,LREN3,2021-02-11,2021-02-11,2021-02-17,0.029449098571671994,0.008851311858533162,0.020597786713138833
8133,2020,2021,0.6466,180180,150743,stayed,True,True,True,LREN3,2022-03-17,2022-03-17,2022-03-21,0.049781659078621754,0.027222319649037097,0.022559339429584657
8133,2021,2022,0.9279,150743,143572,stayed,True,True,True,LREN3,2023-02-16,2023-02-16,2023-02-22,-0.03560371532140316,-0.025371775124689133,-0.010231940196714029
8133,2022,2023,0.9495,143572,138987,stayed,True,True,True,LREN3,2024-03-14,2024-03-14,2024-03-18,-0.06056935196483526,-0.005762316335417794,-0.05480703562941747
8451,2015,2016,0.9828,136443,141275,stayed,True,True,True,POMO4,2017-02-23,2017-02-23,2017-03-01,-0.0034843208651479385,-0.007004154524536066,0.0035198336593881274
8451,2016,2017,0.9861,141275,148495,stayed,True,True,True,POMO4,2018-02-22,2018-02-22,2018-02-26,0.06329113912145612,0.011145801910217745,0.052145337211238374
8451,2017,2018,0.9573,148495,144360,stayed,True,True,True,POMO4,2019-02-26,2019-02-26,2019-02-28,0.020151133296905543,-0.020677236751107775,0.04082837004801332
8451,2018,2019,0.9799,144360,148462,stayed,True,True,True,POMO4,2020-02-27,2020-02-27,2020-03-02,0.08484848479999996,0.03536391752076784,0.04948456727923212
8451,2019,2020,0.8842,148462,164141,stayed,True,True,True,POMO4,2021-02-25,2021-02-25,2021-03-01,-0.034883721340724705,-0.017117337494285345,-0.01776638384643936
8451,2020,2021,0.994,164141,161223,stayed,True,True,True,POMO4,2022-02-25,2022-02-25,2022-03-03,-0.08965517242634968,0.01788558690084341,-0.10754075932719309
8451,2021,2022,0.9912,161223,154805,stayed,True,True,True,POMO4,2023-02-28,2023-02-28,2023-03-02,0.04746835458107679,-0.015308209808015505,0.0627765643890923
8451,2022,2023,0.9914,154805,153494,stayed,True,True,True,POMO4,2024-02-27,2024-02-27,2024-02-29,0.019744483190812012,-0.02027004913152819,0.0400145323223402
8451,2023,2024,0.9847,153494,155281,stayed,True,True,True,POMO4,2025-02-25,2025-02-25,2025-02-27,-0.0714285714285714,-0.009370889708246177,-0.06205768172032522
8656,2015,2016,0.9921,205024,204140,stayed,True,True,True,GOAU4,2017-02-22,2017-02-22,2017-02-24,-0.005093378491743961,-0.028101219500638153,0.023007841008894192
8656,2016,2017,0.9872,204140,216159,stayed,True,True,True,GOAU4,2018-02-28,2018-02-28,2018-03-02,-0.011421319873824443,0.004777186290582547,-0.01619850616440699
8656,2017,2018,0.9861,216159,218055,stayed,True,True,True,GOAU4,2019-02-21,2019-02-21,2019-02-25,0.025387870223064324,0.0031736592983946377,0.022214210924669686
8656,2018,2019,0.9854,218055,200372,stayed,True,True,True,GOAU4,2020-02-19,2020-02-19,2020-02-21,-0.10453648921463587,-0.024341387052256636,-0.08019510216237924
8656,2021,2022,0.9864,209428,214736,stayed,True,True,True,GOAU4,2023-03-01,2023-03-01,2023-03-03,-0.0015444015433681013,-0.0049689288666620035,0.003424527323293902
8656,2022,2023,0.9908,214736,211253,stayed,True,True,True,GOAU4,2024-02-20,2024-02-20,2024-02-22,0.00895522394158399,0.0024973038370683653,0.006457920104515624
8656,2023,2024,0.9838,211253,223354,stayed,True,True,True,GOAU4,2025-02-24,2025-02-24,2025-02-26,0.02127659565573281,-0.005045159790107556,0.026321755445840367
8672,2017,2018,0.8209,194357,187960,stayed,True,True,True,IGTI11,2019-03-14,2021-11-22,2021-11-24,-0.023456199138343847,0.023421117234157407,-0.046877316372501254
8672,2018,2019,0.9631,187960,160307,stayed,True,True,True,IGTI11,2020-03-12,2021-11-22,2021-11-24,-0.023456199138343847,0.023421117234157407,-0.046877316372501254
8672,2021,2022,0.916,177847,165828,stayed,True,True,True,IGTI11,2023-02-28,2023-02-28,2023-03-02,-0.03776513191929631,-0.015308209808015505,-0.022456922111280808
8672,2022,2023,0.979,165828,172585,stayed,True,True,True,IGTI11,2024-02-20,2024-02-20,2024-02-22,0.021303792074989447,0.0024973038370683653,0.018806488237921082
8672,2023,2024,0.9735,172585,168304,stayed,True,True,True,IGTI11,2025-02-18,2025-02-18,2025-02-20,-0.01722391084093211,-0.007244360166063335,-0.009979550674868776
10456,2015,2016,0.9687,135754,126096,dropped_or_delisted,True,True,True,ALPA4,2017-03-22,2017-03-22,2017-03-24,-0.019401778496362154,0.005233359371826785,-0.02463513786818894
10456,2016,2017,0.9638,126096,144787,dropped_or_delisted,True,True,True,ALPA4,2018-02-09,2018-02-09,2018-02-15,-0.0025173064820641633,0.04192724975803075,-0.04444455624009491
13986,2019,2020,0.9244,271462,298348,stayed,True,True,True,SUZB3,2021-02-10,2021-02-10,2021-02-12,0.036950146627565905,0.008387615418473438,0.028562531209092468
13986,2020,2021,0.9513,298348,290070,stayed,True,True,True,SUZB3,2022-02-09,2022-02-09,2022-02-11,-0.04752475247524757,0.009878590332202064,-0.05740334280744963
13986,2021,2022,0.9632,290070,278350,stayed,True,True,True,SUZB3,2023-02-28,2023-02-28,2023-03-02,-0.021784666945957265,-0.015308209808015505,-0.00647645713794176
13986,2022,2023,0.9591,278350,273650,stayed,True,True,True,SUZB3,2024-02-28,2024-02-28,2024-03-01,0.0019170442662947984,-0.007491504580331321,0.009408548846626119
13986,2023,2024,0.9751,273650,274607,stayed,True,True,True,SUZB3,2025-02-12,2025-02-12,2025-02-14,0.015180265654648917,0.030860054023063466,-0.01567978836841455
