cd_cvm,year_prev,year_curr,cosine_similarity,ticker,window_start,window_end,stock_return,ar_market_adjusted,alpha_i,beta_mkt,beta_smb,beta_hml,beta_mom,n_est_obs,n_event_days,alpha_ar_sum,alpha_ar_compound
15253,2019,2020,0.7589,ENGI11,2021-04-09,2022-10-13,0.0186306472269557,0.0472684721932384,-0.0011293791079538193,1.0279791438246997,0.2137662320286514,-0.2688580657349801,0.056713000659251805,252,379,0.49815258470827006,0.5786311920637954
15253,2020,2021,0.958,ENGI11,2024-01-22,2025-07-28,-0.0978414363807013,-0.1415036980196781,-0.00022523609011443452,0.9419477686730613,0.14025264994058984,0.2328181036642343,0.13782374453176618,252,379,-0.07895123347905107,-0.11667624992899228
15253,2021,2022,0.9378,ENGI11,2023-03-16,2024-09-18,0.2053526762124371,-0.0877118536076444,-0.00014328488997358396,0.7373748999490781,-0.008726358026573358,0.06371133308850267,0.0212997853932356,252,379,-0.007816097966589206,-0.04355572049918466
15253,2022,2023,0.8377,ENGI11,2024-03-15,2025-09-17,0.0464824121002311,-0.1022595066083622,-0.0003274332659759971,0.9580366285520279,-0.019765155401168702,0.2495581388970865,0.1050901948748206,252,379,0.06162538201755138,0.016791947249115147
17329,2016,2017,0.1425,EGIE3,2018-02-22,2019-09-03,0.4378272252331263,0.2879262891583418,-0.0006469480917153966,0.6589482801619945,0.11862012875062544,-0.16933004855426104,-0.16865305050531426,252,379,0.5688426528016775,0.7106833598664346
17329,2017,2018,0.9375,EGIE3,2019-02-19,2020-08-26,-0.0312359552766873,-0.0616289087275417,0.0011064044011851602,0.5823884884222221,-0.1412661432227188,0.060994194144193874,-0.2727506351786264,252,379,-0.3559482087771329,-0.3279993230742021
17329,2018,2019,0.1336,EGIE3,2020-02-20,2021-08-31,-0.2394166497353961,-0.2760251593115929,-0.0002067296082851468,0.768175341864662,0.041213920000720466,0.014418840164905744,0.1871892374214401,252,379,-0.33390827903943504,-0.3152562498388166
17329,2019,2020,0.9054,EGIE3,2021-04-20,2022-10-24,-0.0562200957362468,-0.0224934350337213,-0.0008639261310475012,0.7647909952075038,0.14760873025664784,-0.3033989664016262,0.025312894696417246,252,379,0.33317626213763396,0.36125703884160854
17329,2020,2021,0.2072,EGIE3,2022-02-14,2023-08-18,0.0315893387987749,0.01833788371819,2.3717715568059508e-05,0.5559184301237221,-0.15829941232898276,-0.027790247042217255,-0.36603603946118396,252,379,0.07563626232413508,0.050987270467399926
17329,2021,2022,0.0935,EGIE3,2023-11-30,2025-06-09,-0.0719540228079059,-0.137674484545775,-6.475441682853947e-05,0.48811260750863106,-0.08721595268953969,-0.0017080500927705855,-0.04159752791412389,252,379,-0.1542794467950785,-0.15954795747269934
17329,2022,2023,0.065,EGIE3,2024-02-27,2025-08-29,-0.0442689638190955,-0.118176903389313,-0.00028714516093213696,0.44905691651286206,0.052566435312717916,-0.06944632961475959,0.00241956735843913,252,379,-0.014661534812612814,-0.04382221471066472
17450,2015,2016,0.2697,RAIL3,2017-02-20,2018-08-31,0.5301075268817204,0.4112642449874581,0.003615163494228223,1.2203994350249099,0.7173879273538568,-0.0941281912665816,0.15857166755742053,252,379,-1.0178324020202743,-0.6640062002311876
