cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr
014443,SABESP,2022,2023,0.1094,4852,1565,regex_only,font_heading
014443,SABESP,2023,2024,1.0,1565,1565,font_heading,font_heading
017671,TELEFONICA BRASIL,2015,2016,0.926,41616,40895,regex_only,regex_only
017671,TELEFONICA BRASIL,2016,2017,0.3264,40895,12085,regex_only,regex_only
017671,TELEFONICA BRASIL,2017,2018,0.8864,12085,17210,regex_only,regex_only
017671,TELEFONICA BRASIL,2018,2019,0.8761,17210,13579,regex_only,regex_only
017671,TELEFONICA BRASIL,2019,2020,0.6584,13579,22047,regex_only,regex_only
017671,TELEFONICA BRASIL,2020,2021,0.0877,22047,72,regex_only,font_heading
017671,TELEFONICA BRASIL,2021,2022,0.0425,72,7331,font_heading,regex_only
017671,TELEFONICA BRASIL,2022,2023,0.5531,7331,4356,regex_only,regex_only
017671,TELEFONICA BRASIL,2023,2024,0.5919,4356,14477,regex_only,regex_only
019739,LOCALIZA,2015,2016,0.2147,23955,5377,regex_only,regex_only
019739,LOCALIZA,2016,2017,0.8858,5377,5260,regex_only,regex_only
019739,LOCALIZA,2017,2018,0.9912,5260,5706,regex_only,regex_only
019739,LOCALIZA,2018,2019,0.9676,5706,6588,regex_only,regex_only
019739,LOCALIZA,2019,2020,0.1013,6588,10470,regex_only,font_heading
019739,LOCALIZA,2020,2021,0.9757,10470,11718,font_heading,font_heading
019739,LOCALIZA,2021,2022,0.7548,11718,22520,font_heading,font_heading
019739,LOCALIZA,2022,2023,0.9395,22520,24362,font_heading,font_heading
019739,LOCALIZA,2023,2024,0.4523,24362,4867,font_heading,regex_only
019992,TOTVS,2015,2016,0.9188,6249,6499,font_heading,font_heading
019992,TOTVS,2016,2017,0.8751,6499,6265,font_heading,font_heading
019992,TOTVS,2017,2018,0.9424,6265,5505,font_heading,font_heading
019992,TOTVS,2018,2019,0.8895,5505,5432,font_heading,font_heading
019992,TOTVS,2019,2020,0.2415,5432,13441,font_heading,regex_only
019992,TOTVS,2020,2021,0.2984,13441,10375,regex_only,regex_only
019992,TOTVS,2021,2022,0.2473,10375,9112,regex_only,regex_only
019992,TOTVS,2022,2023,0.8969,9112,8784,regex_only,regex_only
019992,TOTVS,2023,2024,0.9729,8784,8692,regex_only,regex_only
020087,EMBRAER,2016,2017,0.8925,13199,11464,regex_only,regex_only
020087,EMBRAER,2017,2019,0.5757,11464,14862,regex_only,regex_only
020087,EMBRAER,2019,2021,0.8774,14862,15027,regex_only,regex_only
020087,EMBRAER,2021,2023,0.1634,15027,5696,regex_only,font_heading
020087,EMBRAER,2023,2024,0.651,5696,4372,font_heading,font_heading
020788,MARFRIG,2015,2016,0.8947,15187,15988,regex_only,regex_only
020788,MARFRIG,2016,2017,0.2099,15988,2492,regex_only,regex_only
020788,MARFRIG,2017,2019,0.4546,2492,1014,regex_only,regex_only
020788,MARFRIG,2019,2020,0.3584,1014,4971,regex_only,regex_only
020788,MARFRIG,2020,2021,0.1951,4971,5928,regex_only,regex_only
020788,MARFRIG,2021,2022,0.3506,5928,6137,regex_only,regex_only
020788,MARFRIG,2022,2023,0.2601,6137,2949,regex_only,regex_only
020788,MARFRIG,2023,2024,0.3027,2949,1135,regex_only,regex_only
020915,MRV,2015,2016,0.7704,5979,7654,regex_only,regex_only
020915,MRV,2016,2017,0.8154,7654,5438,regex_only,regex_only
020915,MRV,2017,2019,0.1422,5438,9679,regex_only,regex_only
020915,MRV,2019,2021,0.1952,9679,19037,regex_only,font_heading
020915,MRV,2021,2022,0.7559,19037,21706,font_heading,font_heading
020915,MRV,2022,2023,0.981,21706,22888,font_heading,font_heading
020915,MRV,2023,2024,0.9751,22888,21203,font_heading,font_heading
021016,YDUQS,2015,2016,1.0,648,648,font_heading,font_heading
021016,YDUQS,2016,2017,1.0,648,648,font_heading,font_heading
021016,YDUQS,2017,2018,1.0,648,648,font_heading,font_heading
021016,YDUQS,2018,2019,1.0,648,648,font_heading,font_heading
021016,YDUQS,2019,2020,0.0632,648,10471,font_heading,regex_only
021016,YDUQS,2020,2021,0.9804,10471,9829,regex_only,regex_only
021016,YDUQS,2021,2022,0.9846,9829,10726,regex_only,regex_only
021016,YDUQS,2022,2023,0.857,10726,8392,regex_only,regex_only
021016,YDUQS,2023,2024,0.9932,8392,9001,regex_only,regex_only
021881,FLEURY,2015,2016,0.1523,11141,1847,regex_only,regex_only
021881,FLEURY,2016,2017,0.0646,1847,1433,regex_only,regex_only
021881,FLEURY,2017,2018,0.0978,1433,11016,regex_only,regex_only
021881,FLEURY,2018,2019,0.7986,11016,11981,regex_only,regex_only
021881,FLEURY,2019,2020,0.2444,11981,4249,regex_only,regex_only
021881,FLEURY,2020,2021,0.2284,4249,13150,regex_only,regex_only
021881,FLEURY,2021,2022,0.9183,13150,14168,regex_only,regex_only
021881,FLEURY,2022,2023,0.1456,14168,6469,regex_only,font_heading
021881,FLEURY,2023,2024,0.0419,6469,3635,font_heading,regex_only
023264,AMBEV,2015,2016,0.9566,1633,1715,font_heading,font_heading
023264,AMBEV,2016,2017,0.9997,1715,1712,font_heading,font_heading
023264,AMBEV,2017,2018,0.0334,1712,1115,font_heading,font_heading
023264,AMBEV,2018,2019,0.0375,1115,2143,font_heading,font_heading
023264,AMBEV,2019,2020,0.0286,2143,990,font_heading,font_heading
023264,AMBEV,2020,2021,0.1372,990,24896,font_heading,regex_only
023264,AMBEV,2021,2022,0.1372,24896,992,regex_only,font_heading
023264,AMBEV,2022,2023,0.0563,992,3718,font_heading,font_heading
023264,AMBEV,2023,2024,0.0,3718,31,font_heading,font_heading
