cd_cvm,year_curr,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
2437,2019,0.5875,0.4125,-0.13781134291256614,-0.13781134291256614
2437,2020,0.5864,0.4136,0.06949277925000685,0.06949277925000685
2437,2021,0.06240000000000001,0.9376,-0.09538890350990137,-0.09538890350990137
2437,2022,0.8260000000000001,0.174,-0.08580191330556175,-0.08580191330556175
2437,2023,0.8007,0.1993,0.17515675334558534,0.17515675334558534
2437,2024,0.31999999999999995,0.68,0.39399483382251765,0.39399483382251765
2453,2014,0.17159999999999997,0.8284,-0.3782775862033513,-0.3782775862033513
2453,2015,0.1351,0.8649,-0.3185660421174312,-0.3185660421174312
2453,2016,0.0534,0.9466,-0.36219742701373103,-0.36219742701373103
2453,2017,0.13290000000000002,0.8671,1.3157113341912727,1.3157113341912727
2453,2018,0.383,0.617,-0.3373674047505201,-0.3373674047505201
2453,2019,0.07530000000000003,0.9247,0.04852025496422363,0.04852025496422363
2453,2020,0.05620000000000003,0.9438,0.3868497627593859,0.3868497627593859
2453,2021,0.10819999999999996,0.8918,-0.1049992626695524,-0.1049992626695524
2453,2022,0.1985,0.8015,-0.35769713298169725,-0.35769713298169725
2453,2023,0.5006999999999999,0.4993,0.34254670035242807,0.34254670035242807
2453,2024,0.5851999999999999,0.4148,-0.3418857606494887,-0.3418857606494887
2461,2012,0.44710000000000005,0.5529,0.30207849619313865,0.30207849619313865
2461,2013,0.9377,0.0623,0.4733791658062707,0.4733791658062707
2461,2014,0.0,1.0,-0.10746697945960204,-0.10746697945960204
2461,2015,0.0,1.0,-0.18167194127727837,-0.18167194127727837
2461,2016,0.916,0.084,0.07189260184082191,0.07189260184082191
2461,2017,0.4579,0.5421,0.3355201732340576,0.3355201732340576
2461,2018,0.9526,0.0474,-0.4345010013267663,-0.4345010013267663
2461,2019,0.0,1.0,-0.010744484613589678,-0.010744484613589678
2461,2020,0.9148000000000001,0.0852,0.3035705256425705,0.3035705256425705
2461,2021,0.09750000000000003,0.9025,-0.43451670048341584,-0.43451670048341584
2461,2022,0.4075,0.5925,0.2664692722339592,0.2664692722339592
2461,2023,0.36960000000000004,0.6304,-0.13961079683015987,-0.13961079683015987
2577,2014,0.9271,0.0729,-0.215534514403531,-0.215534514403531
2577,2015,0.0736,0.9264,0.0010653186431344164,0.0010653186431344164
2577,2016,0.9849,0.0151,-0.22777257928560535,-0.22777257928560535
2577,2017,0.7967,0.2033,0.889086751058773,0.889086751058773
2577,2018,0.0,1.0,-0.2636370972517328,-0.2636370972517328
2577,2019,0.9505,0.0495,-0.3779262533416403,-0.3779262533416403
3980,2014,0.07589999999999997,0.9241,-0.3011878478772202,-0.3011878478772202
3980,2015,0.3016,0.6984,2.5029949136411105,2.5029949136411105
3980,2016,0.08320000000000005,0.9168,-0.24398178203656595,-0.24398178203656595
3980,2017,0.1744,0.8256,-0.41042887804540307,-0.41042887804540307
3980,2018,0.10529999999999995,0.8947,0.04667812185369713,0.04667812185369713
3980,2019,0.22740000000000005,0.7726,0.44314424936822183,0.44314424936822183
3980,2022,0.21689999999999998,0.7831,-0.5495607537104499,-0.5495607537104499
3980,2023,0.20850000000000002,0.7915,0.5103643762038681,0.5103643762038681
3980,2024,0.28359999999999996,0.7164,0.011513616406151117,0.011513616406151117
4030,2014,0.127,0.873,1.548879029254627,1.548879029254627
4030,2015,0.46950000000000003,0.5305,-0.5838452410391297,-0.5838452410391297
4030,2016,0.23219999999999996,0.7678,-0.36615657391460443,-0.36615657391460443
4030,2017,0.39139999999999997,0.6086,0.8961687881650968,0.8961687881650968
4030,2018,0.28359999999999996,0.7164,0.07613745200982791,0.07613745200982791
4030,2019,0.27980000000000005,0.7202,2.577852339249685,2.577852339249685
4030,2020,0.22760000000000002,0.7724,-0.8168100296629746,-0.8168100296629746
4030,2021,0.1955,0.8045,-0.3361036044853829,-0.3361036044853829
4030,2022,0.3469,0.6531,-0.14748877165053031,-0.14748877165053031
4030,2023,0.014100000000000001,0.9859,-0.3432860898395502,-0.3432860898395502
4030,2024,0.10699999999999998,0.893,-0.21258459142558372,-0.21258459142558372
4170,2014,0.22330000000000005,0.7767,-0.15155715564549677,-0.15155715564549677
4170,2015,0.36140000000000005,0.6386,0.3972523949452773,0.3972523949452773
4170,2016,0.17269999999999996,0.8273,-0.33746857460449964,-0.33746857460449964
4170,2017,0.07189999999999996,0.9281,-0.3761128331830831,-0.3761128331830831
4170,2018,0.2548,0.7452,-0.3151026798176919,-0.3151026798176919
4170,2019,0.2944,0.7056,1.3427935585485256,1.3427935585485256
4170,2020,0.277,0.723,-0.44592874734254506,-0.44592874734254506
4170,2021,0.08089999999999997,0.9191,-0.020345966790348724,-0.020345966790348724
4170,2022,0.5538000000000001,0.4462,-0.41179339204021126,-0.41179339204021126
4170,2023,0.9577,0.0423,0.34809543841539603,0.34809543841539603
4170,2024,0.0,1.0,0.23515952200252888,0.23515952200252888
4820,2018,0.26570000000000005,0.7343,-0.7290088975230367,-0.7290088975230367
4820,2024,0.3218,0.6782,-0.0708519094731449,-0.0708519094731449
5258,2016,0.08709999999999996,0.9129,-0.22896962895360007,-0.22896962895360007
5258,2020,0.4065,0.5935,0.07009801401989524,0.07009801401989524
5258,2021,0.7746999999999999,0.2253,-0.04015480637864677,-0.04015480637864677
5258,2022,0.0,1.0,0.03454537261424573,0.03454537261424573
5258,2023,0.8949,0.1051,-0.3458727986131651,-0.3458727986131651
5258,2024,0.8817,0.1183,0.28282342851065145,0.28282342851065145
5410,2014,0.20789999999999997,0.7921,-0.32572192866616445,-0.32572192866616445
5410,2015,0.10189999999999999,0.8981,0.03808799265806129,0.03808799265806129
5410,2016,0.010399999999999965,0.9896,0.05067197997517914,0.05067197997517914
5410,2017,0.016199999999999992,0.9838,-0.24772029254231454,-0.24772029254231454
5410,2018,0.018299999999999983,0.9817,0.8353050153503148,0.8353050153503148
5410,2019,0.025000000000000022,0.975,-0.01918317557209326,-0.01918317557209326
5410,2020,0.03290000000000004,0.9671,-0.5769692348375959,-0.5769692348375959
5410,2021,0.1199,0.8801,0.4688487414733786,0.4688487414733786
5410,2022,0.12,0.88,-0.3728824038310824,-0.3728824038310824
5410,2023,0.028699999999999948,0.9713,0.640153900100634,0.640153900100634
5410,2024,0.10360000000000003,0.8964,-0.5215271920820864,-0.5215271920820864
6173,2011,0.14600000000000002,0.854,0.5928703030789662,0.5928703030789662
6173,2012,0.1513,0.8487,-0.6987235354437611,-0.6987235354437611
6173,2013,0.17469999999999997,0.8253,-0.7143776895526581,-0.7143776895526581
6173,2014,0.2508,0.7492,0.654849134092301,0.654849134092301
6173,2015,0.029100000000000015,0.9709,0.8496559304376354,0.8496559304376354
6173,2016,0.24770000000000003,0.7523,-0.00941118253115758,-0.00941118253115758
6173,2017,0.19120000000000004,0.8088,0.14603025050852247,0.14603025050852247
6173,2018,0.4628,0.5372,-0.5962942661354158,-0.5962942661354158
6173,2019,0.29490000000000005,0.7051,1.883566656335304,1.883566656335304
6173,2020,0.08640000000000003,0.9136,-0.8951033784052587,-0.8717703916941871
6173,2021,0.1594,0.8406,-0.44046213443724236,-0.44046213443724236
6173,2022,0.08650000000000002,0.9135,0.1844908685831017,0.1844908685831017
6173,2023,0.23340000000000005,0.7666,-0.3552477974684527,-0.3552477974684527
6343,2012,0.09760000000000002,0.9024,-0.6593459957868657,-0.6593459957868657
6343,2013,0.2593,0.7407,0.17191950528865463,0.17191950528865463
6343,2014,0.19779999999999998,0.8022,0.1438401124445099,0.1438401124445099
6343,2015,0.10509999999999997,0.8949,-0.5017267280397923,-0.5017267280397923
6343,2016,0.08330000000000004,0.9167,0.3428840580489152,0.3428840580489152
6343,2017,0.04239999999999999,0.9576,-0.20373840188538983,-0.20373840188538983
6343,2018,0.07010000000000005,0.9299,-0.3597444092221378,-0.3597444092221378
6343,2019,0.22089999999999999,0.7791,-0.15884043181042906,-0.15884043181042906
6343,2020,0.11650000000000005,0.8835,-0.4221493235725813,-0.4221493235725813
6343,2021,0.1281,0.8719,0.6526945723067583,0.6526945723067583
6343,2022,0.16769999999999996,0.8323,-0.38684416300143,-0.38684416300143
6505,2015,0.8412999999999999,0.1587,-0.13265548023457097,-0.13265548023457097
6505,2016,0.23570000000000002,0.7643,-0.398855598985535,-0.398855598985535
6505,2017,0.09630000000000005,0.9037,-0.6990401117813092,-0.6990401117813092
6505,2018,0.1866,0.8134,2.963789246741379,2.963789246741379
6505,2019,0.21919999999999995,0.7808,-0.5879437114214066,-0.5879437114214066
6505,2020,0.16379999999999995,0.8362,-0.7915237671520673,-0.7915237671520673
6505,2021,0.7436,0.2564,1.262915631887759,1.262915631887759
6505,2022,0.0,1.0,-0.8253485652090224,-0.8253485652090224
6505,2023,0.6889000000000001,0.3111,13.227724825960454,2.9675490046794457
6505,2024,0.4558,0.5442,-0.6930989786660956,-0.6930989786660956
7870,2014,0.42090000000000005,0.5791,-0.43429969049295636,-0.43429969049295636
7870,2015,0.6427,0.3573,0.7041488729724104,0.7041488729724104
7870,2016,0.005700000000000038,0.9943,-0.6771766737759368,-0.6771766737759368
7870,2017,0.6563,0.3437,1.586652804668745,1.586652804668745
7870,2018,0.00029999999999996696,0.9997,0.18590064033679865,0.18590064033679865
7870,2019,0.8771,0.1229,-0.17217831249310966,-0.17217831249310966
7870,2020,0.05500000000000005,0.945,-0.28043711272707217,-0.28043711272707217
