cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct
3980,GERDAU,stayed,2020,2021,0.086,3256,3332,regex_only,font_heading,2022-02-23,3980.0,GGBR4,2021-12-31,1.72499999,2022-03-31,1.464999992,-0.25999999799999984,-0.15072463739550507
3980,GERDAU,stayed,2021,2022,0.7894,3332,3399,font_heading,font_heading,2023-03-01,3980.0,GGBR4,2022-12-31,1.074999994,2023-03-31,1.115000044,0.040000050000000176,0.03720934904488956
3980,GERDAU,stayed,2022,2023,0.8069,3399,1936,font_heading,font_heading,2024-02-20,3980.0,GGBR4,2023-12-31,0.465000018,2024-03-31,0.440000017,-0.025000000999999994,-0.053763440929587215
3980,GERDAU,stayed,2023,2024,0.7381,1936,3287,font_heading,font_heading,2025-02-24,3980.0,GGBR4,2024-12-31,0.32,2025-03-31,0.576666667,0.256666667,0.802083334375
4030,SID NACIONAL,stayed,2015,2016,0.7917,5211,5743,font_heading,font_heading,2017-10-28,4030.0,CSNA3,2017-09-30,0.17,2017-12-31,0.0965,-0.07350000000000001,-0.4323529411764706
4030,SID NACIONAL,stayed,2016,2017,0.6466,5743,6926,font_heading,font_heading,2018-04-06,4030.0,CSNA3,,,,,,
4030,SID NACIONAL,stayed,2017,2018,0.7278,6926,7544,font_heading,font_heading,2019-02-20,4030.0,CSNA3,2018-12-31,0.435,2019-03-31,0.426666667,-0.008333332999999998,-0.019157087356321836
4030,SID NACIONAL,stayed,2018,2019,0.7376,7544,5921,font_heading,font_heading,2020-03-04,4030.0,CSNA3,2019-12-31,0.583333333,2020-03-31,-2.725,-3.308333333,-5.671428574097959
4030,SID NACIONAL,stayed,2019,2020,0.0909,5921,556,font_heading,regex_only,2021-02-22,4030.0,CSNA3,2020-12-31,0.275,2021-03-31,1.34,1.065,3.872727272727272
4030,SID NACIONAL,stayed,2020,2021,0.1212,556,6982,regex_only,font_heading,2022-03-09,4030.0,CSNA3,2021-12-31,1.553333333,2022-03-31,3.1,1.546666667,0.9957081549347012
4030,SID NACIONAL,stayed,2021,2022,0.6806,6982,4393,font_heading,font_heading,2023-03-16,4030.0,CSNA3,2022-12-31,0.763333333,2023-03-31,0.875,0.11166666700000005,0.14628821010754953
4030,SID NACIONAL,stayed,2022,2023,0.989,4393,4389,font_heading,font_heading,2024-03-06,4030.0,CSNA3,2023-12-31,0.95,2024-06-30,-1.41,-2.36,-2.4842105263157896
4030,SID NACIONAL,stayed,2023,2024,0.8961,4389,4138,font_heading,font_heading,2025-03-12,4030.0,CSNA3,2024-12-31,-0.645,2025-03-31,0.50325,1.14825,1.7802325581395348
4170,VALE,stayed,2015,2016,0.85,5438,8641,font_heading,font_heading,2017-02-23,4170.0,VALE3,2016-12-31,1.146666667,2017-03-31,1.584,0.437333333,0.3813953484356408
