cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok
14320,2015,2016,0.9822,200762,219603,stayed,True,True,True
14320,2016,2017,0.9797,219603,214206,stayed,True,True,True
14320,2017,2018,0.9804,214206,203967,stayed,True,True,True
14320,2018,2019,0.9887,203967,204148,stayed,True,True,True
14320,2019,2020,0.9777,204148,200997,stayed,True,True,True
14320,2020,2021,0.936,200997,202683,stayed,True,True,True
14320,2021,2022,0.9691,202683,220649,stayed,True,True,True
14320,2022,2023,0.9752,220649,217795,stayed,True,True,True
14320,2023,2024,0.9891,217795,215483,stayed,True,True,True
14443,2018,2019,0.9855,282037,242449,stayed,True,True,True
14443,2021,2022,0.9884,223209,218593,stayed,True,True,True
14443,2022,2023,0.9849,218593,244365,stayed,True,True,True
14443,2023,2024,0.955,244365,261497,stayed,True,True,True
14460,2015,2016,0.8731,206885,213748,stayed,True,True,True
14460,2016,2017,0.9823,213748,181084,stayed,True,True,True
14460,2017,2018,0.9503,181084,189467,stayed,True,True,True
14460,2018,2019,0.9483,189467,193192,stayed,True,True,True
14460,2019,2020,0.9463,193192,229511,stayed,True,True,True
14460,2020,2021,0.9902,229511,233137,stayed,True,True,True
14460,2021,2022,0.9847,233137,247734,stayed,True,True,True
14460,2022,2023,0.9907,247734,262016,stayed,True,True,True
14460,2023,2024,0.9056,262016,236999,stayed,True,True,True
14761,2017,2018,0.941,140746,134950,dropped_or_delisted,True,True,True
14826,2015,2016,0.8945,303950,263729,dropped_or_delisted,True,True,True
14826,2016,2017,0.9509,263729,254081,dropped_or_delisted,True,True,True
14826,2017,2018,0.934,254081,252055,dropped_or_delisted,True,True,True
14826,2021,2022,0.9353,232095,223447,dropped_or_delisted,True,True,True
15253,2015,2016,0.978,313688,361711,stayed,True,True,True
15253,2016,2017,0.969,361711,397685,stayed,True,True,True
15253,2017,2018,0.9608,397685,417774,stayed,True,True,True
15253,2018,2019,0.958,417774,438958,stayed,True,True,True
15253,2019,2020,0.9786,438958,468736,stayed,True,True,True
15253,2020,2021,0.9838,468736,529082,stayed,True,True,True
15253,2021,2022,0.9736,529082,514305,stayed,True,True,True
15253,2022,2023,0.809,514305,478573,stayed,True,True,True
15253,2023,2024,0.9692,478573,449191,stayed,True,True,True
16101,2015,2016,0.9889,179342,191039,dropped_or_delisted,True,True,True
16101,2016,2017,0.9865,191039,186811,dropped_or_delisted,True,True,True
16101,2017,2018,0.9797,186811,195820,dropped_or_delisted,True,True,True
16101,2018,2019,0.9688,195820,175093,dropped_or_delisted,True,True,True
16101,2019,2020,0.9545,175093,172530,dropped_or_delisted,True,True,True
16101,2020,2021,0.9731,172530,181063,dropped_or_delisted,True,True,True
16101,2023,2024,0.9211,180774,141451,dropped_or_delisted,True,True,True
16292,2016,2017,0.7789,58216,74516,dropped_or_delisted,True,True,True
