VD,Spec,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
Ajustado ao mercado (original),M2 (amostra completa),432,86,0.11873774288040997,0.09641074699434658,-0.07091942262389297,0.30839490838471295,0.21898217107763251,0.06849784719504026
Ajustado ao mercado (original),M2 (restrito a amostra de M3),418,83,0.08285089948041371,0.08727057707107622,-0.08884771119055349,0.25454951015138094,0.3431579330905925,0.07164134048809612
Ajustado ao mercado (original),M3 (mesma amostra restrita),418,83,0.056939586106871505,0.08352659890432716,-0.10739696403519841,0.2212761362489414,0.49593015845671085,0.08987414214693001
"CAR (alpha, soma dos resíduos)",M2 (amostra completa),432,86,0.10424292454074996,0.1208410338169334,-0.13347298021904944,0.3419588293005493,0.38895909702585874,0.25531944272488316
"CAR (alpha, soma dos resíduos)",M2 (restrito a amostra de M3),418,83,0.1072931171454117,0.1336964901655862,-0.1557451528355467,0.37033138712637015,0.42285397319172624,0.25059340950740494
"CAR (alpha, soma dos resíduos)",M3 (mesma amostra restrita),418,83,0.06043705939498905,0.11981439757011664,-0.17529485130541567,0.2961689700953938,0.6143150487495719,0.29116205017839614
"BHAR (alpha, resíduo composto)",M2 (amostra completa),432,86,0.3537406418081066,0.33436918584055364,-0.3040232900720139,1.011504573688227,0.29085917353787805,0.1362814950901453
"BHAR (alpha, resíduo composto)",M2 (restrito a amostra de M3),418,83,0.384146607470895,0.367018144266645,-0.33793530806745076,1.1062285230092408,0.29604456077359,0.13558817521636934
"BHAR (alpha, resíduo composto)",M3 (mesma amostra restrita),418,83,0.26855681029863043,0.28025553242688844,-0.28283912777874143,0.8199527483760023,0.3386634726689479,0.2089768297273933
