especificacao,n,beta,p
Sem controles,94,1.9924564099607092,0.010805405237460004
"Modelo principal (M2), MQO",94,1.760437710833279,0.025634295324333475
"Modelo principal (M2), logit",94,15.71107211579574,0.014911508057341427
