cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cosine_similarity_expanding
2437,AXIA ENERGIA,stayed,2015,2016,0.6388,9586,14143,regex_only,regex_only,0.6811
2437,AXIA ENERGIA,stayed,2016,2017,0.8638,14143,10090,regex_only,regex_only,0.8675
2437,AXIA ENERGIA,stayed,2017,2018,0.0157,10090,1362,regex_only,regex_only,0.0171
2437,AXIA ENERGIA,stayed,2018,2019,0.0,1362,239,regex_only,font_heading,0.0
2437,AXIA ENERGIA,stayed,2019,2020,0.3866,239,17147,font_heading,font_heading,0.3764
2437,AXIA ENERGIA,stayed,2020,2021,0.9382,17147,19339,font_heading,font_heading,0.9368
2437,AXIA ENERGIA,stayed,2021,2022,0.1946,19339,4828,font_heading,font_heading,0.1943
2437,AXIA ENERGIA,stayed,2022,2023,0.2238,4828,16334,font_heading,font_heading,0.2236
2437,AXIA ENERGIA,stayed,2023,2024,0.683,16334,7881,font_heading,font_heading,0.6831
2453,CEMIG,stayed,2015,2016,0.945,15917,15122,font_heading,font_heading,0.9536
2453,CEMIG,stayed,2016,2017,0.8475,15122,1941,font_heading,font_heading,0.8532
2453,CEMIG,stayed,2017,2018,0.5926,1941,16893,font_heading,font_heading,0.6044
2453,CEMIG,stayed,2018,2019,0.9253,16893,15903,font_heading,font_heading,0.9231
2453,CEMIG,stayed,2019,2020,0.9449,15903,15944,font_heading,font_heading,0.9443
2453,CEMIG,stayed,2020,2021,0.8936,15944,15904,font_heading,font_heading,0.894
2453,CEMIG,stayed,2021,2022,0.8078,15904,16412,font_heading,font_heading,0.8094
2453,CEMIG,stayed,2022,2023,0.5061,16412,2587,font_heading,font_heading,0.5057
2453,CEMIG,stayed,2023,2024,0.4211,2587,2392,font_heading,font_heading,0.4212
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2015,2016,0.0291,686,1699,font_heading,font_heading,0.0316
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2016,2017,0.2346,1699,154,font_heading,font_heading,0.2452
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2017,2018,1.0,154,154,font_heading,font_heading,1.0
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2018,2019,0.1036,154,3326,font_heading,font_heading,0.1079
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2019,2020,0.4966,3326,3042,font_heading,font_heading,0.4999
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2020,2022,0.4337,3042,451,font_heading,font_heading,0.4351
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2022,2023,0.2359,451,5068,font_heading,font_heading,0.2312
2577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2023,2024,0.0887,5068,2585,font_heading,regex_only,0.0886
3980,GERDAU,stayed,2015,2016,0.9155,6325,5022,font_heading,font_heading,0.917
3980,GERDAU,stayed,2016,2017,0.8351,5022,5266,font_heading,font_heading,0.8379
3980,GERDAU,stayed,2017,2018,0.8997,5266,5334,font_heading,font_heading,0.8981
3980,GERDAU,stayed,2018,2019,0.1236,5334,2727,font_heading,regex_only,0.126
3980,GERDAU,stayed,2019,2020,0.8486,2727,3256,regex_only,regex_only,0.8443
3980,GERDAU,stayed,2020,2021,0.0814,3256,3332,regex_only,font_heading,0.084
3980,GERDAU,stayed,2021,2022,0.8017,3332,3399,font_heading,font_heading,0.8032
3980,GERDAU,stayed,2022,2023,0.8116,3399,1936,font_heading,font_heading,0.8054
3980,GERDAU,stayed,2023,2024,0.7401,1936,3287,font_heading,font_heading,0.7401
4030,SID NACIONAL,stayed,2015,2016,0.7925,5211,5743,font_heading,font_heading,0.7984
4030,SID NACIONAL,stayed,2016,2017,0.6431,5743,6926,font_heading,font_heading,0.6721
4030,SID NACIONAL,stayed,2017,2018,0.7256,6926,7544,font_heading,font_heading,0.7327
4030,SID NACIONAL,stayed,2018,2019,0.7365,7544,5921,font_heading,font_heading,0.7441
4030,SID NACIONAL,stayed,2019,2020,0.0718,5921,556,font_heading,regex_only,0.0729
4030,SID NACIONAL,stayed,2020,2021,0.1027,556,6982,regex_only,font_heading,0.1048
4030,SID NACIONAL,stayed,2021,2022,0.6838,6982,4393,font_heading,font_heading,0.6922
4030,SID NACIONAL,stayed,2022,2023,0.9888,4393,4389,font_heading,font_heading,0.9891
4030,SID NACIONAL,stayed,2023,2024,0.895,4389,4138,font_heading,font_heading,0.8951
4170,VALE,stayed,2015,2016,0.8461,5438,8641,font_heading,font_heading,0.8512
4170,VALE,stayed,2016,2017,0.94,8641,9102,font_heading,font_heading,0.9462
4170,VALE,stayed,2017,2018,0.7724,9102,4664,font_heading,font_heading,0.7744
4170,VALE,stayed,2018,2019,0.3182,4664,16358,font_heading,regex_only,0.3206
4170,VALE,stayed,2019,2020,0.2904,16358,11224,regex_only,font_heading,0.3005
4170,VALE,stayed,2020,2021,0.9246,11224,12192,font_heading,font_heading,0.9263
4170,VALE,stayed,2021,2022,0.4325,12192,2673,font_heading,font_heading,0.4317
4170,VALE,stayed,2022,2023,0.0582,2673,554,font_heading,font_heading,0.0606
4170,VALE,stayed,2023,2024,1.0,554,554,font_heading,font_heading,1.0
4820,BRASKEM,stayed,2017,2018,0.237,946,776,font_heading,regex_only,0.2377
4820,BRASKEM,stayed,2018,2019,0.3275,776,5403,regex_only,regex_only,0.388
4820,BRASKEM,stayed,2019,2020,0.2159,5403,1044,regex_only,regex_only,0.2608
4820,BRASKEM,stayed,2020,2021,0.2608,1044,11088,regex_only,regex_only,0.2575
4820,BRASKEM,stayed,2021,2022,0.9576,11088,11707,regex_only,regex_only,0.9576
4820,BRASKEM,stayed,2022,2024,0.339,11707,1199,regex_only,font_heading,0.3395
5258,RAIADROGASIL,stayed,2015,2016,0.9758,2768,2725,regex_only,regex_only,0.9765
5258,RAIADROGASIL,stayed,2016,2017,0.3017,2725,520,regex_only,regex_only,0.3304
5258,RAIADROGASIL,stayed,2017,2018,0.9786,520,553,regex_only,regex_only,0.9788
5258,RAIADROGASIL,stayed,2018,2019,0.1675,553,8158,regex_only,font_heading,0.1746
5258,RAIADROGASIL,stayed,2019,2020,0.6231,8158,25292,font_heading,font_heading,0.6337
5258,RAIADROGASIL,stayed,2020,2021,0.6337,25292,10190,font_heading,font_heading,0.6368
5258,RAIADROGASIL,stayed,2021,2022,0.9058,10190,12138,font_heading,font_heading,0.9067
5258,RAIADROGASIL,stayed,2022,2023,0.7706,12138,5541,font_heading,font_heading,0.7726
5258,RAIADROGASIL,stayed,2023,2024,0.7619,5541,14023,font_heading,font_heading,0.7618
5410,WEG,stayed,2015,2016,0.9902,2516,2501,font_heading,font_heading,0.9893
5410,WEG,stayed,2016,2017,0.9843,2501,2524,font_heading,font_heading,0.9882
5410,WEG,stayed,2017,2018,0.9835,2524,2615,font_heading,font_heading,0.9832
5410,WEG,stayed,2018,2019,0.9791,2615,2633,font_heading,font_heading,0.9779
5410,WEG,stayed,2019,2020,0.9682,2633,2695,font_heading,font_heading,0.9671
5410,WEG,stayed,2020,2021,0.8889,2695,2214,font_heading,font_heading,0.8869
5410,WEG,stayed,2021,2022,0.8915,2214,2482,font_heading,font_heading,0.9326
5410,WEG,stayed,2022,2023,0.9749,2482,2322,font_heading,font_heading,0.9749
5410,WEG,stayed,2023,2024,0.9081,2322,2484,font_heading,font_heading,0.9082
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2015,2016,0.8064,3122,3231,font_heading,font_heading,0.856
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2016,2017,0.9089,3231,3485,font_heading,font_heading,0.9076
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2017,2018,0.8392,3485,3880,font_heading,font_heading,0.8437
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2018,2019,0.7976,3880,6079,font_heading,font_heading,0.8049
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2019,2020,0.167,6079,11088,font_heading,regex_only,0.1699
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2020,2021,0.0781,11088,533,regex_only,font_heading,0.085
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2021,2022,1.0,533,533,font_heading,font_heading,1.0
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2022,2023,0.3136,533,10433,font_heading,font_heading,0.31
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2023,2024,0.57,10433,9969,font_heading,font_heading,0.57
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2015,2016,0.9801,13238,13513,font_heading,font_heading,0.9806
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2016,2017,0.0879,13513,7885,font_heading,regex_only,0.0881
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2017,2018,0.8929,7885,6172,regex_only,regex_only,0.9071
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2018,2019,0.0477,6172,10978,regex_only,font_heading,0.0484
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2019,2020,0.917,10978,14513,font_heading,font_heading,0.9282
8133,LOJAS RENNER,stayed,2015,2016,0.1409,9858,1385,font_heading,font_heading,0.1538
8133,LOJAS RENNER,stayed,2016,2017,0.1403,1385,6401,font_heading,font_heading,0.1359
8133,LOJAS RENNER,stayed,2017,2018,0.6656,6401,4064,font_heading,font_heading,0.6629
8133,LOJAS RENNER,stayed,2018,2019,0.0539,4064,647,font_heading,regex_only,0.0527
8133,LOJAS RENNER,stayed,2019,2020,0.0532,647,8055,regex_only,font_heading,0.0564
8133,LOJAS RENNER,stayed,2020,2021,0.1626,8055,20734,font_heading,font_heading,0.165
8133,LOJAS RENNER,stayed,2021,2022,0.1358,20734,2231,font_heading,font_heading,0.1377
8133,LOJAS RENNER,stayed,2022,2023,0.0812,2231,3472,font_heading,font_heading,0.0798
8133,LOJAS RENNER,stayed,2023,2024,0.0579,3472,4613,font_heading,font_heading,0.0578
8451,MARCOPOLO,stayed,2015,2016,0.9435,3386,3414,font_heading,font_heading,0.9571
8451,MARCOPOLO,stayed,2016,2017,0.9283,3414,3917,font_heading,font_heading,0.9246
8451,MARCOPOLO,stayed,2017,2018,0.9541,3917,3504,font_heading,font_heading,0.9537
8451,MARCOPOLO,stayed,2018,2019,0.8943,3504,4438,font_heading,font_heading,0.8968
8451,MARCOPOLO,stayed,2019,2020,0.8974,4438,3435,font_heading,font_heading,0.8976
8451,MARCOPOLO,stayed,2020,2021,0.9754,3435,3292,font_heading,font_heading,0.9767
8451,MARCOPOLO,stayed,2021,2022,0.9979,3292,3267,font_heading,font_heading,0.998
8451,MARCOPOLO,stayed,2022,2023,0.9917,3267,3248,font_heading,font_heading,0.9916
8451,MARCOPOLO,stayed,2023,2024,0.9738,3248,3022,font_heading,font_heading,0.9738
8656,GERDAU MET,stayed,2015,2016,0.8777,8286,6643,font_heading,font_heading,0.8774
8656,GERDAU MET,stayed,2016,2017,0.908,6643,6558,font_heading,font_heading,0.9113
8656,GERDAU MET,stayed,2017,2018,0.921,6558,7916,font_heading,font_heading,0.9212
8656,GERDAU MET,stayed,2018,2019,0.8371,7916,6858,font_heading,font_heading,0.8395
8656,GERDAU MET,stayed,2019,2021,0.1686,6858,15491,font_heading,regex_only,0.1716
8656,GERDAU MET,stayed,2021,2022,0.1492,15491,2538,regex_only,font_heading,0.1516
8656,GERDAU MET,stayed,2022,2023,0.8357,2538,1968,font_heading,font_heading,0.8304
8656,GERDAU MET,stayed,2023,2024,0.7287,1968,3969,font_heading,font_heading,0.7288
8672,IGUATEMI S.A,stayed,2015,2017,0.0396,455,1727,font_heading,font_heading,0.0438
8672,IGUATEMI S.A,stayed,2017,2018,0.5308,1727,1879,font_heading,font_heading,0.5539
8672,IGUATEMI S.A,stayed,2018,2019,0.9659,1879,1845,font_heading,font_heading,0.9689
8672,IGUATEMI S.A,stayed,2019,2021,0.0765,1845,10631,font_heading,font_heading,0.0762
8672,IGUATEMI S.A,stayed,2021,2022,0.9968,10631,10800,font_heading,font_heading,0.9968
8672,IGUATEMI S.A,stayed,2022,2023,0.7559,10800,23133,font_heading,font_heading,0.7559
8672,IGUATEMI S.A,stayed,2023,2024,0.9252,23133,19519,font_heading,font_heading,0.9252
9512,PETROBRAS,stayed,2016,2017,0.4201,23145,11894,regex_only,regex_only,0.4847
9512,PETROBRAS,stayed,2017,2018,0.4636,11894,12765,regex_only,regex_only,0.4861
9512,PETROBRAS,stayed,2018,2019,0.0871,12765,172,regex_only,font_heading,0.0847
9512,PETROBRAS,stayed,2019,2020,0.2585,172,3255,font_heading,regex_only,0.2504
9512,PETROBRAS,stayed,2020,2021,0.1776,3255,11583,regex_only,regex_only,0.1866
9512,PETROBRAS,stayed,2021,2022,0.9153,11583,12686,regex_only,regex_only,0.9158
9512,PETROBRAS,stayed,2022,2023,0.9448,12686,12535,regex_only,regex_only,0.9462
9512,PETROBRAS,stayed,2023,2024,0.8678,12535,14601,regex_only,regex_only,0.8677
10456,Alpargatas S.A.,dropped_or_delisted,2015,2016,0.7823,3926,5798,font_heading,font_heading,0.7744
10456,Alpargatas S.A.,dropped_or_delisted,2016,2017,0.9194,5798,6834,font_heading,font_heading,0.9204
10456,Alpargatas S.A.,dropped_or_delisted,2017,2019,0.8301,6834,5840,font_heading,font_heading,0.8293
10456,Alpargatas S.A.,dropped_or_delisted,2019,2020,0.1171,5840,879,font_heading,regex_only,0.1368
10456,Alpargatas S.A.,dropped_or_delisted,2020,2021,0.2186,879,1640,regex_only,regex_only,0.3866
10456,Alpargatas S.A.,dropped_or_delisted,2021,2022,0.2427,1640,847,regex_only,regex_only,0.3756
10456,Alpargatas S.A.,dropped_or_delisted,2022,2023,0.1156,847,404,regex_only,font_heading,0.1445
10456,Alpargatas S.A.,dropped_or_delisted,2023,2024,0.0937,404,6831,font_heading,font_heading,0.0936
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2015,2016,0.8664,454,581,font_heading,font_heading,0.869
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2016,2017,0.2362,581,6191,font_heading,font_heading,0.2435
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2017,2018,0.4508,6191,4472,font_heading,font_heading,0.4526
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2018,2019,0.1664,4472,987,font_heading,font_heading,0.1685
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2019,2020,0.71,987,1600,font_heading,font_heading,0.7054
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2020,2021,1.0,1600,1600,font_heading,font_heading,1.0
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2021,2022,0.71,1600,984,font_heading,font_heading,0.709
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2022,2023,0.9422,984,978,font_heading,font_heading,0.9428
11312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2023,2024,0.9603,978,1028,font_heading,font_heading,0.9604
12653,KLABIN S/A,stayed,2015,2016,0.9139,11782,13303,font_heading,font_heading,0.9274
12653,KLABIN S/A,stayed,2016,2017,0.0539,13303,1166,font_heading,regex_only,0.0733
12653,KLABIN S/A,stayed,2017,2018,0.4722,1166,7677,regex_only,regex_only,0.4699
12653,KLABIN S/A,stayed,2018,2019,0.8319,7677,8121,regex_only,regex_only,0.8525
12653,KLABIN S/A,stayed,2019,2020,0.7836,8121,11643,regex_only,regex_only,0.782
12653,KLABIN S/A,stayed,2020,2021,0.2314,11643,19829,regex_only,font_heading,0.2358
12653,KLABIN S/A,stayed,2021,2022,0.8378,19829,22209,font_heading,font_heading,0.8394
12653,KLABIN S/A,stayed,2022,2023,0.4898,22209,2909,font_heading,font_heading,0.499
12653,KLABIN S/A,stayed,2023,2024,0.8338,2909,2496,font_heading,font_heading,0.8325
12793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2015,2016,0.1237,11338,4301,font_heading,regex_only,0.1373
12793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2016,2017,0.9734,4301,4378,regex_only,regex_only,0.9771
12793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2017,2018,0.0955,4378,13440,regex_only,font_heading,0.0996
13986,SUZANO S.A.,stayed,2015,2016,0.0919,9391,6662,font_heading,regex_only,0.0973
13986,SUZANO S.A.,stayed,2016,2017,0.0892,6662,7269,regex_only,font_heading,0.091
13986,SUZANO S.A.,stayed,2017,2018,0.6949,7269,10630,font_heading,font_heading,0.6891
13986,SUZANO S.A.,stayed,2018,2019,0.4393,10630,15935,font_heading,font_heading,0.4309
13986,SUZANO S.A.,stayed,2019,2020,0.0631,15935,8844,font_heading,regex_only,0.0652
13986,SUZANO S.A.,stayed,2020,2021,0.7814,8844,12216,regex_only,regex_only,0.786
13986,SUZANO S.A.,stayed,2021,2022,0.888,12216,11836,regex_only,regex_only,0.8884
13986,SUZANO S.A.,stayed,2022,2023,0.9375,11836,11229,regex_only,regex_only,0.9367
13986,SUZANO S.A.,stayed,2023,2024,0.1822,11229,4120,regex_only,font_heading,0.1821
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2015,2016,0.2391,1706,1530,font_heading,font_heading,0.2392
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2016,2017,0.1143,1530,25297,font_heading,regex_only,0.1227
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2017,2018,0.1619,25297,24995,regex_only,font_heading,0.1632
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2018,2019,0.157,24995,17198,font_heading,regex_only,0.1786
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2019,2020,0.8533,17198,14968,regex_only,regex_only,0.854
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2020,2021,0.0475,14968,226,regex_only,font_heading,0.0485
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2021,2022,0.1996,226,18409,font_heading,font_heading,0.2021
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2022,2023,0.9056,18409,22117,font_heading,font_heading,0.9058
14176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2023,2024,0.571,22117,15608,font_heading,font_heading,0.5716
14311,COPEL,stayed,2015,2016,0.4614,17420,17398,font_heading,regex_only,0.5063
14311,COPEL,stayed,2016,2017,0.8729,17398,19354,regex_only,regex_only,0.8846
14311,COPEL,stayed,2017,2018,0.4853,19354,22622,regex_only,font_heading,0.492
14311,COPEL,stayed,2018,2019,0.8723,22622,21372,font_heading,font_heading,0.8706
14311,COPEL,stayed,2019,2020,0.9697,21372,20763,font_heading,font_heading,0.9702
14311,COPEL,stayed,2020,2021,0.9604,20763,21909,font_heading,font_heading,0.9641
14311,COPEL,stayed,2021,2023,0.9247,21909,25112,font_heading,font_heading,0.9306
14311,COPEL,stayed,2023,2024,0.4505,25112,2548,font_heading,font_heading,0.4507
14320,USIMINAS,stayed,2015,2016,0.7467,8699,10028,font_heading,font_heading,0.7552
14320,USIMINAS,stayed,2016,2017,0.7305,10028,12194,font_heading,font_heading,0.7405
14320,USIMINAS,stayed,2017,2018,0.6928,12194,7252,font_heading,font_heading,0.6959
14320,USIMINAS,stayed,2018,2019,0.7821,7252,8049,font_heading,font_heading,0.7732
14320,USIMINAS,stayed,2019,2020,0.6901,8049,4754,font_heading,font_heading,0.7053
14320,USIMINAS,stayed,2020,2021,0.9796,4754,4363,font_heading,font_heading,0.9802
14320,USIMINAS,stayed,2021,2022,0.9365,4363,4446,font_heading,font_heading,0.9373
14320,USIMINAS,stayed,2022,2023,0.9893,4446,4175,font_heading,font_heading,0.9892
14320,USIMINAS,stayed,2023,2024,0.8233,4175,6498,font_heading,font_heading,0.8231
14443,SABESP,stayed,2015,2016,0.2731,14310,31964,font_heading,font_heading,0.3035
14443,SABESP,stayed,2016,2017,0.214,31964,39928,font_heading,regex_only,0.2414
14443,SABESP,stayed,2017,2018,0.2055,39928,34617,regex_only,font_heading,0.2081
14443,SABESP,stayed,2018,2019,0.8432,34617,18892,font_heading,font_heading,0.8462
14443,SABESP,stayed,2019,2020,0.1717,18892,16704,font_heading,regex_only,0.1754
14443,SABESP,stayed,2020,2021,0.1242,16704,18283,regex_only,font_heading,0.1244
14443,SABESP,stayed,2021,2022,0.9576,18283,20046,font_heading,font_heading,0.9577
14443,SABESP,stayed,2022,2023,0.9719,20046,18555,font_heading,font_heading,0.9724
14443,SABESP,stayed,2023,2024,0.9302,18555,22572,font_heading,font_heading,0.9301
14460,CYRELA REALT,stayed,2015,2016,0.369,98953,8306,font_heading,font_heading,0.3847
14460,CYRELA REALT,stayed,2016,2017,0.7642,8306,6450,font_heading,font_heading,0.7819
14460,CYRELA REALT,stayed,2017,2018,0.7156,6450,7697,font_heading,font_heading,0.7222
14460,CYRELA REALT,stayed,2018,2019,0.9559,7697,7233,font_heading,font_heading,0.9515
14460,CYRELA REALT,stayed,2019,2020,0.1392,7233,8375,font_heading,regex_only,0.1438
14460,CYRELA REALT,stayed,2020,2021,0.8646,8375,7038,regex_only,regex_only,0.8653
14460,CYRELA REALT,stayed,2021,2022,0.9573,7038,7433,regex_only,regex_only,0.9701
14460,CYRELA REALT,stayed,2022,2023,0.0431,7433,628,regex_only,font_heading,0.0414
14460,CYRELA REALT,stayed,2023,2024,0.0423,628,7813,font_heading,regex_only,0.0423
14761,Cia Hering,dropped_or_delisted,2015,2017,0.3155,822,1152,font_heading,font_heading,0.3403
14761,Cia Hering,dropped_or_delisted,2017,2018,0.3755,1152,226,font_heading,font_heading,0.3581
14761,Cia Hering,dropped_or_delisted,2018,2020,0.083,226,50769,font_heading,font_heading,0.0891
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2015,2016,0.8245,7026,8890,font_heading,font_heading,0.8306
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2016,2017,0.8956,8890,8070,font_heading,font_heading,0.9004
