CD_CVM,board_size,pct_female_board,pct_black_brown_board,exec_size,pct_female_exec,pct_black_brown_exec,year,has_black_brown_board,has_black_brown_exec,leadership_n,pct_female_leadership,pct_black_brown_leadership,cost_of_debt_proxy,return_volatility,ln_total_assets,leverage,roa
2437,9,0.1111111111111111,0.0,11,0.18181818181818182,0.0,2023,0,0,907.0,0.24035281146637266,0.237045203969129,0.10550129659808034,0.3139948222870105,19.402975125638708,0.5788750394699416,0.0164566000418771
2453,11,0.0,0.09090909090909091,7,0.14285714285714285,0.0,2023,1,0,199.0,0.18592964824120603,0.1708542713567839,0.05440933096900311,0.2687996740624014,17.82284519774114,0.5517244156735772,0.1048513929434284
2577,3,0.0,0.0,4,0.5,0.0,2023,0,0,,,,0.12501116908433127,,16.423237977137106,0.4132458875659162,-0.0331193989820743
3980,7,0.14285714285714285,0.0,8,0.0,0.0,2023,0,0,4610.0,0.2438177874186551,0.14273318872017354,0.08820549848923515,0.29171540667401974,18.131466084355303,0.3424748839369261,0.1006472391907265
4030,5,0.0,0.2,6,0.0,0.0,2023,1,0,1269.0,0.13317572892040977,0.32466509062253746,0.08082870816045046,0.4057447219387455,18.33217428624998,0.7849350134579238,0.0043991066508233
4170,12,0.16666666666666666,0.16666666666666666,9,0.2222222222222222,0.0,2023,1,0,5355.0,0.20709617180205417,0.2907563025210084,0.046095808801555546,0.2756958107024408,19.93796827914377,0.5650614933857329,0.0889373311344257
4820,11,0.09090909090909091,0.0,6,0.0,0.0,2023,0,0,981.0,0.3312945973496432,0.12232415902140673,0.04985191381610183,0.5222556127432142,18.334479947444503,0.9642580743615178,-0.0533022312815426
5258,10,0.3,0.0,5,0.2,0.0,2023,0,0,3630.0,0.6286501377410468,0.4019283746556474,0.09188971990907792,0.2327235780868046,16.815952324427126,0.7000011246907847,0.0541017572447504
5410,7,0.14285714285714285,0.14285714285714285,13,0.0,0.0,2023,1,0,1869.0,0.10914927768860354,0.021936864633493848,0.10445901306704383,0.25259353827212305,17.265379684086113,0.4331145878543713,0.1862955518224856
6505,5,0.2,,4,0.0,,2023,0,0,1596.0,0.3383458646616541,0.31704260651629074,0.0,0.6964911629966176,17.28112145295085,0.8920490061257658,-0.0820415051881485
8133,8,0.25,0.0,5,0.4,0.0,2023,0,0,3072.0,0.4892578125,0.2965494791666667,0.06310434602008136,0.47892185127422,16.8354786568704,0.5096677321613899,0.0476441485130916
8451,7,0.14285714285714285,0.0,3,0.0,0.0,2023,0,0,527.0,0.0872865275142315,0.058823529411764705,0.15033715390770505,0.35951122967328136,15.889851991172648,0.5492433194213111,0.1018695983806622
8656,3,0.0,0.0,8,0.0,0.0,2023,0,0,4610.0,0.2438177874186551,0.14273318872017354,0.08838419140120807,0.28033973940974455,18.136093371306902,0.3410631836028442,0.1008220892731119
8672,8,0.125,0.0,5,0.6,0.0,2023,0,0,173.0,0.5895953757225434,0.13872832369942195,0.13087795480057474,0.2908169433296236,15.868566927357364,0.4638488058863821,0.0396492206621961
9512,11,0.09090909090909091,0.18181818181818182,9,0.1111111111111111,0.125,2023,1,1,4528.0,0.02318904593639576,0.2124558303886926,0.033927257279955964,0.33808362007744064,20.77290135798673,0.6361743592085931,0.1191049854979788
10456,8,0.125,0.0,3,0.0,0.0,2023,0,0,128.0,0.4375,0.0546875,0.07539418490247016,0.5344993101137903,15.660398228774216,0.41089966177202,-0.2951429096583124
11312,9,0.1111111111111111,0.0,3,0.3333333333333333,0.0,2023,0,0,1537.0,0.328562134027326,0.0,0.13449658507715678,1.049762145716521,17.078363497123462,2.044382013891385,-0.2077692582683001
12653,11,0.36363636363636365,0.0,6,0.0,0.0,2023,0,0,1648.0,0.0,0.18021844660194175,0.02461133966709014,0.2277301205965133,17.83071612903802,0.7522754975269096,0.0513647320838269
13986,9,0.3333333333333333,0.0,7,0.0,0.0,2023,0,0,1404.0,0.24216524216524216,0.32336182336182334,0.047165756968133854,0.26242298018390914,18.78249364097532,0.6879353993691546,0.0982386226629044
14176,6,0.3333333333333333,0.0,9,0.4444444444444444,0.1111111111111111,2023,0,1,,,,0.09344567684060932,,17.169997286773796,0.9014031865216976,0.0454656253443612
14311,9,0.1111111111111111,0.1111111111111111,7,0.14285714285714285,0.0,2023,1,0,387.0,0.22997416020671835,0.09043927648578812,0.07190301753159846,0.22420231203072408,17.83762619689866,0.5666057269240977,0.0416912684721355
14320,8,0.0,0.0,6,0.0,0.0,2023,0,0,305.0,0.16393442622950818,0.24262295081967214,0.0,0.30659428374952613,17.50842563299488,0.3389372639654083,0.0408440359086933
14443,11,0.2727272727272727,0.18181818181818182,6,0.5,0.0,2023,1,0,1904.0,0.07563025210084033,0.1948529411764706,0.07587460591699498,0.28541184144982906,17.934075377332036,0.5142848353572891,0.0573202561333151
14460,9,0.1111111111111111,0.1111111111111111,6,0.16666666666666666,0.0,2023,1,0,350.0,0.4057142857142857,0.21142857142857144,0.06289363970000589,0.3961371396192088,16.670324220459726,0.5106943676890485,0.0636513309385649
14826,8,0.0,0.0,4,0.0,0.0,2023,0,0,1099.0,0.38034576888080074,0.4176524112829845,0.0,0.5452458298664877,16.90882315985713,0.7858503401360544,-0.0967800453514739
