CD_CVM,total,pct_fem,pct_negro,total_r,year
2437,9,0.1111111111111111,0.0,9.0,2023
2453,11,0.0,0.09090909090909091,11.0,2023
2577,3,0.0,0.0,3.0,2023
3980,7,0.14285714285714285,0.0,7.0,2023
4030,5,0.0,0.2,5.0,2023
4170,12,0.16666666666666666,0.16666666666666666,12.0,2023
4820,11,0.09090909090909091,0.0,11.0,2023
5258,10,0.3,0.0,10.0,2023
5410,7,0.14285714285714285,0.14285714285714285,7.0,2023
6505,5,0.2,,0.0,2023
8133,8,0.25,0.0,8.0,2023
8451,7,0.14285714285714285,0.0,7.0,2023
8656,3,0.0,0.0,3.0,2023
8672,8,0.125,0.0,8.0,2023
9512,11,0.09090909090909091,0.18181818181818182,11.0,2023
10456,8,0.125,0.0,8.0,2023
11312,9,0.1111111111111111,0.0,9.0,2023
12653,11,0.36363636363636365,0.0,11.0,2023
13986,9,0.3333333333333333,0.0,9.0,2023
14176,6,0.3333333333333333,0.0,5.0,2023
14311,9,0.1111111111111111,0.1111111111111111,9.0,2023
14320,8,0.0,0.0,6.0,2023
14443,11,0.2727272727272727,0.18181818181818182,11.0,2023
14460,9,0.1111111111111111,0.1111111111111111,9.0,2023
14826,8,0.0,0.0,8.0,2023
15253,7,0.14285714285714285,0.16666666666666666,6.0,2023
16101,5,0.0,0.0,3.0,2023
16292,9,0.2222222222222222,0.0,6.0,2023
16306,5,0.2,0.0,5.0,2023
17329,9,0.2222222222222222,0.0,9.0,2023
17450,10,0.3,0.1,10.0,2023
17671,12,0.3333333333333333,0.08333333333333333,12.0,2023
17892,8,0.25,,0.0,2023
17973,6,0.3333333333333333,0.0,6.0,2023
18376,9,0.0,0.1111111111111111,9.0,2023
18465,9,0.2222222222222222,0.0,9.0,2023
18627,9,0.1111111111111111,0.0,9.0,2023
18660,4,0.25,0.0,4.0,2023
18724,9,0.1111111111111111,0.0,4.0,2023
18821,11,0.18181818181818182,0.0,11.0,2023
19445,6,0.0,0.0,5.0,2023
19453,9,0.1111111111111111,0.0,9.0,2023
19550,3,0.0,0.0,3.0,2023
19569,9,0.1111111111111111,0.0,9.0,2023
19623,7,0.14285714285714285,0.0,2.0,2023
19739,8,0.25,0.0,8.0,2023
19763,3,0.0,0.0,3.0,2023
19836,10,0.2,0.0,9.0,2023
19879,9,0.0,0.0,3.0,2023
19909,3,0.3333333333333333,0.0,3.0,2023
19925,3,0.0,0.0,3.0,2023
19992,7,0.42857142857142855,0.0,7.0,2023
20010,7,0.2857142857142857,0.0,7.0,2023
20087,11,0.09090909090909091,0.09090909090909091,11.0,2023
20257,11,0.09090909090909091,0.0,11.0,2023
20362,9,0.1111111111111111,0.0,9.0,2023
20478,3,0.0,0.0,3.0,2023
20494,3,0.0,0.0,3.0,2023
20524,5,0.2,0.0,5.0,2023
20605,6,0.0,0.0,6.0,2023
20745,6,0.16666666666666666,0.0,6.0,2023
20770,6,0.0,0.0,6.0,2023
20788,7,0.14285714285714285,0.0,7.0,2023
20915,7,0.2857142857142857,0.0,7.0,2023
20931,10,0.1,0.3,10.0,2023
20982,7,0.2857142857142857,0.0,7.0,2023
20990,7,0.14285714285714285,0.0,7.0,2023
21016,9,0.1111111111111111,0.0,9.0,2023
21091,8,0.125,0.0,8.0,2023
21350,7,0.2857142857142857,0.0,7.0,2023
21431,9,0.3333333333333333,0.0,9.0,2023
21881,10,0.2,0.0,10.0,2023
22187,8,0.125,0.0,8.0,2023
22349,5,0.4,0.0,3.0,2023
22357,9,0.2222222222222222,0.0,9.0,2023
22470,7,0.42857142857142855,0.0,7.0,2023
22691,3,0.0,0.0,3.0,2023
23264,11,0.18181818181818182,0.0,11.0,2023
23272,7,0.14285714285714285,0.14285714285714285,7.0,2023
23310,7,0.0,0.0,7.0,2023
24112,12,0.25,0.0,12.0,2023
24171,5,0.2,0.2,5.0,2023
24260,8,0.125,0.0,8.0,2023
24295,8,0.25,0.0,8.0,2023
24392,9,0.1111111111111111,0.2222222222222222,9.0,2023
24716,5,0.2,0.0,5.0,2023
24783,9,0.3333333333333333,0.0,9.0,2023
24805,5,0.4,0.0,5.0,2023
24821,7,0.14285714285714285,,0.0,2023
24848,5,0.4,0.0,5.0,2023
24910,8,0.25,0.0,8.0,2023
24929,10,0.3,0.0,10.0,2023
25011,6,0.0,0.0,6.0,2023
25100,6,0.0,0.0,6.0,2023
25232,8,0.0,,0.0,2023
25291,7,0.14285714285714285,0.0,7.0,2023
25372,9,0.2222222222222222,0.2,5.0,2023
25585,7,0.2857142857142857,0.2857142857142857,7.0,2023
25780,7,0.14285714285714285,0.0,7.0,2023
26620,7,0.2857142857142857,0.0,7.0,2023
2437,10,0.2,0.0,8.0,2024
