CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
18961,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,2011,2011-12-31,2012-03-31,15882,ibx_extension
18961,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,2012,2012-12-31,2013-03-25,25251,ibx_extension
18961,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,2013,2013-12-31,2014-03-17,35221,ibx_extension
23248,ANIMA HOLDING S.A.,2012,2012-12-31,2013-10-25,32051,ibx_extension
23248,ANIMA HOLDING S.A.,2013,2013-12-31,2014-03-20,35381,ibx_extension
23248,ANIMA HOLDING S.A.,2014,2014-12-31,2015-02-26,44335,ibx_extension
23248,ANIMA HOLDING S.A.,2015,2015-12-31,2016-03-08,53928,ibx_extension
23248,ANIMA HOLDING S.A.,2016,2016-12-31,2017-03-14,63146,ibx_extension
23248,ANIMA HOLDING S.A.,2017,2017-12-31,2018-03-21,72485,ibx_extension
23248,ANIMA HOLDING S.A.,2018,2018-12-31,2019-03-21,81393,ibx_extension
23248,ANIMA HOLDING S.A.,2019,2019-12-31,2020-03-11,91479,ibx_extension
23248,ANIMA HOLDING S.A.,2020,2020-12-31,2021-03-17,101029,ibx_extension
23248,ANIMA HOLDING S.A.,2021,2021-12-31,2022-03-28,113046,ibx_extension
23248,ANIMA HOLDING S.A.,2022,2022-12-31,2023-03-27,124656,ibx_extension
23248,ANIMA HOLDING S.A.,2023,2023-12-31,2024-03-25,135077,ibx_extension
23248,ANIMA HOLDING S.A.,2024,2024-12-31,2025-03-20,145605,ibx_extension
23248,ANIMA HOLDING S.A.,2025,2025-12-31,2026-03-12,155312,ibx_extension
19771,ARTERIS S.A.,2010,2010-12-31,2011-06-08,9613,ibx_extension
19771,ARTERIS S.A.,2011,2011-12-31,2012-03-22,15250,ibx_extension
19771,ARTERIS S.A.,2012,2012-12-31,2013-03-05,24686,ibx_extension
19771,ARTERIS S.A.,2013,2013-12-31,2014-02-26,34833,ibx_extension
19771,ARTERIS S.A.,2014,2014-12-31,2015-02-26,44339,ibx_extension
19771,ARTERIS S.A.,2015,2015-12-31,2016-03-29,54628,ibx_extension
19771,ARTERIS S.A.,2016,2016-12-31,2017-03-16,63202,ibx_extension
19771,ARTERIS S.A.,2017,2017-12-31,2018-02-23,71721,ibx_extension
19771,ARTERIS S.A.,2018,2018-12-31,2019-03-01,81010,ibx_extension
19771,ARTERIS S.A.,2019,2019-12-31,2020-02-21,91159,ibx_extension
19771,ARTERIS S.A.,2020,2020-12-31,2021-04-08,102739,ibx_extension
19771,ARTERIS S.A.,2021,2021-12-31,2022-02-24,112031,ibx_extension
19771,ARTERIS S.A.,2022,2022-12-31,2023-02-23,123669,ibx_extension
19771,ARTERIS S.A.,2023,2023-12-31,2024-05-16,137595,ibx_extension
19771,ARTERIS S.A.,2024,2024-12-31,2025-02-27,145096,ibx_extension
19771,ARTERIS S.A.,2025,2025-12-31,2026-03-23,155574,ibx_extension
22349,AZZAS 2154 S.A.,2010,2010-12-31,2011-03-29,5887,history_extension
22349,AZZAS 2154 S.A.,2011,2011-12-31,2012-03-01,14619,history_extension
22349,AZZAS 2154 S.A.,2012,2012-12-31,2013-03-06,24719,history_extension
22349,AZZAS 2154 S.A.,2013,2013-12-31,2014-03-19,35300,history_extension
22349,AZZAS 2154 S.A.,2014,2014-12-31,2015-03-03,44468,history_extension
19909,BR MALLS PARTICIPACOES S.A.,2010,2010-12-31,2012-10-18,21727,history_extension
19909,BR MALLS PARTICIPACOES S.A.,2011,2011-12-31,2012-10-18,21729,history_extension
19909,BR MALLS PARTICIPACOES S.A.,2012,2012-12-31,2013-03-06,24746,history_extension
19909,BR MALLS PARTICIPACOES S.A.,2013,2013-12-31,2014-03-17,35253,history_extension
19909,BR MALLS PARTICIPACOES S.A.,2014,2014-12-31,2015-03-11,44919,history_extension
19925,BR PROPERTIES S.A.,2010,2010-12-31,2011-03-21,5372,history_extension
19925,BR PROPERTIES S.A.,2011,2011-12-31,2012-07-10,19623,history_extension
19925,BR PROPERTIES S.A.,2012,2012-12-31,2013-02-18,24306,history_extension
19925,BR PROPERTIES S.A.,2013,2013-12-31,2014-02-17,34595,history_extension
19925,BR PROPERTIES S.A.,2014,2014-12-31,2015-02-12,44050,history_extension
18724,BRADESPAR S.A.,2010,2010-12-31,2011-03-25,5596,history_extension
18724,BRADESPAR S.A.,2011,2011-12-31,2012-03-16,15100,history_extension
18724,BRADESPAR S.A.,2012,2012-12-31,2013-03-20,25064,history_extension
18724,BRADESPAR S.A.,2013,2013-12-31,2014-03-20,35387,history_extension
18724,BRADESPAR S.A.,2014,2014-12-31,2015-03-19,45084,history_extension
20125,BRADSAÚDE S.A.,2022,2022-12-31,2023-03-01,123793,ibx_extension
20125,BRADSAÚDE S.A.,2023,2023-12-31,2024-02-28,134322,ibx_extension
20125,BRADSAÚDE S.A.,2024,2024-12-31,2025-02-26,145038,ibx_extension
20125,BRADSAÚDE S.A.,2025,2025-12-31,2026-02-27,154958,ibx_extension
4820,BRASKEM S.A.,2010,2010-12-31,2011-03-17,5303,history_extension
4820,BRASKEM S.A.,2011,2011-12-31,2012-03-26,15385,history_extension
4820,BRASKEM S.A.,2012,2012-12-31,2013-02-07,24137,history_extension
4820,BRASKEM S.A.,2013,2013-12-31,2014-03-17,35243,history_extension
4820,BRASKEM S.A.,2014,2014-12-31,2015-02-12,44019,history_extension
16292,BRF S.A.,2010,2010-12-31,2011-04-13,6508,history_extension
16292,BRF S.A.,2011,2011-12-31,2012-03-22,15260,history_extension
16292,BRF S.A.,2012,2012-12-31,2013-03-04,24657,history_extension
16292,BRF S.A.,2013,2013-12-31,2014-02-27,34932,history_extension
