CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
022349,2012,24719,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001204120000000000000000.pdf.pdf', 'size_bytes': 1179813}]",AZZAS 2154 S.A.,
022349,2013,35300,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00004504120000000000000000.pdf.pdf', 'size_bytes': 884929}]",AZZAS 2154 S.A.,
022349,2014,44468,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121904120000000000000000.pdf.pdf', 'size_bytes': 892995}]",AZZAS 2154 S.A.,
019909,2010,21727,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001216530000000000000000.pdf.pdf', 'size_bytes': 2036123}]",BR MALLS PARTICIPACOES S.A.,
019909,2011,21729,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00003216530000000000000000.pdf.pdf', 'size_bytes': 3780825}]",BR MALLS PARTICIPACOES S.A.,
019909,2012,24746,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00017004130000000000000000.pdf.pdf', 'size_bytes': 2621270}]",BR MALLS PARTICIPACOES S.A.,
019909,2013,35253,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00000704130000000000000000.pdf.pdf', 'size_bytes': 1801650}]",BR MALLS PARTICIPACOES S.A.,
019909,2014,44919,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00120404130000000000000000.pdf.pdf', 'size_bytes': 1533078}]",BR MALLS PARTICIPACOES S.A.,
019925,2010,5372,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000404120000000000000000.pdf.pdf', 'size_bytes': 423355}]",BR PROPERTIES S.A.,
019925,2011,19623,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001204120000000000000000.pdf.pdf', 'size_bytes': 684067}]",BR PROPERTIES S.A.,
