CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
22349,AZZAS 2154 S.A.,2017,2017-12-31,2018-03-07,72053,current_ibov
22349,AZZAS 2154 S.A.,2018,2018-12-31,2019-02-20,80780,current_ibov
22349,AZZAS 2154 S.A.,2019,2019-12-31,2020-05-08,92868,current_ibov
22349,AZZAS 2154 S.A.,2020,2020-12-31,2021-03-04,100689,current_ibov
22349,AZZAS 2154 S.A.,2021,2021-12-31,2022-03-11,112444,current_ibov
22349,AZZAS 2154 S.A.,2022,2022-12-31,2023-04-17,125277,current_ibov
22349,AZZAS 2154 S.A.,2023,2023-12-31,2024-03-07,134550,current_ibov
22349,AZZAS 2154 S.A.,2024,2024-12-31,2025-03-11,145319,current_ibov
19909,BR MALLS PARTICIPACOES S.A.,2015,2015-12-31,2016-03-14,54051,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2016,2016-12-31,2017-03-15,63185,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2017,2017-12-31,2018-03-16,72384,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2018,2018-12-31,2019-03-29,81862,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2019,2019-12-31,2020-03-12,91538,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2020,2020-12-31,2021-04-09,102775,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2021,2021-12-31,2022-03-18,112714,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2022,2022-12-31,2023-03-23,124528,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2023,2023-12-31,2024-03-20,134922,historical_ibov
19909,BR MALLS PARTICIPACOES S.A.,2024,2024-12-31,2025-03-20,145599,historical_ibov
19925,BR PROPERTIES S.A.,2015,2015-12-31,2016-02-16,53400,historical_ibov
19925,BR PROPERTIES S.A.,2016,2016-12-31,2017-06-16,66835,historical_ibov
19925,BR PROPERTIES S.A.,2017,2017-12-31,2018-02-06,71365,historical_ibov
19925,BR PROPERTIES S.A.,2018,2018-12-31,2019-02-07,80509,historical_ibov
19925,BR PROPERTIES S.A.,2019,2019-12-31,2020-03-24,91755,historical_ibov
19925,BR PROPERTIES S.A.,2020,2020-12-31,2021-02-22,100345,historical_ibov
19925,BR PROPERTIES S.A.,2021,2021-12-31,2022-02-22,111933,historical_ibov
19925,BR PROPERTIES S.A.,2022,2022-12-31,2023-02-07,123391,historical_ibov
18724,BRADESPAR S.A.,2015,2015-12-31,2016-03-21,54217,current_ibov
18724,BRADESPAR S.A.,2016,2016-12-31,2017-03-21,63373,current_ibov
18724,BRADESPAR S.A.,2017,2017-12-31,2018-03-21,72464,current_ibov
18724,BRADESPAR S.A.,2018,2018-12-31,2019-03-28,81696,current_ibov
18724,BRADESPAR S.A.,2019,2019-12-31,2020-03-26,91842,current_ibov
18724,BRADESPAR S.A.,2020,2020-12-31,2021-03-25,102213,current_ibov
18724,BRADESPAR S.A.,2021,2021-12-31,2022-03-29,113117,current_ibov
18724,BRADESPAR S.A.,2022,2022-12-31,2023-03-27,124650,current_ibov
18724,BRADESPAR S.A.,2023,2023-12-31,2024-03-27,135181,current_ibov
18724,BRADESPAR S.A.,2024,2024-12-31,2025-03-25,145726,current_ibov
4820,BRASKEM S.A.,2015,2015-12-31,2016-02-18,53451,current_ibov
4820,BRASKEM S.A.,2016,2016-12-31,2017-08-15,68264,current_ibov
4820,BRASKEM S.A.,2017,2017-12-31,2018-03-29,72881,current_ibov
