CD_CVM,company_name,fiscal_year,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return
2437,AXIA ENERGIA S.A.,2015,149645408.0,32588838.0,-14953658.0,41739222.0,107906186.0,18.823779106860684,17.299480395069157,0.7210791660242591,-0.09992727608454247,-0.3582639369751549,0.11844660180766842
2437,AXIA ENERGIA S.A.,2016,170499429.0,60748853.0,3513276.0,44064927.0,126434502.0,18.95424250570863,17.922258759348253,0.7415538148224532,0.02060579334843403,0.07972953183378699,2.8991452984968618
2437,AXIA ENERGIA S.A.,2017,172975359.0,37876024.0,-1725691.0,42752532.0,130222827.0,18.968659708791424,17.449828857731962,0.7528403337495024,-0.009976513475540755,-0.04036465021533695,-0.14839277875458157
2437,AXIA ENERGIA S.A.,2018,181210208.0,24975747.0,13347577.0,56008948.0,125201260.0,19.015168285527206,17.03341579196151,0.6909172578180585,0.07365797516219395,0.2383115105107848,0.3673814897923633
2437,AXIA ENERGIA S.A.,2019,177466715.0,27725527.0,10743843.0,71394146.0,106072569.0,18.9942936281687,17.137864099135474,0.5977040201594986,0.06054004549529189,0.15048632978956006,0.5775706906245932
2437,AXIA ENERGIA S.A.,2020,178966449.0,29080513.0,6387313.0,73751294.0,105215155.0,19.002708910482564,17.185578851464363,0.5879043563075893,0.03569000243168483,0.08660611432797369,0.020595602560534276
2437,AXIA ENERGIA S.A.,2021,188303069.0,37616241.0,5713633.0,76416764.0,111886305.0,19.053563291954468,17.442946456589613,0.594182057648779,0.030342750281993545,0.07476936605166898,-0.10668449197860963
2437,AXIA ENERGIA S.A.,2022,270217462.0,34074233.0,3638382.0,111028636.0,159188826.0,19.414737607605,17.34405202612259,0.589113763491717,0.01346464426492171,0.03276976220801271,0.2705882352941176
2437,AXIA ENERGIA S.A.,2023,267057654.0,37158908.0,4394861.0,112464644.0,154593010.0,19.402975125638708,17.430714085041092,0.5788750394699416,0.0164566000418771,0.03907771228084801,0.036394723986321376
2437,AXIA ENERGIA S.A.,2024,289871330.0,40181552.0,10380753.0,121999776.0,167871554.0,19.484947692830243,17.50891854278727,0.5791243790822639,0.035811589231677377,0.08508829557195252,-0.17877767083734364
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015,40857089.0,21292211.0,2469003.0,12987676.0,27869413.0,17.525590901546128,16.87385188305097,0.6821193991573898,0.0604302230146646,0.1901035258347991,-0.5008143323317034
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016,42035853.0,18772656.0,334754.0,12934371.0,29101482.0,17.55403345495894,16.747911900949614,0.6923014503833193,0.007963535318291269,0.025880964756616307,0.23756019283171903
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017,42239589.0,21711690.0,1001596.0,14330136.0,27909453.0,17.558868467201307,16.893361383136142,0.6607415853407096,0.023712257238109016,0.06989438202121738,-0.011567286947988809
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2018,59854673.0,22266217.0,1741713.0,15939327.0,43915346.0,17.907430065449944,16.91858115502407,0.733699539215593,0.02909903124857102,0.10927142657905192,1.1323076921600346
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2019,49927052.0,25390306.0,3128073.0,15890865.0,34036187.0,17.726073538073983,17.049878005597208,0.6817183397890186,0.06265286802833862,0.1968472452569448,0.10055865920125817
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2020,54083080.0,25227625.0,2865121.0,17477348.0,36605732.0,17.806031940739963,17.043450182218862,0.6768425910654496,0.052976291291102505,0.16393339538698892,0.12287906376148561
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2021,52045808.0,33646118.0,3752869.0,19461765.0,32584043.0,17.767634811837613,17.331408243358464,0.6260646966994922,0.07210703693945918,0.19283292137172553,0.08436525151624763
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2022,53670837.0,34462808.0,4094367.0,21783266.0,31887571.0,17.798380339336045,17.355391271524887,0.5941321727477438,0.07628662470831227,0.18795928030259557,0.038136200666563536
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2023,55000080.0,36849769.0,5766835.0,24655193.0,30344887.0,17.82284519774114,17.422359907923255,0.5517244156735772,0.10485139294342845,0.23389940610077561,0.04840182652099001
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2024,59726836.0,39819620.0,7119287.0,27383079.0,32343757.0,17.905291991599427,17.499870313611545,0.5415280494684165,0.11919745757166846,0.2599885498632203,0.2537326388235901
2577,CESP - Companhia Energética de São Paulo,2015,11986763.0,2950982.0,-61357.0,7310892.0,4675871.0,16.29931351557474,14.897648554279229,0.390086214268189,-0.005118729718773951,-0.008392546354124777,-0.47160883280757093
2577,CESP - Companhia Energética de São Paulo,2016,11416449.0,1668590.0,305095.0,7161537.0,4254912.0,16.250565768129217,14.32748951638409,0.3727001276841862,0.026724159149662037,0.042601888393511055,-0.024584237165582112
2577,CESP - Companhia Energética de São Paulo,2017,11131537.0,1476615.0,-168528.0,7114565.0,4016972.0,16.225292808955555,14.205262864027771,0.3608640927124439,-0.015139688256886717,-0.023687744788332105,0.010719754977029039
2577,CESP - Companhia Energética de São Paulo,2018,10326500.0,1634110.0,294433.0,7102066.0,3224434.0,16.15022396470984,14.306608871597676,0.3122484869026292,0.028512371084104003,0.04145737310805053,0.7165354330708662
2577,CESP - Companhia Energética de São Paulo,2019,12929688.0,1571296.0,1163014.0,7144905.0,5784783.0,16.375036620526515,14.267411314512156,0.447403139194078,0.08994911555483782,0.16277529232369078,0.5209523809523811
2577,CESP - Companhia Energética de São Paulo,2020,14551864.0,1917248.0,1728762.0,7206213.0,7345651.0,16.49322965334203,14.466401382465785,0.5047910700649759,0.11880003826313935,0.23989882064268708,-0.02457912457912459
2577,CESP - Companhia Energética de São Paulo,2021,14427182.0,2292813.0,440827.0,7583562.0,6843620.0,16.48462462408366,14.645290005963208,0.4743559761012234,0.03055530872210526,0.05812928014566242,-0.2718348002708192
2577,CESP - Companhia Energética de São Paulo,2022,16260718.0,2255353.0,0.0,10141330.0,6119388.0,16.604262818550602,14.628817059687604,0.37632950771300505,0.0,0.0,0.18544600938967126
2577,CESP - Companhia Energética de São Paulo,2023,13568181.0,1389769.0,-449370.0,7961186.0,5606995.0,16.423237977137106,14.144648104245917,0.4132458875659162,-0.03311939898207431,-0.05644510755055842,
2577,CESP - Companhia Energética de São Paulo,2024,14493499.0,1469889.0,1077900.0,7939081.0,6554418.0,16.489210762026623,14.200697445699799,0.45223158327744045,0.07437127501095492,0.13577138210329381,
3980,GERDAU S.A.,2015,70094709.0,43581241.0,-4595986.0,31970383.0,38124326.0,18.06535787126749,17.590137363440608,0.5438973432359924,-0.06556822997867072,-0.14375761466479772,-0.46180555561378767
3980,GERDAU S.A.,2016,54635141.0,37651667.0,-2885929.0,24274653.0,30360488.0,17.8161878417469,17.443887787458433,0.5556952438358309,-0.052821845925134524,-0.11888651920173689,1.2268041237193752
3980,GERDAU S.A.,2017,50301761.0,36917619.0,-338667.0,23893941.0,26407820.0,17.733550644397493,17.424199474728407,0.5249879820310863,-0.0067327066342667405,-0.014173760619899414,0.1336996336102425
3980,GERDAU S.A.,2018,51281029.0,46159478.0,2326382.0,25938571.0,25342458.0,17.752831436678015,17.647612871607976,0.494187782386348,0.04536535333563607,0.0896881327811004,0.23706176940743195
3980,GERDAU S.A.,2019,54002970.0,39644010.0,1216887.0,27173127.0,26829843.0,17.804549603016103,17.495450422753684,0.49682161925538537,0.022533705090664456,0.04478273700336365,0.3245033114627429
3980,GERDAU S.A.,2020,63123009.0,43814661.0,2388054.0,31085210.0,32037799.0,17.960595904468324,17.595479045365813,0.5075454973954109,0.03783175165176299,0.07682283632634297,0.35682574898521935
3980,GERDAU S.A.,2021,73814613.0,78345081.0,15558938.0,42815649.0,30998964.0,18.11706727809976,18.176633742408683,0.41995700769981686,0.21078398121521005,0.3633937208332402,0.14634146333709408
3980,GERDAU S.A.,2022,73798652.0,82412210.0,11479552.0,46298193.0,27500459.0,18.116851023821226,18.227244163513838,0.37264175231818597,0.15555232634872518,0.24794816506121525,-0.015420717187041189
3980,GERDAU S.A.,2023,74885144.0,68916447.0,7536983.0,49238863.0,25646281.0,18.131466084355306,18.04840541577046,0.34247488393692616,0.10064723919072653,0.15306980179457028,-0.17308584671426186
3980,GERDAU S.A.,2024,86814493.0,67026656.0,4599062.0,58173786.0,28640707.0,18.279284135738713,18.020600948979887,0.3299069776287238,0.05297573989172522,0.07905729223124656,-0.07527612590054777
4030,CIA SIDERURGICA NACIONAL,2015,48649974.0,15331852.0,1615951.0,8735663.0,39914311.0,17.700161832166547,16.545443052422687,0.8204384857430757,0.03321586564465584,0.18498321192106426,-0.19028340080971662
4030,CIA SIDERURGICA NACIONAL,2016,44153623.0,17148949.0,-853058.0,7384521.0,36769102.0,17.603185542802564,16.65744744689952,0.8327539056081537,-0.01932022656442032,-0.11551974732010377,1.5232558139534884
4030,CIA SIDERURGICA NACIONAL,2017,45209970.0,18524601.0,111229.0,8288229.0,36921741.0,17.62682819570056,16.73461019045293,0.8166725392651223,0.0024602759081680434,0.013420116649769208,-0.21828358208955223
4030,CIA SIDERURGICA NACIONAL,2018,47327524.0,22968885.0,5200583.0,10013440.0,37314084.0,17.67260258697082,16.94965103191113,0.7884224832890053,0.10988495827501985,0.5193602797839704,0.17709720372836224
4030,CIA SIDERURGICA NACIONAL,2019,50869276.0,25436417.0,2244511.0,11361932.0,39507344.0,17.744769684340678,17.051692445322175,0.7766445113156318,0.04412311667262573,0.19754659682877876,0.5188374596340151
4030,CIA SIDERURGICA NACIONAL,2020,63002149.0,30064020.0,4292618.0,11251505.0,51750644.0,17.95867939488515,17.218839665882633,0.8214107744165997,0.06813446950833375,0.3815150062147242,1.2946685878962536
4030,CIA SIDERURGICA NACIONAL,2021,79379103.0,47912039.0,13595621.0,23374389.0,56004714.0,18.18974570517976,17.684877366918425,0.7055347299653916,0.1712745607619174,0.5816460485876229,-0.11913993655269661
4030,CIA SIDERURGICA NACIONAL,2022,85354359.0,44362120.0,2167698.0,21816044.0,63538315.0,18.26232207795683,17.60789651010702,0.7444062112867604,0.02539645339027149,0.09936256087492307,-0.43648334624322227
4030,CIA SIDERURGICA NACIONAL,2023,91529720.0,45437950.0,402649.0,19684838.0,71844882.0,18.33217428624998,17.631858216922865,0.7849350134579238,0.004399106650823361,0.02045477844420157,0.41337167505391803
