CD_CVM,ANO,ID_DOC,new_tier
006505,2015,58276,largest_attachment_fallback
006505,2016,62732,largest_attachment_fallback
006505,2017,71563,largest_attachment_fallback
006505,2018,80761,largest_attachment_fallback
006505,2019,91841,largest_attachment_fallback
006505,2020,100603,largest_attachment_fallback
006505,2022,124037,largest_attachment_fallback
006505,2023,135112,largest_attachment_fallback
006505,2024,145352,largest_attachment_fallback
007870,2010,5668,largest_attachment_fallback
007870,2011,15031,largest_attachment_fallback
007870,2012,24914,largest_attachment_fallback
007870,2013,35456,largest_attachment_fallback_content_filtered
007870,2014,45143,largest_attachment_fallback_content_filtered
007870,2015,54201,largest_attachment_fallback_content_filtered
007870,2016,63293,largest_attachment_fallback_content_filtered
007870,2017,72609,largest_attachment_fallback
007870,2018,81359,largest_attachment_fallback
007870,2019,100927,largest_attachment_fallback
007870,2020,100419,largest_attachment_fallback
007870,2021,111807,largest_attachment_fallback
008087,2011,14726,largest_attachment_fallback
008087,2012,25008,largest_attachment_fallback_content_filtered
008087,2013,35308,largest_attachment_fallback
008087,2014,45054,largest_attachment_fallback
008087,2015,54128,largest_attachment_fallback
008087,2016,62641,largest_attachment_fallback
008087,2017,72267,largest_attachment_fallback
008087,2018,81383,largest_attachment_fallback_content_filtered
008087,2019,91146,largest_attachment_fallback
008087,2020,100679,largest_attachment_fallback
008133,2010,4793,largest_attachment_fallback
008133,2011,14175,largest_attachment_fallback
008133,2012,24469,largest_attachment_fallback
008133,2013,34705,largest_attachment_fallback
008133,2014,44074,largest_attachment_fallback
008133,2015,53231,largest_attachment_fallback
008133,2016,62430,largest_attachment_fallback
008133,2017,71433,largest_attachment_fallback
008133,2018,80521,largest_attachment_fallback
008133,2019,90801,largest_attachment_fallback
008133,2020,100134,largest_attachment_fallback
008451,2010,4934,largest_attachment_fallback
008451,2011,14567,largest_attachment_fallback
008451,2012,24370,largest_attachment_fallback
008451,2013,34785,largest_attachment_fallback
008451,2014,44201,largest_attachment_fallback
008451,2015,53544,largest_attachment_fallback
008451,2016,62734,largest_attachment_fallback
008451,2017,71666,largest_attachment_fallback
008451,2018,80876,largest_attachment_fallback
008451,2019,91200,largest_attachment_fallback
008451,2020,100437,largest_attachment_fallback
