CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
26620,2023,133972,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\026620\\2023\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas AUREN 4T23 v2.pdf', 'size_bytes': 2581495}]",AUREN ENERGIA S.A.,
26620,2024,144969,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\026620\\2024\\notas_explicativas.pdf', 'original_filename': 'NES da DF AUREN CONSOLIDADA 4T2024.pdf', 'size_bytes': 3368474}]",AUREN ENERGIA S.A.,
2437,2022,124141,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002437\\2022\\notas_explicativas.pdf', 'original_filename': 'Nota Explicativa - Eletrobras DFP 22.pdf', 'size_bytes': 1653118}]",AXIA ENERGIA S.A.,
2437,2023,137285,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002437\\2023\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas - DFP23 - Eletrobras.pdf', 'size_bytes': 1815384}]",AXIA ENERGIA S.A.,
2437,2024,145424,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002437\\2024\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas - Eletrobras - 2024 v 13.03.25.pdf', 'size_bytes': 2100999}]",AXIA ENERGIA S.A.,
22349,2015,53767,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122004120000000000000000.pdf.pdf', 'size_bytes': 941784}]",AZZAS 2154 S.A.,
22349,2016,62971,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00122404120000000000000000.pdf.pdf', 'size_bytes': 1129617}]",AZZAS 2154 S.A.,
22349,2017,72053,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00122204120000000000000000.pdf.pdf', 'size_bytes': 1470144}]",AZZAS 2154 S.A.,
22349,2018,80780,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00123904120000000000000000.pdf.pdf', 'size_bytes': 1411537}]",AZZAS 2154 S.A.,
22349,2019,92868,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00122104120000000000000000.pdf.pdf', 'size_bytes': 1419766}]",AZZAS 2154 S.A.,
22349,2020,100689,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022349\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121716530000000000000000.pdf.pdf', 'size_bytes': 6352721}]",AZZAS 2154 S.A.,
22349,2021,112444,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\022349\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 4T21 v10.pdf', 'size_bytes': 902669}]",AZZAS 2154 S.A.,
22349,2022,125277,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\022349\\2022\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 4T22 - v9.pdf', 'size_bytes': 890593}]",AZZAS 2154 S.A.,
22349,2023,134550,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\022349\\2023\\notas_explicativas.pdf', 'original_filename': 'Arezzo - Notas explicativas 4T23 Final.pdf', 'size_bytes': 912995}]",AZZAS 2154 S.A.,
22349,2024,145319,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\022349\\2024\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 4T24 - Final.pdf', 'size_bytes': 840512}]",AZZAS 2154 S.A.,
18724,2015,54217,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122716530000000000000000.pdf.pdf', 'size_bytes': 541214}]",BRADESPAR S.A.,
18724,2016,63373,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124704120000000000000000.pdf.pdf', 'size_bytes': 608919}]",BRADESPAR S.A.,
18724,2017,72464,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123804120000000000000000.pdf.pdf', 'size_bytes': 659532}]",BRADESPAR S.A.,
18724,2018,81696,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00122004120000000000000000.pdf.pdf', 'size_bytes': 594630}]",BRADESPAR S.A.,
18724,2019,91842,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121104120000000000000000.pdf.pdf', 'size_bytes': 998546}]",BRADESPAR S.A.,
18724,2020,102213,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121904120000000000000000.pdf.pdf', 'size_bytes': 975523}]",BRADESPAR S.A.,
18724,2021,113117,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2021\\notas_explicativas.pdf', 'original_filename': 'Nota Bradespar 122021_v5.pdf', 'size_bytes': 974932}]",BRADESPAR S.A.,
18724,2022,124650,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2022\\notas_explicativas.pdf', 'original_filename': 'Nota Bradespar 122022 - v6.pdf', 'size_bytes': 958187}]",BRADESPAR S.A.,
18724,2023,135181,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2023\\notas_explicativas.pdf', 'original_filename': 'Rel Adm_4T_23 V2 Limpa.pdf', 'size_bytes': 663992}]",BRADESPAR S.A.,
18724,2024,145726,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018724\\2024\\notas_explicativas.pdf', 'original_filename': 'Versão Final.pdf', 'size_bytes': 582722}]",BRADESPAR S.A.,
4820,2015,53451,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122816530000000000000000.pdf.pdf', 'size_bytes': 947743}]",BRASKEM S.A.,
4820,2016,68264,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123604120000000000000000.pdf.pdf', 'size_bytes': 863185}]",BRASKEM S.A.,
4820,2017,72881,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124104120000000000000000.pdf.pdf', 'size_bytes': 953012}]",BRASKEM S.A.,
4820,2018,81173,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00122116530000000000000000.pdf.pdf', 'size_bytes': 882890}]",BRASKEM S.A.,
4820,2019,92224,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121504120000000000000000.pdf.pdf', 'size_bytes': 1551238}]",BRASKEM S.A.,
4820,2020,100840,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122416530000000000000000.pdf.pdf', 'size_bytes': 2325249}]",BRASKEM S.A.,
4820,2021,112600,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2021\\notas_explicativas.pdf', 'original_filename': 'Braskem_DFs 2021.pdf', 'size_bytes': 6339591}]",BRASKEM S.A.,
4820,2022,124488,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2022\\notas_explicativas.pdf', 'original_filename': 'braskem DF 2022.pdf', 'size_bytes': 2872046}]",BRASKEM S.A.,
4820,2023,139362,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2023\\notas_explicativas.pdf', 'original_filename': 'RA_2023_PORT_20240318_slim.pdf', 'size_bytes': 2321676}]",BRASKEM S.A.,
4820,2024,145080,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\004820\\2024\\notas_explicativas.pdf', 'original_filename': 'Braskem_DFs 2024.pdf', 'size_bytes': 3151586}]",BRASKEM S.A.,
25291,2020,101006,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\025291\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 1111360}]",BRAVA ENERGIA S.A.,
25291,2021,111958,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\025291\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas.pdf', 'size_bytes': 1420561}]",BRAVA ENERGIA S.A.,
25291,2022,123994,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\025291\\2022\\notas_explicativas.pdf', 'original_filename': 'Release 4T22 PORT_Versão DF.pdf', 'size_bytes': 1358736}]",BRAVA ENERGIA S.A.,
25291,2023,134516,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\025291\\2023\\notas_explicativas.pdf', 'original_filename': 'Release 4T23_PORT_FINAL_DF.pdf', 'size_bytes': 1735317}]",BRAVA ENERGIA S.A.,
25291,2024,145612,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\025291\\2024\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas_DF Brava - 4T24 v9.5.pdf', 'size_bytes': 1423238}]",BRAVA ENERGIA S.A.,
24848,2018,87072,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024848\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15000\\Temp\\files\\00121304120000000000000000.pdf.pdf', 'size_bytes': 1676902}]",C&A MODAS S.A.,
24848,2019,91737,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024848\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121204120000000000000000.pdf.pdf', 'size_bytes': 467353}]",C&A MODAS S.A.,
24848,2020,102056,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024848\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121604120000000000000000.pdf.pdf', 'size_bytes': 1283300}]",C&A MODAS S.A.,
24848,2021,112425,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\024848\\2021\\notas_explicativas.pdf', 'original_filename': 'Nota explicativa 4.pdf', 'size_bytes': 1168454}]",C&A MODAS S.A.,
24848,2022,123795,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024848\\2022\\notas_explicativas.pdf', 'original_filename': '20230301_Relatório Resultados_4T22_comentário de desempenho 3.pdf', 'size_bytes': 571502}]",C&A MODAS S.A.,
24848,2023,134324,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024848\\2023\\notas_explicativas.pdf', 'original_filename': '20240228_Comentário de desempenho_vf1.pdf', 'size_bytes': 787361}]",C&A MODAS S.A.,
24848,2024,145051,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024848\\2024\\notas_explicativas.pdf', 'original_filename': 'Release VF - 4T24.pdf', 'size_bytes': 8156163}]",C&A MODAS S.A.,
18821,2015,53651,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018821\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00135704120000000000000000.pdf.pdf', 'size_bytes': 752022}]",CCR S.A.,
18821,2016,62916,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018821\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122304120000000000000000.pdf.pdf', 'size_bytes': 785898}]",CCR S.A.,
18821,2017,71809,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018821\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124504120000000000000000.pdf.pdf', 'size_bytes': 878145}]",CCR S.A.,
18821,2018,81414,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018821\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121104120000000000000000.pdf.pdf', 'size_bytes': 1079776}]",CCR S.A.,
18821,2019,91386,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018821\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121604120000000000000000.pdf.pdf', 'size_bytes': 987851}]",CCR S.A.,
18821,2020,100683,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018821\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00124004120000000000000000.pdf.pdf', 'size_bytes': 1137750}]",CCR S.A.,
2437,2015,54894,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002437\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121916530000000000000000.pdf.pdf', 'size_bytes': 5571417}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS,
2437,2016,63647,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002437\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122516530000000000000000.pdf.pdf', 'size_bytes': 5522313}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS,
2437,2017,72695,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002437\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124016530000000000000000.pdf.pdf', 'size_bytes': 4494848}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS,
2437,2018,81620,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002437\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00123816530000000000000000.pdf.pdf', 'size_bytes': 4691045}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS,
2437,2019,91942,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002437\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00124516530000000000000000.pdf.pdf', 'size_bytes': 5922423}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS,
2437,2020,102103,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002437\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122016530000000000000000.pdf.pdf', 'size_bytes': 8913527}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS,
2437,2021,112739,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002437\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas - Eletrobras Dezembro 2021 18.03.22.pdf', 'size_bytes': 2141000}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS,
2453,2015,60912,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002453\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125804120000000000000000.pdf.pdf', 'size_bytes': 4013781}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,
2453,2016,64232,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002453\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00128804120000000000000000.pdf.pdf', 'size_bytes': 2322647}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,
2453,2017,72887,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002453\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125104120000000000000000.pdf.pdf', 'size_bytes': 2829653}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,
2453,2018,81934,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002453\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00126204120000000000000000.pdf.pdf', 'size_bytes': 1577482}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,
2453,2019,92147,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002453\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121104120000000000000000.pdf.pdf', 'size_bytes': 4092342}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,
2453,2020,102461,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002453\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122404120000000000000000.pdf.pdf', 'size_bytes': 4390548}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,
2453,2021,113213,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002453\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas.pdf', 'size_bytes': 3243080}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,
