CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
021300,2016,63639,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 1390858}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2017,72187,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 1457261}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2018,80906,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13003\\Temp\\files\\00122116530000000000000000.pdf.pdf', 'size_bytes': 3147899}]",ALIANSCE SHOPPING CENTERS S.A.,
021490,2010,6665,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001404120000000000000000.pdf.pdf', 'size_bytes': 967255}]",ALUPAR INVESTIMENTO S/A,
021490,2011,24446,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002216530000000000000000.pdf.pdf', 'size_bytes': 860880}]",ALUPAR INVESTIMENTO S/A,
021490,2012,24425,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001816530000000000000000.pdf.pdf', 'size_bytes': 1198812}]",ALUPAR INVESTIMENTO S/A,
021490,2013,35636,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00003304120000000000000000.pdf.pdf', 'size_bytes': 1183470}]",ALUPAR INVESTIMENTO S/A,
021490,2014,44807,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00119304120000000000000000.docx.pdf', 'size_bytes': 1646308}]",ALUPAR INVESTIMENTO S/A,
021490,2015,54006,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123304120000000000000000.pdf.pdf', 'size_bytes': 1618129}]",ALUPAR INVESTIMENTO S/A,
021490,2016,63354,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00126604120000000000000000.pdf.pdf', 'size_bytes': 1630808}]",ALUPAR INVESTIMENTO S/A,
