CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA
024171,2017,71848,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024171\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121716530000000000000000.pdf.pdf', 'size_bytes': 1155651}]",ATACADÃO S.A.
024171,2018,80891,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024171\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121104120000000000000000.pdf.pdf', 'size_bytes': 784278}]",ATACADÃO S.A.
024171,2019,91144,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024171\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121304120000000000000000.pdf.pdf', 'size_bytes': 681125}]",ATACADÃO S.A.
024171,2020,100225,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024171\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122116530000000000000000.pdf.pdf', 'size_bytes': 1481068}]",ATACADÃO S.A.
024171,2021,111823,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\024171\\2021\\notas_explicativas.pdf', 'original_filename': 'Grupo Carrefour Brasil - Demonstrações Financeiras 31.12.2021cvm.pdf', 'size_bytes': 824158}]",ATACADÃO S.A.
024171,2022,123495,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\024171\\2022\\notas_explicativas.pdf', 'original_filename': 'Grupo Carrefour Brasil - Demonstrações Financeiras 31.12.2022_CVM.pdf', 'size_bytes': 1428639}]",ATACADÃO S.A.
024171,2023,134106,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\024171\\2023\\notas_explicativas.pdf', 'original_filename': 'Grupo Carrefour Brasil - Demonstrações Financeiras 31.12.2023_CVM.pdf', 'size_bytes': 1290181}]",ATACADÃO S.A.
024171,2024,144849,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\024171\\2024\\notas_explicativas.pdf', 'original_filename': 'Grupo Carrefour Brasil - Notas Explicativas 31.12.2024.pdf', 'size_bytes': 1849529}]",ATACADÃO S.A.
027707,2023,141876,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\027707\\2023\\notas_explicativas.pdf', 'original_filename': 'DF Vamos_LA 2023.DEZ_Reemissão 30.10.2024 VF.pdf', 'size_bytes': 1824406}]",AUTOMOB PARTICIPAÇÕES S.A.
027707,2024,145756,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\027707\\2024\\notas_explicativas.pdf', 'original_filename': '2. NOTAS EXPLICATIVAS_4TRI.pdf', 'size_bytes': 2850365}]",AUTOMOB PARTICIPAÇÕES S.A.
024112,2016,64217,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121704120000000000000000.docx.pdf', 'size_bytes': 1103774}]",AZUL S.A.
024112,2017,72141,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121804120000000000000000.pdf.pdf', 'size_bytes': 804397}]",AZUL S.A.
024112,2018,81237,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00122404120000000000000000.pdf.pdf', 'size_bytes': 754294}]",AZUL S.A.
024112,2019,91509,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121404120000000000000000.pdf.pdf', 'size_bytes': 1567101}]",AZUL S.A.
024112,2020,100645,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122104120000000000000000.pdf.pdf', 'size_bytes': 796508}]",AZUL S.A.
024112,2021,112019,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas_CVM_ASA_4Q21_Português.pdf', 'size_bytes': 1100259}]",AZUL S.A.
024112,2022,123879,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2022\\notas_explicativas.pdf', 'original_filename': 'ASA_4Q22 - Português_notas.pdf', 'size_bytes': 794783}]",AZUL S.A.
024112,2023,135682,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024112\\2023\\notas_explicativas.pdf', 'original_filename': 'ASA_4Q23_Português_FINAL_V3_NE.pdf', 'size_bytes': 814016}]",AZUL S.A.
024112,2024,144942,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\024112\\2024\\notas_explicativas.pdf', 'original_filename': 'ASA - 4Q24_Português_Final_Notas explicativas.pdf', 'size_bytes': 798705}]",AZUL S.A.
019909,2015,54051,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121204130000000000000000.pdf.pdf', 'size_bytes': 1232303}]",BR MALLS PARTICIPACOES S.A.
019909,2016,63185,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125004130000000000000000.pdf.pdf', 'size_bytes': 1107607}]",BR MALLS PARTICIPACOES S.A.
019909,2017,72384,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124804130000000000000000.pdf.pdf', 'size_bytes': 867831}]",BR MALLS PARTICIPACOES S.A.
019909,2018,81862,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13004\\Temp\\files\\00122404130000000000000000.pdf.pdf', 'size_bytes': 10591248}]",BR MALLS PARTICIPACOES S.A.
019909,2019,91538,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121916530000000000000000.pdf.pdf', 'size_bytes': 1342964}]",BR MALLS PARTICIPACOES S.A.
019909,2020,102775,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00122416530000000000000000.pdf.pdf', 'size_bytes': 1217898}]",BR MALLS PARTICIPACOES S.A.
019909,2021,112714,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\019909\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas 31 de dezembro de 2021.pdf', 'size_bytes': 608357}]",BR MALLS PARTICIPACOES S.A.
019909,2022,124528,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\019909\\2022\\notas_explicativas.pdf', 'original_filename': 'Demonstrações Financeiras 31 de dezembro de 2022 final.pdf', 'size_bytes': 650623}]",BR MALLS PARTICIPACOES S.A.
019909,2023,134922,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\019909\\2023\\notas_explicativas.pdf', 'original_filename': 'RDP0715_2024_SPO_Demonstrações Financeiras 31 de dezembro de 2023 - BRMALLS PARTICIPAÇÕES S.A vf_limpaEY_BP_(Secured).pdf', 'size_bytes': 478322}]",BR MALLS PARTICIPACOES S.A.
019909,2024,145599,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019909\\2024\\notas_explicativas.pdf', 'original_filename': '2025RJ038399_VF.pdf', 'size_bytes': 1430008}]",BR MALLS PARTICIPACOES S.A.
019925,2015,53400,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00168704120000000000000000.pdf.pdf', 'size_bytes': 732185}]",BR PROPERTIES S.A.
019925,2016,66835,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00203404120000000000000000.pdf.pdf', 'size_bytes': 1022101}]",BR PROPERTIES S.A.
019925,2017,71365,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00209504120000000000000000.pdf.pdf', 'size_bytes': 991717}]",BR PROPERTIES S.A.
019925,2018,80509,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00123004120000000000000000.pdf.pdf', 'size_bytes': 735354}]",BR PROPERTIES S.A.
019925,2019,91755,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121904120000000000000000.pdf.pdf', 'size_bytes': 753350}]",BR PROPERTIES S.A.
019925,2020,100345,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00123404120000000000000000.pdf.pdf', 'size_bytes': 720690}]",BR PROPERTIES S.A.
019925,2021,111933,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2021\\notas_explicativas.pdf', 'original_filename': 'RDP21853_SPO_DF BRPR 31dez2021 V10 LIMPA_assinado.pdf', 'size_bytes': 722000}]",BR PROPERTIES S.A.
019925,2022,123391,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\019925\\2022\\notas_explicativas.pdf', 'original_filename': 'NE BRPR v3_COAUD.pdf', 'size_bytes': 754314}]",BR PROPERTIES S.A.
016292,2015,53666,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\016292\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124204120000000000000000.pdf.pdf', 'size_bytes': 2068146}]",BRF S.A.
016292,2016,62776,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\016292\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125016530000000000000000.pdf.pdf', 'size_bytes': 2202858}]",BRF S.A.
016292,2017,71716,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\016292\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125716530000000000000000.pdf.pdf', 'size_bytes': 2556030}]",BRF S.A.
016292,2018,80959,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\016292\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00123304120000000000000000.pdf.pdf', 'size_bytes': 909282}]",BRF S.A.
016292,2019,91306,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\016292\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00122804120000000000000000.pdf.pdf', 'size_bytes': 1010491}]",BRF S.A.
016292,2020,100468,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\016292\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121504120000000000000000.pdf.pdf', 'size_bytes': 1014682}]",BRF S.A.
016292,2021,111931,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\016292\\2021\\notas_explicativas.pdf', 'original_filename': 'DFP21 PT_Versão EmpresasNet.pdf', 'size_bytes': 1291040}]",BRF S.A.
